# 799458b0
Energy: Fighting, Water
1 A1 225
2 A1a 046
2 A1a 063
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 147
2 A2 152
2 P-A 002
2 P-A 007

# 7da440af
Energy: Fighting, Water
1 A1 225
2 A1a 046
2 A1a 063
2 A2 121
2 A2 122
2 A2 123
1 A2 146
2 A2 152
1 A2 154
2 P-A 002
1 P-A 005
2 P-A 007

# bb2debb2
Energy: Fighting, Water
2 A1a 046
2 A1a 063
2 A2 121
2 A2 122
2 A2 123
2 A2 146
2 A2 147
2 A2 152
2 P-A 001
2 P-A 007

# c8d92d52
Energy: Fighting, Water
1 A1 225
2 A1a 046
2 A1a 063
2 A2 121
1 A2 122
2 A2 123
1 A2 147
1 A2 152
1 A2b 069
1 A3 058
2 A3 144
1 A3 155
1 P-A 005
2 P-A 007

# ced50e17
Energy: Fighting, Water
2 A1a 046
2 A1a 063
2 A2 121
2 A2 122
2 A2 123
2 A2 146
1 A2 147
2 A2 152
1 A2 155
2 P-A 002
2 P-A 007

# f1918959
Energy: Fighting, Water
1 A1 225
2 A1a 046
2 A1a 063
2 A2 121
2 A2 122
2 A2 123
1 A2 146
2 A2 148
1 A2 150
1 A2 152
1 A2 155
1 P-A 002
2 P-A 007
