# 0d0818ab
Energy: Psychic
2 A1 115
2 A1 116
2 A1 117
1 A1 225
1 A1a 068
2 A2 147
1 A2 150
1 A2b 035
2 A2b 071
2 P-A 001
2 P-A 005
2 P-A 007

# 23d33036
Energy: Psychic
1 A1 115
1 A1 116
2 A1 117
1 A1a 068
1 A2 078
1 A2 146
2 A2 147
2 A2 154
1 A2b 029
1 A2b 030
1 A2b 035
1 A2b 069
1 A2b 071
2 P-A 005
2 P-A 007

# 3286407c
Energy: Psychic
1 A1 116
2 A1 117
1 A2 148
1 A2 154
2 A2b 029
1 A2b 030
1 A2b 035
2 A2b 069
1 A2b 070
2 A3 144
1 A3 155
1 P-A 001
2 P-A 005
2 P-A 007

# 4f42641b
Energy: Psychic
1 A1 115
1 A1 116
2 A1 117
1 A1 225
1 A1a 068
1 A2 078
1 A2 146
2 A2 147
1 A2 150
1 A2 154
1 A2b 029
1 A2b 030
1 A2b 035
1 A2b 071
2 P-A 005
2 P-A 007

# 699b282f
Energy: Psychic
1 A1 117
1 A1 225
1 A1a 065
1 A2 146
1 A2 147
1 A2 150
2 A2b 029
1 A2b 030
1 A2b 031
1 A2b 035
1 A2b 070
1 A2b 071
1 A3 077
2 A3 144
2 P-A 005
2 P-A 007

# 8a4ccc27
Energy: Psychic
1 A1 115
2 A1 117
1 A1 223
1 A1 225
1 A2 078
1 A2 146
2 A2 147
1 A2 154
1 A2b 029
2 A2b 030
1 A2b 035
1 A2b 069
1 A2b 070
2 P-A 005
2 P-A 007

# bc0a35f5
Energy: Psychic
2 A1 115
2 A1 117
2 A1 225
2 A2 078
1 A2 146
1 A2 154
2 A2b 030
1 A2b 035
1 A2b 069
1 A2b 071
1 A2b 072
2 P-A 005
2 P-A 007

# cdbfb088
Energy: Psychic
2 A1 115
2 A1 117
1 A1 225
1 A1a 033
2 A2 147
1 A2 148
1 A2 154
1 A2 155
2 A2b 030
1 A2b 035
1 A2b 071
1 P-A 001
2 P-A 005
2 P-A 007

# d7440743
Energy: Psychic
1 A1 115
2 A1 117
1 A1 225
1 A2 078
2 A2 147
1 A2 150
1 A2 154
1 A2b 029
2 A2b 030
1 A2b 035
1 A2b 069
1 A2b 071
1 P-A 001
2 P-A 005
2 P-A 007

# ebef0edb
Energy: Psychic
2 A1 115
2 A1 117
1 A1 225
1 A2 147
1 A2 150
1 A2b 035
2 A3 144
1 B1 121
2 B1 177
2 B1 225
2 P-A 005
1 P-A 006
2 P-A 007
