# 00333b81
Energy: Water
1 A1 225
1 A2 147
2 A2 150
1 A2a 072
2 A3 040
1 A3 041
1 A3a 064
2 B1 225
2 B2 029
1 B2 145
1 B2 150
1 B2 153
1 P-A 005
1 P-A 006
2 P-A 007

# 0558bae6
Energy: Water
1 A1 225
1 A2 147
1 A2 150
2 A2b 072
2 A3 040
1 A3 041
1 A4 060
1 A4 061
1 A4a 023
1 B1 225
2 B2 029
1 B2 150
1 B2 153
2 P-A 005
2 P-A 007

# 26b02103
Energy: Water
2 A1 225
2 A2 147
1 A2 150
2 A3 040
1 A3 041
1 A3a 064
2 B1 225
2 B2 029
1 B2 150
1 B2 153
2 P-A 005
1 P-A 006
2 P-A 007

# 3c3309dd
Energy: Water
2 A1 225
2 A2 147
1 A2 150
2 A3 040
2 A3 041
1 A3a 064
2 B1 225
2 B2 029
1 B2 150
1 B2 153
2 P-A 005
2 P-A 007

# 540afd7e
Energy: Water
2 A1 225
2 A2 147
2 A2 150
1 A2a 072
2 A3 040
1 A3 041
1 A3a 064
2 B1 225
2 B2 029
1 B2 150
1 B2 153
1 P-A 005
2 P-A 007

# 57ed46dd
Energy: Water
2 A1 225
2 A2 147
1 A2 150
1 A2b 070
2 A3 040
1 A3 041
1 A3a 064
1 B1 225
2 B2 029
1 B2 150
1 B2 153
2 P-A 005
1 P-A 006
2 P-A 007

# 5d65915a
Energy: Water
1 A1 225
1 A2 150
2 A2b 072
2 A3 040
1 A3 041
2 A4a 023
2 A4a 067
2 B1 225
2 B2 029
1 B2 153
2 P-A 005
2 P-A 007

# 7d03f057
Energy: Water
1 A1 225
2 A2 148
1 A2 150
1 A2b 072
2 A3 040
1 A3 041
1 A3a 064
2 B2 029
2 B2 145
2 B2 150
1 B2 153
2 P-A 005
2 P-A 007

# 811eb1df
Energy: Water
1 A1 225
1 A2 146
1 A2 147
1 A2 150
1 A2a 072
2 A2b 072
2 A3 040
1 A3 041
1 A3a 064
2 B1 225
2 B2 029
1 B2 153
1 P-A 005
1 P-A 006
2 P-A 007

# 8b5e1c99
Energy: Water
1 A1 225
1 A2 150
1 A2b 070
2 A3 041
2 A4 061
2 B1 058
2 B1 225
2 B2 028
2 B2 029
1 B2a 093
2 P-A 005
2 P-A 007

# 934191dd
Energy: Water
2 A1 225
1 A2 150
1 A2b 070
2 A2b 072
2 A3 040
1 A3 041
1 A3a 064
1 A4a 023
1 B1 223
1 B1 225
2 B2 029
1 B2 150
2 P-A 005
1 P-A 006
1 P-A 007

# 943657e1
Energy: Water
1 A1 225
1 A2 150
1 A2a 072
2 A2b 072
2 A3 040
1 A3 041
1 A3a 064
1 A4a 023
1 A4a 067
1 B1 223
1 B1 225
2 B2 029
2 B2 150
1 B2 153
1 P-A 005
1 P-A 007

# b1451c6b
Energy: Water
1 A2 147
1 A2 150
1 A2b 069
1 A2b 070
2 A2b 072
2 A3 040
1 A3 041
2 B1 109
2 B2 029
1 B2 145
1 B2 153
2 P-A 005
1 P-A 006
2 P-A 007

# cb3f2e09
Energy: Water
1 A1 225
1 A2 147
1 A2 150
2 A3 040
1 A3 041
1 A3a 064
1 A4 060
1 A4 061
1 A4a 023
2 B1 225
2 B2 029
1 B2 150
1 B2 153
2 P-A 005
2 P-A 007
