# 03a7ca8a
Energy: Water
2 A1 089
1 A2 147
2 A2 150
1 A2a 072
2 A3 040
2 A3 144
1 A3 151
2 B1 071
1 B1 072
1 B1 225
2 B2 029
1 P-A 005
2 P-A 007

# 16e94038
Energy: Water
2 A1 089
2 A2 150
2 A3 040
2 A3 144
2 A4a 023
2 B1 071
2 B1 225
2 B2 029
2 P-A 005
2 P-A 007

# 183493dd
Energy: Water
2 A1 089
2 A2 150
1 A2a 072
2 A3 040
2 A3 144
2 B1 071
2 B1 225
2 B2 029
1 B2 153
2 P-A 005
2 P-A 007

# 1eea84fe
Energy: Water
2 A1 089
2 A2 150
1 A2b 070
1 A3 040
2 A3 144
1 A3 155
2 B1 071
1 B1 225
1 B2 029
2 B2 145
1 B2b 066
2 B3 152
2 P-A 005

# 222f70b2
Energy: Water
2 A1 087
1 A1 088
2 A1 089
2 A2 150
1 A2a 072
2 A3 040
1 A3 144
1 B1 225
2 B2 029
1 B2 150
1 B2 153
2 P-A 005
2 P-A 007

# 2d1e5122
Energy: Water
2 A1 089
1 A1 225
1 A2 150
1 A2 155
1 A2a 072
1 A2b 072
2 A3 144
2 B1 071
1 B1 225
2 B2 028
2 B2 029
2 P-A 005
2 P-A 007

# 34177d23
Energy: Water
1 A1 088
1 A1 089
1 A2 147
2 A2 150
1 A2b 072
2 A3 040
1 A3 144
1 B1 071
1 B1 225
2 B2 029
1 B2 145
1 B2 150
1 B2 153
2 P-A 005
2 P-A 007

# 449ad647
Energy: Water
2 A1 087
2 A1 089
2 A2 150
2 A3 040
2 A3 144
1 A4a 023
1 A4a 067
1 B1 225
2 B2 029
1 B2 153
2 P-A 005
2 P-A 007

# 46f32713
Energy: Water
2 A1 089
1 A2 150
1 A2b 072
2 A3 040
2 A3 144
1 A4a 023
1 A4a 067
2 B1 071
1 B1 225
2 B2 029
1 B2a 037
2 P-A 005
2 P-A 007

# 470077ad
Energy: Water
1 A1 088
2 A1 089
2 A2 150
2 A3 040
1 A3 144
2 B1 071
2 B2 029
2 B2 150
1 B2 153
1 P-A 002
2 P-A 005
2 P-A 007

# 49846d00
Energy: Water
2 A1 088
2 A1 089
2 A2 150
2 A3 040
1 A4 060
1 A4 061
2 B1 071
2 B2 029
2 B2 150
1 P-A 002
1 P-A 005
2 P-A 007

# 514942e9
Energy: Water
2 A1 089
1 A1 220
1 A2 150
2 A3 040
2 A3 144
2 B1 071
2 B1 109
1 B1 225
2 B2 029
1 B2 145
1 B2 150
1 P-A 005
2 P-A 007

# 54474dae
Energy: Water
2 A1 088
2 A1 089
2 A2 150
2 A3 040
1 A4 060
1 A4 061
1 A4a 020
2 B1 071
2 B2 029
1 B2 150
1 P-A 002
1 P-A 005
2 P-A 007

# 54c3dad8
Energy: Water
1 A1 087
1 A1 088
2 A1 089
1 A2 147
2 A2 150
1 A3 144
1 B1 071
1 B1 225
2 B2 028
2 B2 029
1 B2 150
1 B2 153
2 P-A 005
2 P-A 007

# 57d42be1
Energy: Water
1 A1 087
1 A1 089
1 A1 225
1 A2 150
2 A3 040
1 A4a 023
1 B1 072
1 B1 109
1 B1 225
2 B2 029
1 B2 145
1 B2 150
1 B2 153
2 P-A 005
1 P-A 006
2 P-A 007

# 5a7a39d5
Energy: Water
2 A1 089
1 A1 225
1 A2a 072
2 A3 040
1 A3 041
2 A3 144
2 B1 071
2 B1 225
1 B2 029
1 B2 145
1 B2 153
2 P-A 005
2 P-A 007

# 5e71b365
Energy: Water
1 A1 088
2 A1 089
2 A2 150
1 A2 155
2 A3 040
1 A3 144
2 B1 071
2 B1 109
1 B1 225
2 B2 029
2 P-A 005
2 P-A 007

# 81108f54
Energy: Water
2 A1 087
2 A1 089
2 A2 150
2 A3 040
2 A3 144
2 A4a 023
2 B1 225
2 B2 029
2 P-A 005
2 P-A 007

# 86fc1b19
Energy: Water
2 A1 087
2 A1 089
1 A2 150
1 A2 155
1 A2a 072
2 A3 040
2 A3 144
1 A3 151
2 B1 225
2 B2 029
2 P-A 005
2 P-A 007

# 887bfdb6
Energy: Water
2 A1 087
2 A1 089
2 A2 150
1 A2a 072
2 A3 040
2 A3 144
1 A4a 067
2 B2 029
1 B2 145
1 B2 153
2 P-A 005
2 P-A 007

# 8c65b571
Energy: Water
2 A1 088
2 A1 089
2 A2 150
2 A3 040
2 B1 071
2 B2 029
2 B2 150
1 B2 153
1 P-A 002
2 P-A 005
2 P-A 007

# 91efc7d4
Energy: Water
2 A1 089
1 A2 150
2 A3 040
2 A3 144
2 B1 071
2 B1 225
2 B2 029
1 B2 153
1 B2b 069
1 B3a 071
2 P-A 005
2 P-A 007

# 9529e7d1
Energy: Water
2 A1 087
2 A1 089
1 A2 147
1 A2 150
1 A2b 070
2 A3 144
1 A4a 023
2 B1 225
2 B2 028
2 B2 029
2 P-A 005
2 P-A 007

# ad1f9c1a
Energy: Water
1 A1 089
2 A2 150
1 A4a 023
1 B1 071
1 B1 072
1 B1 109
1 B1 226
2 B2 028
2 B2 029
1 B2 145
1 B2 150
1 B2 153
2 P-A 005
1 P-A 006
2 P-A 007

# b2f4b5ef
Energy: Water
2 A1 087
2 A1 089
1 A2 150
1 A2 154
1 A2a 072
2 A3 040
2 A3 144
1 A4a 067
1 B1 225
2 B2 029
1 B2a 037
2 P-A 005
2 P-A 007

# c5c38855
Energy: Water
2 A1 089
2 A2 150
2 A3 040
2 A3 144
1 A4a 067
2 B1 071
2 B1 225
2 B2 029
1 B2 145
2 P-A 005
2 P-A 007

# ce980d7f
Energy: Water
2 A1 089
1 A1 225
1 A2 150
2 A3 144
1 A4a 023
2 B1 071
2 B1 225
2 B2 028
