# 0cd79d7b
Energy: Fighting
1 A1a 068
1 A2 147
2 A2a 039
2 A2a 041
2 A2a 071
1 A2b 071
2 A3 104
2 A3 144
2 A3 149
1 A3 155
2 P-A 005
2 P-A 007

# 7485d7e4
Energy: Fighting
1 A1 225
1 A1a 068
1 A2 147
1 A2 155
2 A2a 039
2 A2a 041
2 A2a 071
1 A2b 071
2 A3 104
2 A3 144
1 A3 149
2 P-A 005
2 P-A 007

# 78f079db
Energy: Fighting
1 A2 146
1 A2 147
1 A2 155
2 A2a 039
2 A2a 041
2 A2a 071
2 A3 104
2 A3 144
2 A3 149
1 A3 155
2 P-A 005
2 P-A 007

# 88328692
Energy: Fighting
1 A1 172
1 A1 225
1 A1a 068
1 A2 147
1 A2 150
1 A2 154
2 A2a 050
2 A2a 071
2 A3 104
2 A3 144
2 A3 149
2 P-A 005
2 P-A 007

# 98d63441
Energy: Fighting
2 A1a 068
1 A2 146
2 A2a 039
2 A2a 041
2 A2a 071
2 A3 104
2 A3 144
1 A3 151
2 P-A 001
2 P-A 005
2 P-A 007

# ab94f00d
Energy: Fighting
1 A1 225
2 A1a 068
1 A2 147
2 A2a 039
2 A2a 041
2 A2a 071
1 A2b 071
2 A3 104
2 A3 144
1 A3 149
2 P-A 005
2 P-A 007

# df4d0679
Energy: Fighting
2 A1 172
1 A1 225
1 A1a 068
1 A2 147
1 A2 150
2 A2a 050
2 A2a 071
2 A3 104
2 A3 144
2 A3 149
2 P-A 005
2 P-A 007

# e0d80fdc
Energy: Fighting
1 A1 225
2 A1a 068
1 A2 147
1 A2 150
2 A2a 039
2 A2a 040
2 A2a 041
2 A2a 071
2 A3 104
1 A3 144
2 P-A 005
2 P-A 007

# fc3f34d2
Energy: Fighting
2 A1 172
1 A1 173
1 A1a 068
1 A2 146
2 A2a 050
1 A2a 070
2 A2a 071
2 A3 104
2 A3 144
2 A3 149
2 P-A 005
2 P-A 007
