# 3428f2ad
Energy: Grass
1 A1 223
1 A1 225
1 A1a 068
2 A2 017
1 A2 018
1 A2 146
2 A2 147
1 A2 150
1 A2 154
2 A2a 009
2 A2a 071
1 P-A 002
2 P-A 005
2 P-A 007

# 7851288a
Energy: Grass
2 A1 219
1 A1a 068
2 A2 017
2 A2 018
1 A2 147
1 A2 148
1 A2 150
2 A2a 009
2 A2a 071
2 P-A 001
1 P-A 002
1 P-A 005
2 P-A 007

# 7916a1a2
Energy: Grass
1 A1 219
2 A1 223
1 A1 225
1 A1a 068
1 A2 017
2 A2 018
1 A2 150
1 A2 154
2 A2a 009
1 A2a 069
2 A2a 071
1 P-A 001
2 P-A 005
2 P-A 007

# 7bf31664
Energy: Grass
1 A1 219
1 A1 223
2 A1a 068
2 A2 017
2 A2 018
2 A2 148
1 A2 150
1 A2 154
2 A2a 009
2 A2a 071
2 P-A 005
2 P-A 007
