# 6a347043
Energy: Water
2 A1 216
2 A1 217
2 A1 223
1 A1 225
2 A1a 063
2 A2 147
2 A2a 071
2 A2a 072
1 A2a 073
2 P-A 001
2 P-A 007

# 77d2ff05
Energy: Water
1 A1 198
2 A1 225
2 A1a 068
1 A2 147
2 A2 148
2 A2 150
2 A2a 071
2 A2a 072
2 P-A 001
2 P-A 005
2 P-A 007

# b4f1372f
Energy: Water
1 A1 216
1 A1 217
2 A1 223
1 A1 225
1 A1a 063
1 A2 144
1 A2 145
1 A2 147
1 A2 148
1 A2 150
2 A2a 071
2 A2a 072
2 P-A 001
1 P-A 005
2 P-A 007

# bf0b96a2
Energy: Water
1 A1 216
1 A1 217
2 A1 223
1 A1 225
1 A1a 063
2 A2 144
2 A2 145
1 A2 150
2 A2a 071
2 A2a 072
2 P-A 001
1 P-A 005
2 P-A 007

# dfc363d8
Energy: Water
1 A1 216
1 A1 223
1 A1 225
1 A1a 063
1 A2 144
1 A2 145
2 A2 147
2 A2 148
1 A2 150
2 A2a 071
1 A2a 072
1 A2a 073
2 P-A 001
1 P-A 005
2 P-A 007
