# 1423539d
Energy: Fire
2 A2 147
1 A2 150
2 A4 032
2 B1 217
1 B1 225
2 B2 145
1 B2 150
2 B2a 019
2 B2a 020
1 B2a 093
2 P-A 005
2 P-A 007

# 1e3ef188
Energy: Fire
2 A2 148
1 A2 150
2 A4 032
1 B1 044
2 B1 217
1 B1 225
1 B2 145
1 B2 153
2 B2a 019
2 B2a 020
1 B2a 021
2 P-A 005
2 P-A 007

# 2a341f22
Energy: Fire
1 A1 223
2 A2 148
1 A2 150
1 A2b 071
2 A4 032
2 B1 217
1 B1 225
2 B2 145
2 B2a 019
2 B2a 020
2 P-A 005
2 P-A 007

# 30dcb644
Energy: Fire
1 A1 225
2 A2 147
1 A2 150
2 A4 032
2 B1 217
1 B1 225
1 B2 150
1 B2 153
2 B2a 019
2 B2a 020
2 P-A 005
1 P-A 006
2 P-A 007

# 6db57ecd
Energy: Fire
1 A1 225
1 A2 146
1 A2 148
1 A2 150
1 A3b 010
2 A4 032
2 B1 217
2 B2 145
1 B2 153
2 B2a 019
2 B2a 020
2 P-A 005
2 P-A 007

# 96d6ea52
Energy: Fire
1 A1 225
1 A2b 070
2 A4 032
2 B1 217
2 B1 225
1 B2 153
2 B2a 019
2 B2a 020
1 B3 024
2 B3b 065
1 P-A 002
2 P-A 005
1 P-A 007

# 9bed48d4
Energy: Fire
2 A2 148
1 A2 150
1 A2 155
2 A4 032
1 B1 217
2 B1 225
1 B2 145
1 B2 153
2 B2a 019
2 B2a 020
1 B2a 021
2 P-A 005
2 P-A 007

# a183a58a
Energy: Fire
2 A2 148
1 A2 150
2 A2b 071
2 A4 032
2 B1 217
1 B1 225
2 B2 145
2 B2a 019
2 B2a 020
2 P-A 005
2 P-A 007

# ce574c05
Energy: Fire
1 A2 148
1 A2 150
1 A2b 071
1 A3 144
2 A4 032
1 B1 041
1 B1 043
2 B1 217
2 B1 225
2 B2a 019
2 B2a 020
2 P-A 005
2 P-A 007

# dddde341
Energy: Fire
1 A1 225
1 A2 147
1 A2 148
1 A2 150
1 A2b 070
1 A3 151
2 A4 032
2 B1 217
1 B1 225
1 B2 153
2 B2a 019
2 B2a 020
2 P-A 005
2 P-A 007

# de45cf41
Energy: Fire
2 A2 148
1 A2 150
1 A3b 010
2 A4 032
2 B1 217
1 B1 225
2 B2 145
1 B2 153
2 B2a 019
2 B2a 020
2 P-A 005
2 P-A 007

# eedc3360
Energy: Fire
1 A2 147
1 A2 150
1 A2b 071
2 A4 032
1 B1 044
2 B1 217
1 B1 225
1 B2 147
2 B2a 019
2 B2a 020
1 B2a 021
2 P-A 005
1 P-A 006
2 P-A 007
