# 2c34bcc0
Energy: Fire
1 A2 148
1 A2 150
2 A3 144
1 A4 032
2 B1 217
2 B1 225
1 B2 145
2 B2a 016
2 B2a 018
1 B2a 019
1 B2a 020
1 B2a 087
1 P-A 005
2 P-A 007

# 8ea56abd
Energy: Fire
1 A1 225
1 A2 148
2 A3 144
2 B1 217
2 B1 225
2 B2 027
2 B2a 016
2 B2a 018
1 B2a 019
1 B2a 020
1 B2a 087
1 P-A 005
2 P-A 007

# c739d045
Energy: Fire
1 A1 225
1 A2b 071
2 A3 144
2 A4 032
2 B1 217
2 B1 225
2 B2a 016
2 B2a 018
1 B2a 019
1 B2a 020
2 P-A 005
2 P-A 007

# d28ad3fe
Energy: Fire
1 A2 150
2 A3 144
1 A3 151
1 A4 034
2 B1 217
1 B1 225
1 B2 145
2 B2a 016
2 B2a 018
1 B2a 019
1 B2a 020
1 B2a 091
2 P-A 005
2 P-A 007

# e29c1f33
Energy: Fire
1 A3 144
2 A4 032
2 B1 217
2 B1 225
1 B2 145
1 B2a 016
1 B2a 017
1 B2a 018
2 B2a 019
2 B2a 020
1 B2a 093
2 P-A 005
2 P-A 007

# e58b268b
Energy: Fire
1 A1 225
1 A2 150
1 A2b 070
2 A3 144
1 A4 032
1 A4a 010
2 B1 217
1 B1 225
2 B2a 016
2 B2a 018
1 B2a 019
1 B2a 020
2 P-A 005
2 P-A 007

# e87954a9
Energy: Fire
1 A2b 071
1 A3 144
2 A4 032
2 B1 217
2 B1 225
1 B2a 016
1 B2a 017
1 B2a 018
2 B2a 019
2 B2a 020
1 P-A 002
2 P-A 005
2 P-A 007
