# 833a0797
Energy: Grass
1 A1 008
1 A1 219
1 A2 017
1 A2 018
1 A2 150
1 A2b 002
1 A2b 003
1 A3 144
1 A3 147
1 A3 151
1 A3 155
1 A3a 064
2 A4 077
1 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007

# 883d0750
Energy: Grass
1 A1 008
1 A1 219
1 A2 150
1 A2b 002
1 A2b 003
1 A3 144
2 A3 147
1 A3 151
1 A3 155
1 A3a 064
1 A4 022
2 A4 077
1 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007

# e5c9d038
Energy: Grass
2 A1 008
1 A1 219
1 A2 150
2 A2b 002
2 A2b 003
1 A2b 071
1 A3 144
1 A3 147
1 A3 155
1 A3a 064
2 A4 077
1 P-A 001
2 P-A 005
2 P-A 007
