# 2284cadf
Energy: Grass
1 A1 005
1 A1 006
1 A1 007
1 A1 008
1 A1 010
1 A1 021
1 A1 022
1 A1 219
1 A2 022
1 A2 146
1 A2 147
1 A2a 073
1 A2b 002
1 A2b 005
1 A2b 006
1 A2b 007
1 A2b 069
1 A2b 111
1 P-A 002
1 P-A 007

# 2f72cb34
Energy: Grass
1 A1 005
1 A1 006
1 A1 007
1 A1 008
1 A1 010
1 A1 219
1 A1 223
1 A1 225
1 A2 146
1 A2 150
1 A2b 002
1 A2b 069
1 A3 144
1 A3 147
1 A3a 007
1 A3a 008
1 P-A 002
1 P-A 005
1 P-A 006
1 P-A 007

# 3aad83aa
Energy: Grass
2 A1 005
2 A1 006
2 A1 007
2 A1 008
2 A1 009
2 A1 010
2 A1 029
2 A1 030
2 A1 219
2 P-A 007

# 3fbfbb3e
Energy: Grass
2 A1 005
1 A1 006
2 A1 007
2 A1 008
1 A1 009
2 A1 010
2 A1 219
2 A3 144
2 A3 147
2 P-A 005
2 P-A 007

# 65d1bf79
Energy: Grass
1 A1 005
1 A1 006
1 A1 007
1 A1 008
1 A1 009
1 A1 010
1 A1 018
1 A1 019
1 A1 020
1 A1 021
1 A1 022
1 A1 026
1 A1 219
1 A1 225
1 A2 146
1 A2 148
2 P-A 005
2 P-A 007

# 92b2386c
Energy: Grass
2 A1 005
2 A1 006
2 A1 007
2 A1 008
2 A1 009
2 A1 010
2 A1 219
1 A1 225
1 A1a 007
1 A1a 008
1 P-A 002
2 P-A 007

# a27462bb
Energy: Grass
2 A1 005
2 A1 006
2 A1 007
2 A1 008
2 A1 009
2 A1 010
2 A1 219
2 A1 225
2 P-A 005
2 P-A 007

# bc1bafb4
Energy: Grass
2 A1 005
2 A1 006
2 A1 007
2 A1 008
2 A1 009
2 A1 010
2 A1 219
1 A1 225
2 P-A 001
1 P-A 005
2 P-A 007

# c0294856
Energy: Grass
2 A1 005
2 A1 006
2 A1 007
2 A1 008
2 A1 009
2 A1 010
2 A1 219
2 A1 222
2 P-A 005
2 P-A 007

# d8c4447d
Energy: Grass
2 A1 005
2 A1 006
2 A1 007
2 A1 008
2 A1 009
2 A1 010
2 A1 219
2 P-A 001
2 P-A 005
2 P-A 007
