# 17e0697d
Energy: Grass
2 A1 219
2 A1 225
1 A2 147
2 A2b 070
2 A3 147
1 A3 151
1 A3a 006
1 A3a 007
1 A3a 008
1 A3a 062
1 A3a 069
2 P-A 005
1 P-A 006
2 P-A 007

# ad1107f1
Energy: Grass
1 A1 219
1 A2 150
1 A2b 070
1 A2b 071
2 A3 147
2 A3a 006
1 A3a 007
1 A3a 062
1 A3a 064
2 A3a 069
2 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007

# f3eb70e8
Energy: Grass
2 A1 219
1 A1 225
1 A2 150
1 A2b 069
2 A3 147
1 A3 151
2 A3a 006
1 A3a 007
1 A3a 008
1 A3a 062
2 A3a 069
1 A4 158
2 P-A 005
2 P-A 007

# f6752494
Energy: Grass
2 A1 219
1 A2 150
1 A2 155
2 A3 147
1 A3 151
2 A3a 006
1 A3a 007
1 A3a 008
1 A3a 062
1 A3a 064
2 A3a 069
2 P-A 005
1 P-A 006
2 P-A 007
