# 003c4a71
Energy: Fire
2 A1 033
2 A1 034
2 A1 036
2 A1 047
1 A1 225
1 A1a 068
1 A2 022
1 A2 146
1 A2 147
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 004abbe0
Energy: Fire
2 A1 033
2 A1 034
2 A1 036
2 A1 047
2 A1 051
2 A1 052
2 A1 225
2 P-A 002
2 P-A 005
2 P-A 007

# 0065a78e
Energy: Fire
2 A1 036
2 A1 047
1 A1 225
1 A1a 068
2 A2 146
2 A2 147
1 A2 154
2 A2b 008
2 A2b 009
1 P-A 002
2 P-A 005
2 P-A 007

# 00777606
Energy: Fire
1 A1 036
1 A1 047
1 A2 146
1 A2 147
1 A2 154
1 A2a 069
2 A2b 008
2 A2b 009
1 A2b 010
1 A2b 013
1 A2b 069
1 A2b 071
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 007b3e35
Energy: Fire
2 A1 033
2 A1 034
2 A1 036
1 A1 047
1 A1 051
1 A1 052
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 008350d5
Energy: Fire
2 A1 033
2 A1 034
2 A1 036
2 A1 047
2 A1 216
1 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 00c83afd
Energy: Fire
2 A1 033
2 A1 036
2 A1 047
1 A1 225
2 A3 144
1 A3 155
2 B1 217
2 B1 225
1 B3 147
1 P-A 002
2 P-A 005
2 P-A 007

# 00d266be
Energy: Fire
2 A1 033
2 A1 034
2 A1 036
2 A1 047
2 A1 049
2 A1 050
1 A1 225
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 012a841f
Energy: Fire
2 A1 033
2 A1 034
2 A1 036
2 A1 047
1 A1a 068
1 A2 146
1 A2 147
1 A2 155
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 0174969f
Energy: Fire
2 A1 033
2 A1 034
2 A1 036
1 A1 039
1 A1 041
2 A1 047
2 A1a 032
2 A1a 068
2 P-A 001
2 P-A 005
2 P-A 007

# 01835124
Energy: Fire
2 A1 033
2 A1 034
2 A1 036
1 A1 039
1 A1 041
2 A1 047
1 A1 223
1 A1 225
1 A1a 032
1 A1a 068
2 P-A 002
2 P-A 005
2 P-A 007

# 0192e7a9
Energy: Fire
2 A1 036
2 A1 047
2 A2 146
2 A2 147
1 A2 155
2 A2b 008
2 A2b 009
1 A2b 069
2 P-A 002
2 P-A 005
2 P-A 007

# 01a6cf75
Energy: Fire
2 A1 033
2 A1 034
2 A1 036
2 A1 047
1 A1 225
1 A1a 068
1 A2 146
1 A2 150
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 01a912b0
Energy: Fire
2 A1 033
2 A1 034
1 A1 036
1 A1 039
1 A1 041
2 A1 047
1 A1 223
1 A1 225
1 A1a 032
2 A1a 068
2 P-A 002
2 P-A 005
2 P-A 007

# 01afa209
Energy: Fire
2 A1 033
2 A1 034
1 A1 035
1 A1 036
2 A1 037
2 A1 038
2 A1 047
1 A1 221
1 A1 225
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 01c40eec
Energy: Fire
2 A1 036
2 A1 047
2 A2 146
1 A2 147
1 A2 154
2 A2b 008
1 A2b 009
1 A2b 069
2 A3 144
2 P-A 002
2 P-A 005
2 P-A 007

# 01d2eb50
Energy: Fire
2 A1 033
2 A1 034
2 A1 036
2 A1 047
1 A1 198
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 020af622
Energy: Fire
2 A1 033
2 A1 034
2 A1 036
2 A1 047
2 A1 223
1 A1a 032
1 A1a 068
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 02162de8
Energy: Fire
1 A1 036
2 A1 047
1 A1 223
1 A1 225
2 A1a 068
1 A2 146
2 A2 147
1 A2 154
2 A2b 008
2 A2b 009
1 A2b 010
2 P-A 005
2 P-A 007

# 0250e42a
Energy: Fire
2 A1 033
1 A1 034
2 A1 036
1 A1 047
2 A1 223
1 A1 225
1 A2 148
1 A3 144
2 A3 146
2 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007

# 02565b81
