# 00f3c804
Energy: Darkness
1 A1 225
1 A2 150
1 A2a 048
2 A3 144
1 A3 151
1 A3 155
1 A3b 043
2 A3b 056
1 A4 107
2 A4 109
2 A4 112
1 B1 184
1 P-A 001
1 P-A 005
2 P-A 007

# 0a3fb76b
Energy: Darkness
2 A1 206
1 A1 225
1 A2 150
1 A2a 048
2 A3 144
1 A3 151
1 A3 155
1 A3b 043
1 A3b 056
1 A4 107
2 A4 109
2 A4 112
1 B1 225
1 P-A 005
2 P-A 007

# 0bccbdfe
Energy: Darkness
1 A1 223
1 A1 225
1 A2 110
1 A2 147
1 A2 150
2 A3 144
1 A3 151
1 A3 155
2 A4 107
1 A4 108
2 A4 109
1 A4 112
1 A4 134
2 P-A 005
2 P-A 007

# 10e52be7
Energy: Darkness
1 A1 206
2 A2 148
2 A2a 048
1 A2b 049
1 A2b 070
2 A3 144
2 A3 155
2 A3a 042
1 A3a 064
2 A4 109
1 A4 112
1 B1 225
1 P-A 005
1 P-A 007

# 1370c242
Energy: Darkness
1 A1 225
1 A2 146
1 A2 150
2 A3 144
2 A3 155
1 A3a 042
1 A3b 034
2 A4 107
2 A4 109
1 A4 112
2 A4 134
2 P-A 005
2 P-A 007

# 204951fc
Energy: Darkness
1 A2 155
1 A2b 069
2 A3 144
1 A3a 064
2 A3b 043
1 A3b 056
2 A4 107
1 A4 108
2 A4 109
1 A4 112
2 A4 134
2 P-A 005
2 P-A 007

# 2c95c730
Energy: Darkness
1 A1 206
1 A1 223
1 A1 225
2 A2a 048
2 A3 144
1 A3 155
2 A3b 043
1 A3b 056
2 A4 109
1 A4 112
1 B1 225
1 P-A 001
1 P-A 002
1 P-A 005
2 P-A 007

# 2d02abb8
Energy: Darkness
1 A1 225
1 A2 110
1 A2 147
2 A3 144
1 A3a 042
1 A3b 034
2 A4 107
2 A4 109
1 A4 112
2 A4 134
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007

# 2f6e7e39
Energy: Darkness
1 A2 110
1 A2 146
1 A2 147
2 A3 144
1 A3 151
