# 00120bd2
Energy: Darkness
2 A1 173
2 A1a 056
2 A1a 068
2 A2 110
2 A2 146
2 A2a 048
2 A2a 050
2 A2a 071
2 P-A 005
2 P-A 007

# 00703bf6
Energy: Darkness
2 A1 223
2 A2 110
2 A2a 071
2 A2b 071
1 A3 149
1 A3a 064
2 A4 066
1 A4 075
2 A4 101
2 A4a 023
2 P-A 007
1 P-A 065

# 0112bc99
Energy: Darkness
2 A1 173
1 A1 225
2 A2 110
2 A2 146
1 A2 150
1 A2 154
2 A2a 048
2 A2a 050
2 A2a 071
1 P-A 002
2 P-A 005
2 P-A 007

# 0158d579
Energy: Darkness
2 A1 223
2 A2 110
2 A2a 071
1 A2b 071
1 A3b 057
2 A4 032
1 A4 034
2 A4 066
2 A4 101
1 A4a 023
2 P-A 005
2 P-A 007

# 0185d79f
Energy: Darkness
2 A2 110
2 A2 147
1 A2 150
2 A2a 048
2 A2a 050
2 A2a 071
2 A3 144
2 A3 149
2 P-A 005
1 P-A 006
2 P-A 007

# 01a4055b
Energy: Darkness
2 A1a 068
2 A2 110
1 A2 147
1 A2 148
2 A2a 071
1 A2b 071
2 A3 141
1 A3 151
2 A4 032
2 A4 066
2 P-A 005
2 P-A 007

# 028302ae
Energy: Darkness
1 A1 225
1 A1a 068
2 A2 110
2 A2 155
2 A2a 071
2 A2b 071
2 A4 032
2 A4 066
2 A4 101
2 P-A 005
2 P-A 007

# 02c422aa
Energy: Darkness
2 A1a 056
1 A1a 068
2 A2 110
2 A2 146
1 A2 147
2 A2a 048
2 A2a 049
2 A2a 050
2 A2a 071
2 A2b 111
2 P-A 007

# 0491d07a
Energy: Darkness
1 A1a 068
2 A2 110
1 A2 146
2 A2 147
2 A2 150
2 A2a 048
2 A2a 049
2 A2a 050
2 A2a 071
2 P-A 005
2 P-A 007

# 054878a4
Energy: Darkness
1 A1 223
1 A1a 068
2 A2 110
1 A2 147
2 A2a 071
2 A2b 071
1 A3 151
1 A3a 064
1 A4 032
1 A4 066
2 A4 101
1 A4a 023
2 P-A 005
2 P-A 007

# 06e379e3
Energy: Darkness
2 A1 223
2 A2 110
1 A2 147
2 A2a 071
1 A2b 071
1 A3a 064
2 A4 032
1 A4 066
2 A4 101
2 A4a 023
1 P-A 005
1 P-A 006
2 P-A 007

# 0729bf29
Energy: Darkness
1 A1a 068
2 A2 110
1 A2 147
1 A2 150
1 A2 155
2 A2a 071
1 A2b 071
2 A3 141
1 A3 151
2 A4 032
2 A4 066
2 P-A 005
2 P-A 007

# 07a3a9b0
Energy: Darkness
2 A1 225
1 A1a 068
2 A2 110
1 A2 147
1 A2 150
2 A2a 071
1 A2b 071
2 A3a 021
2 A4 066
2 A4 151
2 P-A 005
2 P-A 007

# 07fbe24e
Energy: Darkness
2 A1 173
1 A1 225
2 A1a 056
1 A1a 068
2 A2 110
2 A2 146
1 A2 150
2 A2a 048
2 A2a 050
2 A2a 071
1 P-A 005
2 P-A 007

# 086f5b73
Energy: Darkness
1 A1 225
1 A1a 068
2 A2 110
1 A2 147
1 A2 148
1 A2 150
1 A2 155
2 A2a 071
1 A2b 071
1 A3 141
1 A3 149
1 A4 032
1 A4 066
1 A4a 023
1 B1 121
1 B1 225
2 P-A 007

# 0a0c534f
Energy: Darkness
2 A1a 068
2 A2 110
2 A2 147
1 A2 150
1 A2 155
2 A2a 071
1 A3 141
1 A3 151
1 A3a 064
2 A4 066
2 P-A 005
1 P-A 006
2 P-A 007

# 0a3b2875
Energy: Darkness
1 A1 173
1 A1 225
1 A1a 068
2 A2 110
1 A2 146
1 A2 147
1 A2 148
1 A2 150
2 A2a 048
1 A2a 049
1 A2a 050
2 A2a 071
1 P-A 001
2 P-A 005
2 P-A 007

# 0a7caeb2
Energy: Darkness
1 A1 225
1 A1a 068
2 A2 110
1 A2 150
1 A2 155
2 A2a 071
2 A2b 071
2 A3 066
1 A3a 064
2 A4 066
2 A4a 023
1 P-A 006
2 P-A 007

# 0c8bacc4
Energy: Darkness
2 A1 173
1 A1a 056
1 A1a 068
2 A2 110
1 A2 146
1 A2 147
1 A2 150
1 A2 155
2 A2a 048
2 A2a 050
2 A2a 071
2 P-A 005
2 P-A 007

# 0dd2d665
Energy: Darkness
1 A1a 068
1 A2 098
1 A2 099
2 A2 110
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2 155
1 A2a 048
1 A2a 049
1 A2a 050
2 A2a 071
1 P-A 002
2 P-A 005
2 P-A 007

# 0ddff16f
Energy: Darkness
1 A1 225
1 A1a 068
2 A2 110
2 A2 147
1 A2 150
2 A2a 071
1 A2b 071
2 A3 141
2 A4 032
2 A4 066
2 P-A 005
2 P-A 007

# 0e0b0ef3
Energy: Darkness
1 A1 223
2 A2 110
1 A2 147
2 A2a 071
2 A2b 071
2 A3 141
1 A3b 057
2 A4 032
2 A4 066
1 A4a 023
2 P-A 005
2 P-A 007

# 0e6c2107
Energy: Darkness
1 A1 223
1 A1 225
2 A1a 056
2 A1a 068
1 A2 022
2 A2 110
2 A2 147
1 A2 148
1 A2 150
1 A2 155
2 A2a 071
2 P-A 005
2 P-A 007

# 0ea171f3
Energy: Darkness
2 A1 098
1 A1a 068
2 A2 051
2 A2 053
2 A2 110
1 A2 146
2 A2 147
1 A2 150
1 A2 154
2 A2a 071
2 P-A 005
2 P-A 007

# 102b4e93
Energy: Darkness
2 A1 223
2 A2 110
2 A2 147
2 A2a 071
1 A2a 074
2 A2b 071
1 A3b 057
2 A4 032
2 A4 066
2 A4 101
2 P-A 007

# 11c5ad9e
Energy: Darkness
2 A1 223
1 A1a 068
2 A2 110
1 A2 147
2 A2a 071
2 A2b 071
1 A3a 064
1 A4 032
2 A4 066
2 A4 101
2 A4a 023
2 P-A 007

# 1348deb4
Energy: Darkness
1 A1 223
1 A1a 068
2 A2 110
1 A2 147
1 A2 155
2 A2a 071
1 A2a 072
1 A2b 071
1 A3 141
1 A3a 064
1 A4 032
1 A4 066
2 A4a 023
2 P-A 005
2 P-A 007

# 134dea1e
Energy: Darkness
2 A1a 068
2 A2 110
2 A2 147
2 A2 150
2 A2a 048
2 A2a 049
2 A2a 050
2 A2a 071
2 P-A 005
2 P-A 007

# 13a8b521
Energy: Darkness
2 A1a 056
2 A1a 068
2 A2 110
1 A2 147
1 A2 150
2 A2a 048
2 A2a 049
2 A2a 050
2 A2a 071
2 P-A 005
2 P-A 007

# 13b4ed4a
Energy: Darkness
2 A1 203
1 A1 225
2 A1a 068
1 A2 022
2 A2 110
2 A2 147
1 A2 148
1 A2 150
2 A2a 071
1 A2b 071
1 A2b 072
2 P-A 005
2 P-A 007

# 1606c531
Energy: Darkness
2 A1 173
1 A1a 068
2 A2 110
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2 154
2 A2a 048
2 A2a 050
2 A2a 071
2 P-A 005
2 P-A 007

# 16d115cc
Energy: Darkness
2 A1 172
2 A1 173
2 A1a 056
2 A1a 068
2 A2 110
2 A2 146
2 A2a 050
2 A2a 071
2 P-A 005
2 P-A 007

# 17671708
Energy: Darkness
1 A1 172
1 A1 173
1 A1 223
1 A1 225
2 A1a 068
2 A2 110
2 A2 147
1 A2 150
1 A2a 050
2 A2a 071
2 P-A 001
2 P-A 005
2 P-A 007

# 17ff29b8
Energy: Darkness
