# 00c37696
Energy: Darkness
1 A1 225
2 A1a 056
1 A1a 068
1 A2 022
2 A2 110
2 A2 147
2 A2 148
2 A2 150
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 15c47e4d
Energy: Darkness
1 A1 225
2 A1a 056
1 A2 022
2 A2 110
2 A2 147
2 A2 148
2 A2 150
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 3e0a4d80
Energy: Darkness
2 A1 223
1 A1 225
2 A1a 056
2 A1a 068
2 A2 110
1 A2 146
2 A2 147
2 A2 148
2 A2 150
2 P-A 005
2 P-A 007

# 57e6bd6c
Energy: Psychic
1 A1 225
2 A1a 056
2 A1a 068
2 A2 110
2 A2 147
2 A2 148
1 A2 150
2 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 5c35ad1e
Energy: Darkness
1 A1 223
2 A1 225
2 A1a 056
2 A1a 068
2 A2 110
1 A2 147
2 A2 148
1 A2 150
1 A2 155
2 P-A 001
2 P-A 005
2 P-A 007

# 79d65c99
Energy: Darkness
1 A1 225
2 A1a 056
2 A1a 068
1 A2 110
1 A2 146
1 A2 148
1 A2 150
2 A3 146
2 A3a 042
1 A3a 044
1 A3a 045
1 A3a 069
2 P-A 005
2 P-A 007

# 9695ac48
Energy: Darkness
2 A1 225
2 A1a 056
1 A2 022
2 A2 110
2 A2 147
2 A2 148
2 A2 150
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 97c88985
Energy: Darkness
1 A1 174
1 A1 203
1 A1 225
2 A1a 056
2 A1a 068
2 A2 110
1 A2 146
2 A2 147
1 A2 148
2 A2 150
1 P-A 001
2 P-A 005
2 P-A 007

# a0796a8c
Energy: Darkness
2 A1 223
2 A1a 056
2 A1a 068
2 A2 110
2 A2 147
2 A2 148
2 A2 150
2 P-A 001
2 P-A 005
2 P-A 007

# aa04df73
Energy: Darkness
2 A1 225
2 A1a 056
2 A1a 068
2 A2 110
2 A2 146
2 A2 147
2 A2 148
2 P-A 002
2 P-A 005
2 P-A 007

# cd72097e
Energy: Darkness
1 A1 225
2 A1a 056
1 A1a 068
2 A2 110
1 A2 146
1 A2 147
1 A2 150
1 A2 154
1 A2 155
2 A3 146
2 A3a 042
2 P-A 005
1 P-A 006
2 P-A 007

# d273644c
Energy: Darkness
1 A1 198
1 A1 225
2 A1a 056
1 A1a 068
1 A2 104
2 A2 110
2 A2 148
1 A2 150
1 A2 155
1 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# daea623a
Energy: Darkness
2 A1a 056
2 A1a 068
2 A2 110
1 A2 147
2 A2 148
1 A2 150
1 A2 155
2 A2b 070
2 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007

# db612a02
Energy: Darkness
1 A1 225
2 A1a 056
2 A1a 068
2 A2 110
2 A2 147
2 A2 148
1 A2 150
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007
