# 1c1a5975
Energy: Grass
1 A1 219
2 A3 010
2 A3 144
1 A3 147
1 A3a 004
2 A3a 005
2 A3a 008
2 B1 109
2 B1 225
1 B1a 067
2 P-A 005
2 P-A 007

# 23f0c2cc
Energy: Grass
1 A1 219
2 A3 010
1 A3 011
2 A3 144
2 A3 147
1 A3 155
2 A3a 005
2 B1 109
2 B1 225
2 P-A 005
1 P-A 006
2 P-A 007

# 290586d4
Energy: Grass
1 A1 219
2 A3 010
2 A3 144
2 A3 147
1 A3 155
2 A3a 005
2 A3a 008
2 B1 109
2 B1 225
2 P-A 005
2 P-A 007

# 3f903acf
Energy: Grass
1 A1 225
2 A3 010
2 A3 144
2 A3 147
2 A3a 004
2 A3a 005
2 B1 109
2 B1 225
2 P-A 005
1 P-A 006
2 P-A 007

# 8e93b1fb
Energy: Grass
2 A1 219
2 A3 010
2 A3 144
2 A3 147
1 A3a 004
2 A3a 005
2 B1 109
2 B1 225
2 P-A 005
1 P-A 006
2 P-A 007

# cc7628b8
Energy: Grass
1 A1 219
2 A3 010
2 A3 144
2 A3 147
2 A3 155
1 A3a 004
2 A3a 005
2 B1 109
2 B1 225
2 P-A 005
2 P-A 007

# dd567549
Energy: Grass
2 A3 010
2 A3 144
2 A3 147
2 A3a 004
2 A3a 005
2 B1 109
1 B1 223
2 B1 225
2 P-A 005
1 P-A 006
2 P-A 007
