# 48122f9b
Energy: Grass
1 A1a 007
2 A1a 068
1 A2 155
2 A3 010
1 A3 011
2 A3 012
1 A3 016
2 A3 144
1 A3 147
1 A3 155
2 A3a 027
2 P-A 005
2 P-A 007

# 560edf92
Energy: Grass
1 A1 219
2 A1a 007
1 A2 104
1 A2 155
2 A3 010
2 A3 012
2 A3a 004
2 A3a 027
2 A4 077
1 P-A 001
2 P-A 005
2 P-A 007

# 923a9bf3
Energy: Grass
1 A1 219
2 A1a 007
1 A2 104
2 A2 155
2 A3 010
2 A3 012
2 A3a 004
2 A3a 027
2 A4 077
2 P-A 005
2 P-A 007

# 968018bf
Energy: Grass
2 A2 148
1 A2 155
2 A3 010
2 A3 012
2 A3 016
2 A3a 004
1 A3a 007
2 A3a 027
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007

# f7dd3382
Energy: Grass
1 A1 219
2 A1a 007
1 A2 104
1 A2 147
2 A3 010
2 A3 012
1 A3 147
1 A3 155
2 A3a 004
2 A3a 027
2 A4 077
1 P-A 005
2 P-A 007
