# 04ca387c
Energy: Lightning
1 A1 225
1 A2 147
1 A2 148
1 A2 150
2 A3a 021
2 A3a 065
2 B1 225
1 B2 154
2 B3b 023
2 B3b 024
1 B3b 064
2 P-A 005
2 P-A 007

# 0e7782fc
Energy: Lightning
2 A2 147
1 A2 150
1 A2b 070
1 A3 066
2 A3a 065
1 A4 066
2 B1 225
1 B2 154
1 B3 148
2 B3b 023
2 B3b 024
1 B3b 064
1 P-A 005
2 P-A 007

# 13bf4776
Energy: Lightning
2 A2 147
1 A2 148
1 A2 150
1 A2b 070
1 A3 066
2 A3a 065
1 A4 066
2 B1 225
2 B3b 023
2 B3b 024
1 B3b 064
2 P-A 005
2 P-A 007

# 648f4dc8
Energy: Lightning
1 A1 225
2 A2 147
1 A2 148
1 A2 150
1 A2b 070
1 A3 066
2 B1 225
1 B2 154
2 B3b 023
2 B3b 024
2 B3b 064
2 P-A 005
2 P-A 007

# 66b117d8
Energy: Lightning
2 A2 147
1 A2 148
2 A3a 021
2 A3a 065
1 A4 066
1 A4 151
2 B1 225
1 B2b 069
2 B3b 023
1 B3b 024
1 B3b 064
2 P-A 005
2 P-A 007

# 72973968
Energy: Lightning
2 A2 147
1 A2 148
1 A2 150
1 A2b 070
1 A3 066
2 A3a 065
1 A4 066
2 B1 225
1 B2 154
2 B3b 023
2 B3b 024
1 B3b 064
1 P-A 005
2 P-A 007

# 7d199167
Energy: Lightning
2 A2 147
1 A2 150
1 A2b 070
1 A3 066
1 A3a 065
1 A4 066
2 B1 225
1 B2 147
1 B2 154
1 B3 148
2 B3b 023
2 B3b 024
1 B3b 064
1 P-A 005
2 P-A 007

# 8c54d988
Energy: Lightning
2 A2 147
1 A2 148
1 A2 150
1 A2b 070
1 A3 066
2 A3a 065
1 A4 066
2 B1 225
1 B3 147
2 B3b 023
2 B3b 024
1 B3b 064
1 P-A 005
2 P-A 007

# 9a08d5c9
Energy: Lightning
2 A2 147
1 A2 150
1 A2b 070
1 A3a 065
1 A4 066
2 B1 225
1 B2 147
1 B2 154
1 B3 148
2 B3b 023
2 B3b 024
1 B3b 064
2 P-A 005
2 P-A 007

# ac1afa4a
Energy: Lightning
2 A2 147
1 A2 150
1 A2b 070
1 A3 066
1 A3a 065
1 A4 066
1 A4 072
2 B1 225
1 B2 147
1 B2 154
1 B3 148
1 B3b 023
2 B3b 024
1 B3b 064
1 P-A 005
2 P-A 007

# d145b5ae
Energy: Lightning
2 A2 148
1 A2 150
2 A3 066
2 A3 146
1 A3a 064
1 A3a 065
2 B3b 023
2 B3b 024
1 B3b 064
2 B3b 066
1 B3b 069
1 P-A 005
2 P-A 007

# d40e958d
Energy: Lightning
1 A2 147
2 A2 148
1 A2 150
2 A3 066
2 A3a 065
1 A4 066
2 B1 225
2 B3b 023
1 B3b 024
1 B3b 064
1 B3b 069
2 P-A 005
2 P-A 007
