# 007c44ba
Energy: Metal
1 A1 225
1 A1a 032
2 A1a 068
2 A2 119
1 A2 146
2 A2 147
2 A2 154
1 A2a 075
2 A2b 036
2 A2b 057
2 P-A 005
2 P-A 007

# 087ebff9
Energy: Metal
1 A1 225
2 A2 119
1 A2 147
2 A2 148
1 A2 150
1 A2a 069
1 A2a 071
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 069
1 A2b 071
2 P-A 005
2 P-A 007

# 0fe91b55
Energy: Metal
2 A1 178
1 A1 223
1 A1 225
1 A1a 068
2 A2 119
2 A2 148
1 A2 150
1 A2a 075
2 A2b 036
2 A2b 057
2 A2b 111
1 P-A 002
2 P-A 007

# 1118bcfb
Energy: Metal
2 A1 225
1 A1a 068
1 A2 111
2 A2 119
1 A2 147
1 A2a 075
2 A2b 036
2 A2b 057
2 A2b 070
1 A2b 071
1 A2b 072
2 P-A 005
2 P-A 007

# 215142f2
Energy: Metal
1 A1 225
2 A2 119
1 A2 146
2 A2 147
1 A2 150
2 A2 154
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 070
1 A2b 072
2 P-A 005
2 P-A 007

# 253c47fb
Energy: Metal
1 A1a 068
2 A2 119
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2 155
1 A2a 073
1 A2a 075
2 A2b 036
2 A2b 057
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 25da99a9
Energy: Metal
2 A1a 068
2 A2 119
1 A2 146
2 A2 147
1 A2 150
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 069
1 A2b 070
1 A2b 072
2 P-A 005
2 P-A 007

# 2ba01b0a
Energy: Metal
1 A1 225
2 A1a 068
2 A2 119
1 A2 147
1 A2 148
1 A2 150
1 A2 154
1 A2a 071
1 A2b 035
2 A2b 036
2 A2b 057
1 A2b 071
2 A2b 111
2 P-A 007

# 2cc6034e
Energy: Metal
1 A1 225
1 A1a 068
2 A2 119
1 A2 147
1 A2 148
1 A2 150
1 A2 154
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 070
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 37951c7b
Energy: Metal
1 A1 225
2 A1a 068
2 A2 119
1 A2 147
1 A2 148
1 A2 150
1 A2 154
1 A2b 036
2 A2b 057
1 A2b 069
1 A2b 072
2 A2b 111
2 P-A 001
2 P-A 007

# 396dc26e
Energy: Metal
1 A1a 068
2 A2 119
1 A2 146
2 A2 147
1 A2 148
1 A2 150
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 072
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 39ddb853
Energy: Metal
1 A1 225
1 A1a 068
2 A2 119
1 A2 147
1 A2 148
1 A2 150
1 A2a 071
2 A2b 036
2 A2b 057
1 A2b 069
2 A2b 070
1 A2b 071
2 A2b 111
2 P-A 007

# 44fb6eb3
Energy: Metal
2 A2 111
2 A2 119
2 A2 147
1 A2 150
2 A2b 036
2 A2b 057
1 A2b 071
1 A2b 072
2 A3 146
1 A3 151
1 P-A 002
2 P-A 005
1 P-A 007

# 45086b21
Energy: Metal
2 A1a 068
2 A2 111
2 A2 119
1 A2 147
2 A2 148
1 A2 150
2 A2b 036
2 A2b 057
1 A2b 069
1 A2b 071
2 A2b 111
2 P-A 007

# 47e52e2c
Energy: Metal
1 A1 225
2 A2 111
2 A2 119
2 A2 147
2 A2 148
1 A2 150
2 A2b 036
2 A2b 057
2 A2b 111
2 P-A 002
2 P-A 007

# 4a99d655
Energy: Metal
1 A1 225
1 A1a 068
2 A2 119
1 A2 146
2 A2 147
1 A2 150
2 A2a 075
2 A2b 036
2 A2b 057
2 A2b 070
2 A2b 111
2 P-A 007

# 5322d934
Energy: Metal
1 A1 225
1 A1a 068
2 A2 119
1 A2 147
1 A2 148
1 A2 154
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 069
2 A2b 070
1 A2b 071
2 P-A 005
2 P-A 007

# 553c7e33
Energy: Metal
2 A2 119
1 A2 150
1 A2 155
2 A2b 057
2 A3 066
1 A3 151
2 A4 153
2 B2 147
2 B2a 054
2 B2a 077
1 P-A 005
2 P-A 007

# 55c59fcc
Energy: Metal
1 A1 225
1 A1a 068
2 A2 119
1 A2 147
1 A2 148
1 A2 150
1 A2 154
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 070
1 A2b 071
1 P-A 001
2 P-A 005
2 P-A 007

# 5bf135e5
Energy: Metal
2 A2 119
1 A2 146
2 A2 147
1 A2 148
1 A2 150
2 A2a 075
2 A2b 036
2 A2b 057
2 A2b 111
2 P-A 001
1 P-A 002
2 P-A 007

# 5dce25a7
Energy: Metal
2 A2 119
1 A2 146
2 A2 147
1 A2 148
2 A2a 075
2 A2b 036
2 A2b 057
1 A2b 070
2 A2b 072
1 P-A 001
2 P-A 005
2 P-A 007

# 5e62c8c1
Energy: Metal
1 A1 225
1 A1a 068
2 A2 119
2 A2 147
1 A2 150
2 A2b 036
2 A2b 057
1 A2b 069
2 A2b 070
2 P-A 001
2 P-A 005
2 P-A 007

# 5f3a4dea
Energy: Metal
1 A1 225
1 A1a 068
2 A2 119
1 A2 147
1 A2 148
2 A2a 075
2 A2b 036
2 A2b 057
2 A2b 070
2 A2b 071
2 P-A 005
2 P-A 007

# 63de4957
Energy: Metal
1 A1 225
1 A1a 068
2 A2 119
2 A2 147
1 A2 148
1 A2 150
2 A2b 036
2 A2b 057
1 A2b 071
2 A2b 072
1 A3 151
1 P-A 001
1 P-A 005
2 P-A 007

# 65f406f3
Energy: Metal
2 A1 225
2 A1a 068
2 A2 119
1 A2 146
2 A2 147
1 A2 150
1 A2a 075
1 A2b 036
2 A2b 057
1 A2b 070
1 A2b 072
2 P-A 005
2 P-A 007

# 6611550d
Energy: Metal
1 A1 225
2 A1a 068
2 A2 119
1 A2 146
2 A2 147
1 A2 150
2 A2a 075
1 A2b 036
2 A2b 057
1 A2b 070
1 A2b 072
2 P-A 005
2 P-A 007

# 67739311
Energy: Metal
1 A1 225
2 A1a 068
2 A2 119
1 A2 146
2 A2 147
1 A2 150
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 070
1 A2b 072
2 P-A 005
2 P-A 007

# 6dbb24c1
Energy: Metal
1 A1 225
2 A1a 068
2 A2 119
2 A2 146
2 A2 147
2 A2a 075
2 A2b 036
2 A2b 057
1 A2b 069
2 P-A 005
2 P-A 007

# 6ec213cf
Energy: Metal
1 A1 223
1 A1 225
1 A1a 068
2 A2 119
1 A2 146
2 A2 147
2 A2b 036
2 A2b 057
1 A2b 069
1 A2b 070
1 A2b 071
2 A2b 111
1 P-A 001
2 P-A 007

# 72f29e78
Energy: Metal
2 A1a 068
2 A2 119
1 A2 146
2 A2 148
1 A2 150
2 A2a 075
2 A2b 036
2 A2b 057
2 A2b 071
2 P-A 005
2 P-A 007

# 781560db
Energy: Metal
2 A2 119
2 A2 147
1 A2 150
1 A2 154
1 A2b 036
2 A2b 057
1 A2b 069
1 A2b 070
1 A2b 072
2 A2b 111
2 P-A 001
2 P-A 002
2 P-A 007

# 801d515a
Energy: Metal
1 A1 225
2 A1a 068
1 A2 022
2 A2 119
1 A2 146
2 A2 147
1 A2 150
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 070
2 P-A 005
2 P-A 007

# 8497122f
Energy: Metal
1 A1 225
1 A1a 068
2 A2 119
1 A2 146
1 A2 147
1 A2 148
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 069
2 A2b 070
1 A2b 071
2 P-A 005
2 P-A 007

# 94738bab
Energy: Metal
1 A1 225
1 A1a 068
2 A2 119
2 A2 147
1 A2 148
1 A2 150
2 A2a 075
2 A2b 036
2 A2b 057
1 A2b 069
1 A2b 070
2 P-A 005
2 P-A 007

# 9581c394
Energy: Metal
1 A1 225
2 A1a 068
2 A2 119
1 A2 146
2 A2 147
1 A2 150
1 A2a 075
1 A2b 036
2 A2b 057
2 A2b 070
1 P-A 001
2 P-A 005
2 P-A 007

# 9f6d151b
Energy: Metal
2 A1a 068
2 A2 119
2 A2 146
2 A2 147
2 A2 150
2 A2b 036
2 A2b 057
2 P-A 002
2 P-A 005
2 P-A 007

# a2a3f1b9
Energy: Metal
2 A2 119
2 A2 147
1 A2 148
2 A2a 075
1 A2b 036
2 A2b 057
1 A2b 069
1 A2b 070
2 A2b 111
2 P-A 001
2 P-A 002
2 P-A 007

# a49d82ec
Energy: Metal
1 A1 225
2 A1a 068
2 A2 119
2 A2 147
1 A2 148
1 A2 150
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 070
1 A2b 072
2 P-A 005
2 P-A 007

# ba4ddbe4
Energy: Metal
1 A1 225
2 A2 111
2 A2 119
1 A2 146
2 A2 147
2 A2 148
1 A2 150
1 A2a 075
2 A2b 036
2 A2b 057
1 P-A 001
1 P-A 005
2 P-A 007

# bbcb2c8b
Energy: Metal
2 A2 119
1 A2 150
2 A2a 075
2 A2b 036
2 A2b 057
1 B1 225
2 B2 145
1 B2 147
2 B2 148
1 P-A 002
2 P-A 005
2 P-A 007

# bc6c5e88
Energy: Metal
1 A1a 068
1 A2 022
2 A2 119
2 A2 147
1 A2 154
1 A2a 071
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 071
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# c189f277
Energy: Metal
1 A1 225
2 A1a 068
2 A2 119
1 A2 147
1 A2 148
1 A2 150
1 A2 154
1 A2a 071
2 A2b 036
2 A2b 057
1 A2b 070
1 A2b 071
2 P-A 005
2 P-A 007

# c3187989
Energy: Metal
1 A1a 032
2 A1a 068
2 A2 119
1 A2 155
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 069
1 A2b 070
1 A4 158
2 P-A 002
2 P-A 005
2 P-A 007

# c92bff94
Energy: Metal
2 A1a 068
2 A2 119
2 A2 147
1 A2 148
1 A2 150
1 A2a 071
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 071
1 A2b 072
2 P-A 005
2 P-A 007

# cac0d5d7
Energy: Metal
2 A2 119
1 A2 147
1 A2 148
1 A2 150
2 A2a 075
1 A2b 035
2 A2b 036
2 A2b 057
1 A2b 069
1 A2b 070
2 A2b 071
2 A2b 111
2 P-A 007

# d4d83e15
Energy: Metal
2 A1a 068
2 A2 119
2 A2 146
1 A2 147
1 A2 148
1 A2a 071
2 A2a 075
2 A2b 036
2 A2b 057
1 A2b 072
2 P-A 005
2 P-A 007

# d516ea7d
Energy: Metal
1 A1 225
1 A1a 032
2 A1a 068
2 A2 119
2 A2 147
1 A2 148
1 A2 150
2 A2b 036
2 A2b 057
1 A2b 070
1 A2b 071
2 A2b 111
2 P-A 007

# d7b0e0c3
Energy: Metal
1 A1 225
1 A1a 032
1 A1a 068
2 A2 119
2 A2 148
1 A2 154
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 069
1 A2b 071
1 A2b 072
2 P-A 005
2 P-A 007

# da65c2f4
Energy: Metal
1 A1 225
1 A1a 032
1 A1a 068
2 A2 119
2 A2 147
2 A2 154
2 A2b 036
2 A2b 057
1 A2b 069
2 P-A 002
2 P-A 005
2 P-A 007

# ee22b331
Energy: Metal
1 A1 225
1 A1a 068
2 A2 119
1 A2 146
2 A2 147
1 A2a 075
2 A2b 036
2 A2b 057
2 A2b 070
1 A2b 071
1 A2b 072
2 P-A 005
2 P-A 007

# f2313da8
Energy: Metal
1 A1 225
2 A1a 068
2 A2 119
1 A2 146
2 A2 147
1 A2 150
1 A2a 075
2 A2b 036
2 A2b 057
1 A2b 070
1 A2b 072
2 A2b 111
2 P-A 007

# f70d51cc
Energy: Metal
2 A1 225
2 A1a 068
2 A2 119
2 A2 147
2 A2a 075
2 A2b 036
2 A2b 057
2 A2b 071
2 P-A 005
2 P-A 007

# f8523b2e
Energy: Metal
1 A1 225
1 A1a 032
2 A1a 068
2 A2 119
2 A2 147
1 A2 150
2 A2 154
1 A2a 075
2 A2b 036
2 A2b 057
2 P-A 005
2 P-A 007

# f87512b6
Energy: Metal
1 A2 022
2 A2 119
2 A2 147
1 A2 154
2 A2a 075
2 A2b 036
2 A2b 057
1 A2b 071
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# ff462625
Energy: Metal
1 A1 225
1 A1a 032
2 A1a 068
2 A2 119
1 A2 146
2 A2 147
2 A2 154
1 A2a 075
2 A2b 036
2 A2b 057
2 A2b 111
2 P-A 007
