# 144f444c
Energy: Fighting
2 A1 223
1 A2 146
1 A2 147
2 A2 150
1 A2 155
1 A3 151
2 A4 099
2 A4 100
1 A4 101
2 A4 102
1 A4 157
2 P-A 005
2 P-A 007

# 9a9570db
Energy: Fighting
2 A1 223
1 A1a 047
1 A1a 068
1 A2 147
2 A2 150
2 A4 099
2 A4 100
2 A4 102
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# a8bd9826
Energy: Fighting
2 A1 223
1 A1 225
1 A2 147
1 A2 148
1 A2 150
1 A2 155
1 A3 151
2 A4 099
2 A4 100
1 A4 101
2 A4 102
1 A4 157
2 P-A 005
2 P-A 007

# cc58dafc
Energy: Fighting
1 A1 223
1 A2 148
2 A2 150
1 A2 155
1 A2b 071
1 A3 151
2 A4 099
2 A4 100
1 A4 101
2 A4 102
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007

# e9991d88
Energy: Fighting
2 A1a 047
1 A2 146
2 A2 147
2 A2 150
1 A2 155
1 A2b 070
1 A2b 071
1 A4 099
1 A4 100
2 A4 102
2 A4 158
2 P-A 005
2 P-A 007

# f8fe91a0
Energy: Fighting
1 A1 223
1 A1a 068
1 A2 146
2 A2 148
1 A2 150
1 A2b 070
2 A4 099
2 A4 100
1 A4 101
2 A4 102
1 A4 157
1 A4 158
2 P-A 005
2 P-A 007

# fc11a217
Energy: Fighting
2 A1a 068
2 A2 148
2 A2 150
2 A4 099
2 A4 100
2 A4 102
1 B1 225
2 B2 145
1 B2 153
2 P-A 005
2 P-A 007
