# 30040c60
Energy: Lightning, Water
1 A1 064
1 A1 068
2 A1 183
2 A1 184
2 A1 196
1 A1 218
2 A1 223
2 A1 225
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 337e92cc
Energy: Lightning, Water
1 A1 081
2 A1 183
2 A1 184
2 A1 196
1 A1 216
1 A1 223
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 33c6a094
Energy: Lightning, Water
2 A1 081
2 A1 183
2 A1 184
2 A1 196
2 A1 216
2 A1 223
2 A1 225
2 P-A 001
2 P-A 005
2 P-A 007

# 3603349a
Energy: Lightning, Water
2 A1 081
2 A1 183
2 A1 184
2 A1 196
2 A1 216
2 A1 220
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 52dc87e3
Energy: Lightning, Water
2 A1 135
2 A1 160
2 A1 183
2 A1 184
2 A1 196
2 A1 223
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 81bd8d9e
Energy: Lightning, Water
2 A1 057
2 A1 183
2 A1 184
2 A1 196
2 A1 223
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# c8095cbd
Energy: Lightning, Water
2 A1 183
2 A1 184
2 A1 196
1 A1 218
2 A1 223
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# fe4274b3
Energy: Lightning, Water
2 A1 081
2 A1 183
2 A1 184
2 A1 196
2 A1 216
1 A1 223
2 A1 225
2 P-A 002
2 P-A 005
2 P-A 007
1 P-A 022
