# 0fd0aae7
Energy: Lightning, Water
1 A1 225
1 A1a 063
1 A2 155
1 A3 066
2 A3 144
1 A3 151
2 A3b 051
1 A3b 052
2 A3b 053
1 A4 066
1 A4 157
1 B1 225
1 B1a 065
2 P-A 005
2 P-A 007

# 166827d9
Energy: Lightning, Water
1 A1 225
1 A2 155
2 A3 144
1 A3 155
2 A3b 051
1 A3b 052
2 A3b 053
1 A4 066
1 A4 077
2 A4 157
1 A4a 023
1 B1 225
2 P-A 005
2 P-A 007

# 18066835
Energy: Lightning, Water
2 A1 183
1 A1 184
2 A1 216
2 A3 144
1 A3 155
2 A3b 053
1 A4 066
1 A4a 023
1 B1 223
1 B1 226
2 P-A 002
2 P-A 005
2 P-A 007

# 240346bb
Energy: Lightning, Water
2 A1 183
1 A1a 068
2 A2 144
1 A2 155
1 A2a 072
1 A2b 069
2 A3 144
1 A3 151
2 A3 155
2 A3b 053
2 P-A 005
1 P-A 006
2 P-A 007

# 2c5b757c
Energy: Lightning, Water
2 A1 183
1 A1 184
1 A1 225
1 A2 147
1 A2 155
2 A3 144
1 A3 155
2 A3b 053
1 A4 066
1 A4 077
1 A4 157
1 A4a 023
1 P-A 002
2 P-A 005
2 P-A 007

# 38ff1067
Energy: Lightning, Water
1 A2 146
1 A2 155
2 A3 144
1 A3 151
1 A3 155
2 A3b 051
1 A3b 052
2 A3b 053
1 A4 066
1 A4 077
2 A4 157
1 A4a 023
2 P-A 005
2 P-A 007

# 39f2bf8b
Energy: Lightning, Water
2 A1 183
1 A1 184
1 A2 155
2 A3 144
1 A3 151
2 A3 155
2 A3b 053
1 A4 066
1 A4 157
1 A4a 023
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 3d6006e6
Energy: Lightning, Water
1 A1 225
1 A3 066
2 A3 144
1 A3 155
2 A3b 051
2 A3b 053
1 A4 101
1 A4 151
2 A4 157
1 A4 158
1 A4a 023
2 P-A 005
1 P-A 006
2 P-A 007

# 43b8cfc3
Energy: Lightning, Water
2 A1 183
1 A2 146
2 A2 147
1 A2 155
1 A2b 069
1 A2b 070
2 A3 144
2 A3 151
1 A3 155
2 A3b 053
1 P-A 005
2 P-A 006
2 P-A 007

# 43dc42b8
Energy: Lightning, Water
1 A1 184
1 A2 146
1 A2 147
1 A2 155
2 A3 144
1 A3a 064
2 A3b 051
2 A3b 053
1 A4 066
1 A4 077
2 A4 157
1 A4a 023
2 P-A 005
2 P-A 007

# 44d58c7a
Energy: Lightning, Water
1 A1 225
1 A2 147
1 A2b 070
1 A3a 064
1 A3b 051
2 A3b 053
1 A4 066
2 A4 157
1 B1 223
2 B1 225
1 B2b 051
2 B2b 052
2 P-A 005
2 P-A 007

# 51010916
Energy: Lightning, Water
1 A1 184
1 A2 147
2 A3 144
1 A3 155
2 A3b 051
2 A3b 053
1 A4 066
1 A4 077
2 A4 157
1 A4a 023
1 B1 223
1 B1 225
2 P-A 005
2 P-A 007

# 54477b9f
Energy: Lightning, Water
1 A1 184
2 A1a 063
1 A2 146
2 A3 144
1 A3 155
2 A3b 051
2 A3b 053
1 A4 066
1 A4a 023
1 B1 225
2 B2a 087
2 P-A 005
2 P-A 007

# 54ec11f5
Energy: Lightning, Water
2 A1 183
2 A1 217
2 A3 144
1 A3 155
2 A3b 053
1 A4 066
1 A4a 023
2 B1 225
2 B2a 087
1 B2a 091
2 P-A 005
2 P-A 007

# 5976b18f
Energy: Lightning, Water
1 A1 225
1 A2 150
1 A2 155
2 A3 144
2 A3b 051
1 A3b 052
2 A3b 053
1 A4 066
1 A4 077
2 A4 157
1 A4a 023
1 B1 225
2 P-A 005
2 P-A 007

# 5cc3ca8e
Energy: Lightning, Water
1 A1 183
1 A2 146
1 A2 147
1 A2a 072
2 A3 144
1 A3 155
1 A3b 051
1 A3b 052
2 A3b 053
1 A4 066
1 A4 077
2 A4 157
1 A4a 023
2 P-A 005
2 P-A 007

# 82c0426f
Energy: Lightning, Water
1 A1 183
1 A1 184
1 A1 225
2 A3 144
1 A3b 051
2 A3b 053
1 A4 066
1 A4 077
1 A4a 023
1 B1 225
2 B2 146
2 B2a 087
2 P-A 005
2 P-A 007

# 9755fbb4
Energy: Lightning, Water
2 A1 183
2 A2 146
1 A2 147
2 A3 144
1 A3 155
1 A3a 064
1 A3b 052
2 A3b 053
1 A4 066
2 A4 157
2 P-A 005
1 P-A 006
2 P-A 007

# b079a7a4
Energy: Lightning, Water
1 A1 225
1 A2 155
1 A2a 072
1 A3 066
2 A3 144
2 A3 155
2 A3b 051
1 A3b 052
2 A3b 053
2 A3b 067
2 P-A 005
1 P-A 006
2 P-A 007

# b4f4eb91
Energy: Lightning, Water
1 A1 184
1 A2 146
1 A2 147
1 A2 155
2 A3 144
2 A3b 051
2 A3b 053
1 A4 066
1 A4 077
2 A4 157
