# 04133e2d
Energy: Fighting
2 A1 139
2 A1 140
1 A1 223
2 A1a 041
2 A1a 042
2 A1a 047
2 A2 091
2 A2 092
1 A2 150
2 P-A 005
2 P-A 007

# 1f502315
Energy: Fighting
2 A1 139
2 A1 140
1 A1 225
2 A1a 041
2 A1a 042
1 A1a 047
1 A2 085
1 A2 146
1 A2 148
1 A2 150
2 A2b 111
2 P-A 002
2 P-A 007

# 4b4d689a
Energy: Fighting
2 A1 139
2 A1 140
2 A1 154
1 A1 203
2 A1 223
1 A1 225
2 A1a 041
2 A1a 042
2 P-A 001
2 P-A 005
2 P-A 007

# 6d0194a1
Energy: Fighting
2 A1 139
2 A1 140
2 A1 225
2 A1a 041
2 A1a 042
2 A1a 047
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 725c3243
Energy: Fighting
2 A1 139
2 A1 140
1 A1 223
2 A1a 041
2 A1a 042
1 A1a 047
1 A2 146
1 A2 150
1 A2 155
1 A3 151
1 A3a 064
2 P-A 005
1 P-A 006
2 P-A 007

# 99e932a1
Energy: Fighting
1 A1 139
1 A1 140
1 A1 141
1 A1 155
1 A1 198
1 A1 223
1 A1 225
1 A1a 042
1 A2 087
1 A2 146
1 A2 147
1 A2 148
1 A2a 073
1 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# fe065421
Energy: Fighting
2 A1 139
2 A1 140
2 A1 141
2 A1a 042
2 A1a 047
2 A2 091
2 A2 092
2 A2 146
2 P-A 005
2 P-A 007
