# 160bf7a3
Energy: Darkness
1 A1a 068
1 A2 110
1 A2 147
1 A2a 010
1 A2b 071
1 A3b 034
1 A3b 043
2 A3b 056
2 A3b 066
1 A4 112
2 A4 134
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007

# 30f200d8
Energy: Darkness
1 A1 225
1 A2 110
1 A2 147
1 A2 148
1 A2 155
1 A2a 010
1 A2b 071
1 A3b 034
1 A3b 043
2 A3b 056
2 A3b 066
1 A4 112
2 A4 134
2 P-A 005
2 P-A 007

# 354e0f85
Energy: Darkness
1 A2 110
1 A2 147
1 A2 148
1 A2b 070
1 A2b 071
1 A3 146
1 A3 151
2 A3a 042
1 A3a 064
1 A3b 056
1 A3b 066
1 A4 112
1 B1 138
1 B1 158
1 B1 219
1 B1 225
1 B1a 065
1 P-A 005
1 P-A 007

# 37341ad1
Energy: Darkness
1 A1a 068
1 A2 110
1 A2 146
1 A2 147
1 A2 155
1 A3b 034
2 A3b 043
2 A3b 056
2 A3b 066
1 A4 112
2 B1 184
1 B1 225
2 P-A 005
2 P-A 007

# 3b89e39a
Energy: Darkness
1 A1 186
1 A1 187
2 A1 225
1 A2 110
1 A2 150
1 A2 154
1 A2b 070
1 A2b 072
2 A3b 056
2 A4 112
2 B1 151
2 P-A 005
2 P-A 007
1 P-B 006

# 4ddb7531
Energy: Darkness
2 A1 087
2 A1 089
1 A2 147
1 A2 155
2 A3 144
2 A3b 056
2 A4 112
2 B1 109
2 B1 225
2 P-A 005
2 P-A 007

# aa407119
Energy: Darkness
1 A2 110
1 A2 148
1 A2b 070
1 A2b 071
1 A3 146
1 A3 151
2 A3a 042
1 A3a 043
1 A3a 064
1 A3b 056
1 A4 112
1 B1 138
1 B1 158
1 B1 219
2 B1 225
1 P-A 005
1 P-A 006
1 P-A 007

# f2990e58
Energy: Darkness
1 A1 225
1 A1a 068
1 A2 110
1 A2 147
1 A2 155
1 A2a 010
1 A3b 034
2 A3b 043
2 A3b 056
2 A3b 066
1 A4 112
2 A4 134
2 P-A 005
2 P-A 007
