# 0ae88e3d
Energy: Lightning
2 A1a 027
2 A2 057
1 A2 143
1 A2 147
2 A2 153
1 A3 151
2 A3a 021
1 A3a 064
2 A4 066
1 A4 151
1 A4 157
2 P-A 005
2 P-A 007

# 475a7726
Energy: Lightning
2 A2 056
2 A2 057
1 A2 146
1 A2 147
1 A2 150
2 A2 153
1 A3 151
1 A3a 065
2 A4 066
1 A4 071
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007

# 574abd7a
Energy: Lightning
1 A1 225
2 A2 056
2 A2 057
1 A2 147
1 A2 150
2 A2 153
1 A3 151
2 A3a 021
2 A4 066
2 A4 151
2 P-A 005
2 P-A 007

# 60156518
Energy: Lightning
1 A1 225
2 A1a 027
1 A1a 068
2 A2 057
1 A2 146
1 A2 147
1 A2 148
1 A2b 070
2 A3a 021
2 A4 066
2 A4 151
2 P-A 005
2 P-A 007

# 6aaaadf0
Energy: Lightning
1 A1 225
2 A2 056
2 A2 057
2 A2 147
1 A2 150
2 A2 153
2 A3a 021
1 A3a 064
2 A4 066
1 A4 151
2 P-A 005
2 P-A 007

# 865f2456
Energy: Lightning
2 A1a 027
2 A2 057
1 A2 150
2 A2 153
1 A2 155
1 A2b 071
2 A3 066
1 A3a 064
2 A4 066
1 A4 151
1 P-A 002
2 P-A 005
2 P-A 007

# 9f92ad7f
Energy: Lightning
1 A1 225
2 A1a 027
2 A2 057
2 A2 147
2 A2 153
1 A3 151
2 A3a 021
1 A3a 064
2 A4 066
1 A4 151
2 P-A 005
2 P-A 007

# b6b2626c
Energy: Lightning
1 A1 225
2 A1a 027
2 A2 057
1 A2 146
1 A2 147
2 A2 153
1 A2b 071
2 A3 066
2 A4 066
2 P-A 002
2 P-A 005
2 P-A 007
