# 09f7a152
Energy: Fire
1 A1 225
1 A2 150
1 A2 155
1 A2b 071
2 A3 144
1 A4 157
2 A4a 010
2 B1 217
2 B2a 016
2 B2a 018
1 B2a 087
2 P-A 005
2 P-A 007

# 0ee15884
Energy: Fire
1 A1 225
2 A2 148
1 A2 150
2 A3 144
1 A3 151
2 A4a 010
2 B1 217
1 B1 225
1 B2 145
1 B2 154
2 B2a 016
2 B2a 018
2 P-A 007

# 332140bc
Energy: Fire
1 A1 225
1 A1a 068
1 A2 147
1 A2 150
1 A2b 070
2 A3 144
2 A4a 010
2 B1 217
1 B1 223
2 B2a 016
2 B2a 018
2 P-A 005
2 P-A 007

# 378809a6
Energy: Fire
2 A1 225
1 A2 150
1 A2 155
2 A3 144
1 A4 032
2 A4a 010
2 B1 217
1 B1 225
2 B2a 016
2 B2a 018
2 P-A 005
2 P-A 007

# 4485b4dd
Energy: Fire
1 A1a 068
1 A2 147
2 A3 144
1 A3a 069
2 A4a 010
2 B1 217
1 B2 023
1 B2 154
2 B2a 016
1 B2a 017
2 B2a 018
2 P-A 005
2 P-A 007

# 4bd54454
Energy: Fire
2 A1a 068
1 A2 150
2 A3 144
1 A3a 069
2 A4a 010
2 B1 217
1 B2 023
1 B2 154
2 B2a 016
2 B2a 018
2 P-A 005
2 P-A 007

# 5dae0cc1
Energy: Fire
1 A2 150
1 A2 155
1 A2b 071
2 A3 144
2 A4a 010
2 B1 217
1 B1 225
1 B2 154
2 B2a 016
2 B2a 018
1 B2a 021
2 P-A 005
2 P-A 007

# 5ef8fb51
Energy: Fire
1 A1a 068
1 A2 147
1 A2 150
1 A2 155
1 A3 144
2 A4a 010
2 B1 217
1 B1 225
1 B2 154
2 B2a 016
1 B2a 017
2 B2a 018
2 P-A 005
2 P-A 007

# 6065c20c
Energy: Fire
1 A1 225
1 A1a 068
2 A3 144
1 A3a 069
1 A4 032
2 A4a 010
2 B1 217
1 B2 023
2 B2a 016
2 B2a 018
1 B2a 093
2 P-A 005
2 P-A 007

# 74696480
Energy: Fire
1 A1 225
1 A2 150
1 A2 155
2 A3 144
1 A4 032
2 A4a 010
2 B1 217
1 B1 225
1 B2 154
2 B2a 016
2 B2a 018
2 P-A 005
2 P-A 007

# 82bf8b8b
Energy: Fire
2 A1a 068
1 A2 150
2 A3 144
2 A4a 010
2 B1 217
2 B1 225
2 B2a 016
1 B2a 017
2 B2a 018
2 P-A 005
2 P-A 007

# 847b9240
Energy: Fire
1 A1 225
1 A2b 070
2 A3 144
1 A3a 069
2 A4a 010
2 B1 217
1 B2 023
1 B2 154
2 B2a 016
2 B2a 018
2 P-A 005
1 P-A 006
2 P-A 007

# 8ee3664e
Energy: Fire
1 A2 147
1 A2 150
1 A2 155
1 A2b 070
2 A3 144
2 A4 032
1 A4a 010
1 B1 217
1 B1 223
1 B1 225
1 B2 145
1 B2a 016
2 B2a 018
2 P-A 005
2 P-A 007

# 9027bdd5
Energy: Fire
1 A1 225
2 A3 144
1 A3a 064
1 A4 032
2 A4a 010
2 B1 217
1 B1 225
1 B2 145
1 B2 154
2 B2a 016
2 B2a 018
2 P-A 005
2 P-A 007

# 9c192a14
Energy: Fire
1 A2 147
1 A2 150
2 A3 144
1 A3a 069
1 A4 157
2 A4a 010
2 B1 217
1 B1 225
1 B2 023
2 B2a 016
2 B2a 018
2 P-A 005
2 P-A 007

# a300c06c
Energy: Fire
1 A1 225
1 A2 150
1 A2 155
2 A3 144
2 A4 032
2 A4a 010
2 B1 217
1 B1 225
2 B2a 016
2 B2a 018
2 P-A 005
2 P-A 007

# aa5fad17
Energy: Fire
1 A1a 068
1 A2 150
2 A3 144
1 A3a 069
2 A4a 010
2 B1 217
1 B1 225
1 B2 023
1 B2 154
2 B2a 016
2 B2a 018
2 P-A 005
2 P-A 007

# b4df7da7
Energy: Fire
1 A2 147
1 A2 150
1 A2b 071
2 A3 144
2 A4a 010
2 B1 217
1 B1 225
1 B2 154
2 B2a 016
2 B2a 018
2 P-A 005
1 P-A 006
2 P-A 007

# c8667d29
Energy: Fire
1 A1 225
2 A2 148
1 A2 150
1 A2 155
2 A3 144
2 A4a 010
2 B1 217
1 B1 225
1 B2 154
2 B2a 016
2 B2a 018
1 P-A 005
2 P-A 007

# e8da693e
Energy: Fire
2 A2 147
1 A2 150
2 A3 144
2 A4a 010
2 B1 217
1 B1 225
1 B2 154
2 B2a 016
1 B2a 017
2 B2a 018
2 P-A 005
2 P-A 007
