# 2c7dd5b9
Energy: Grass
2 A1 021
1 A1 022
1 A1 023
2 A1 219
2 A2 008
2 A2 009
2 A2 146
2 A2 147
2 P-A 002
2 P-A 005
2 P-A 007

# 4ab3193a
Energy: Grass
2 A1 021
2 A1 023
2 A1 219
1 A1a 068
1 A2 004
1 A2 005
1 A2 008
1 A2 009
2 A2 022
1 A2 146
1 A2 148
1 A2 150
2 P-A 005
2 P-A 007

# b6f0792b
Energy: Grass
2 A1 021
2 A1 023
2 A1 219
1 A1a 068
2 A2 008
2 A2 009
1 A2 146
2 A2 148
1 A2 150
1 P-A 002
2 P-A 005
2 P-A 007

# ff51f6e9
Energy: Grass
2 A1 021
2 A1 023
2 A1 219
1 A1 225
1 A1a 068
2 A2 008
2 A2 009
1 A2 146
2 A2 148
1 A2 150
1 P-A 002
1 P-A 005
2 P-A 007
