# 0931a0a9
Energy: Fire
1 A1 225
1 A2b 071
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
2 A3b 055
1 A4 032
2 A4 151
1 A4 158
2 P-A 005
2 P-A 007

# 0f88bc2d
Energy: Fire
1 A1 225
1 A2b 071
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
2 A3b 066
2 A4 032
1 A4 134
1 A4 158
2 P-A 005
2 P-A 007

# 17114df5
Energy: Fire
1 A1 223
1 A1 225
1 A2 147
1 A2 155
1 A2b 070
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
2 A3b 055
1 A3b 066
2 P-A 005
2 P-A 007

# 1cd123a0
Energy: Fire
1 A1 225
1 A2 155
1 A2b 070
1 A2b 071
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
2 A4 032
2 A4 134
2 P-A 005
2 P-A 007

# 27344c8c
Energy: Fire
1 A1 223
1 A2 150
1 A2 155
1 A2b 071
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
2 A3b 055
2 A3b 066
2 P-A 005
2 P-A 007

# 2f1c96cc
Energy: Fire
1 A1 223
1 A2 147
1 A2 150
1 A2 155
1 A2b 070
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
1 A3b 055
1 A3b 056
1 A3b 066
2 P-A 005
2 P-A 007

# 2f6580f6
Energy: Fire
1 A1 223
1 A1 225
1 A2b 071
1 A3 151
2 A3a 060
2 A3a 061
1 A3a 067
2 A3b 009
1 A3b 066
2 A4 032
2 A4 134
2 P-A 005
2 P-A 007

# 4bbc62ab
Energy: Fire
1 A1 225
1 A2 155
1 A2b 071
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
1 A3b 066
2 A4 032
2 A4 134
2 P-A 005
2 P-A 007

# 51ef82cf
Energy: Fire
1 A1 225
1 A2 150
1 A2b 070
1 A3 151
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
2 A3b 055
2 A3b 067
2 P-A 005
2 P-A 007

# 56a8de44
Energy: Fire
1 A1 225
1 A2 150
1 A2 154
1 A2 155
1 A3 151
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
2 A3b 055
1 A3b 066
2 P-A 005
2 P-A 007

# 5a51652e
Energy: Fire
1 A1 223
1 A2 150
1 A2b 071
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
2 A4 032
2 A4 134
1 A4 158
2 P-A 005
2 P-A 007

# 5fa610e5
Energy: Fire
1 A1 225
1 A2 146
1 A2 150
1 A2 155
1 A2b 071
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
2 A3b 055
1 P-A 002
2 P-A 005
2 P-A 007

# 66410094
Energy: Fire
1 A1 223
1 A1 225
1 A2 150
1 A2 155
1 A2b 071
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
2 A3b 055
1 A3b 066
2 P-A 005
2 P-A 007

# 75ea289d
Energy: Fire
1 A1 225
2 A2b 070
2 A3a 060
2 A3a 061
1 A3a 067
1 A3b 008
2 A3b 009
2 A3b 055
1 A3b 056
2 A3b 066
2 P-A 005
2 P-A 007

# 7dda9abb
Energy: Fire
1 A2 147
1 A2 150
1 A2b 069
1 A2b 070
1 A2b 071
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
2 A3b 055
1 A3b 066
2 P-A 005
2 P-A 007

# 87bde571
Energy: Fire
1 A1 223
1 A1a 068
1 A2 147
1 A2 148
1 A2 150
1 A2 155
1 A2b 070
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
1 A3b 056
2 P-A 005
2 P-A 007

# 88fa525c
Energy: Fire
1 A1 225
1 A2 147
1 A2 150
1 A2 155
1 A2b 071
2 A3a 060
2 A3a 061
1 A3a 067
2 A3b 009
2 A3b 055
2 A3b 066
2 P-A 005
2 P-A 007

# 90e0f15a
Energy: Fire
2 A1 206
1 A1 225
1 A1a 068
1 A2 147
1 A2 150
1 A2b 070
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
1 A3b 066
2 P-A 005
2 P-A 007

# 9e65b9b8
Energy: Fire
1 A1 225
1 A2 155
1 A2b 071
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
1 A3b 066
2 A4 032
1 A4 134
1 A4 158
2 P-A 005
2 P-A 007

# 9f865d2d
Energy: Fire
1 A1 225
1 A2 154
1 A2 155
1 A2b 071
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
1 A3b 066
2 A4 032
1 A4 134
2 P-A 005
2 P-A 007

# a3d6ca46
Energy: Fire
1 A1 223
1 A1 225
1 A2 150
1 A2 155
1 A2b 070
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
2 A3b 055
1 A3b 067
2 P-A 005
2 P-A 007

# a9e5492d
Energy: Fire
1 A1 223
1 A2 147
1 A2 150
1 A2 155
1 A2b 070
2 A3a 060
2 A3a 061
2 A3a 067
2 A3b 009
2 A3b 055
1 A3b 066
2 P-A 005
2 P-A 007

# f7741ae6
Energy: Fire
1 A1 223
1 A1 225
1 A2 147
1 A2 155
1 A3 151
2 A3a 060
2 A3a 061
2 A3a 067
1 A3b 009
1 A4 032
1 A4 134
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007
