# 13a11225
Energy: Psychic
1 A1 127
1 A1 223
1 A1 225
1 A1a 032
1 A1a 033
1 A1a 034
1 A1a 035
2 A1a 036
2 A1a 037
2 A1a 038
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 1fb136ce
Energy: Psychic
1 A1 198
1 A1 223
2 A1 225
1 A1a 032
1 A1a 033
2 A1a 036
2 A1a 037
2 A1a 038
1 A1a 060
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 59f7e0d3
Energy: Psychic
2 A1 127
2 A1 223
2 A1 225
1 A1a 032
2 A1a 036
2 A1a 037
2 A1a 038
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 6f698503
Energy: Psychic
2 A1 127
2 A1 223
1 A1 225
1 A1a 032
2 A1a 036
2 A1a 037
2 A1a 038
2 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 77eba12b
Energy: Psychic
2 A1 223
2 A1 225
1 A1a 032
2 A1a 036
2 A1a 037
2 A1a 038
2 A1a 056
2 A1a 065
1 P-A 001
2 P-A 002
2 P-A 007

# 925a0a41
Energy: Psychic
1 A1 127
1 A1 223
1 A1 225
1 A1a 032
1 A1a 034
1 A1a 035
2 A1a 036
2 A1a 037
2 A1a 038
2 A1a 065
2 P-A 002
2 P-A 005
2 P-A 007

# 99eef012
Energy: Psychic
1 A1 127
1 A1 223
1 A1 225
1 A1a 032
1 A1a 034
1 A1a 035
2 A1a 036
2 A1a 037
2 A1a 038
2 A1a 065
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# a09e8afa
Energy: Psychic
1 A1 127
2 A1 223
1 A1 225
1 A1a 032
2 A1a 036
2 A1a 037
2 A1a 038
1 A1a 060
2 A1a 065
1 A1a 068
1 P-A 002
2 P-A 005
2 P-A 007

# ad8f122d
Energy: Psychic
2 A1 127
1 A1 198
1 A1 223
1 A1a 032
2 A1a 036
2 A1a 037
2 A1a 038
2 A1a 065
1 A1a 068
2 P-A 002
2 P-A 005
2 P-A 007

# b88ee5b9
Energy: Psychic
2 A1 127
1 A1 223
1 A1 225
1 A1a 032
1 A1a 034
1 A1a 035
2 A1a 036
2 A1a 037
2 A1a 038
2 A1a 065
1 P-A 002
2 P-A 005
2 P-A 007

# cc6d714e
Energy: Psychic
2 A1 127
2 A1 198
1 A1 225
1 A1a 032
2 A1a 036
2 A1a 037
2 A1a 038
2 A1a 065
2 P-A 002
2 P-A 005
2 P-A 007

# d41171cb
Energy: Psychic
1 A1 127
1 A1 225
1 A1a 032
1 A1a 034
1 A1a 035
2 A1a 036
2 A1a 037
2 A1a 038
2 A1a 065
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007
