# 052e8121
Energy: Darkness
1 A2 110
1 A2 148
1 A2 150
2 A3 144
2 B1 109
1 B1 151
2 B1 225
2 B2 098
2 B2 100
1 B2 152
2 P-A 005
1 P-A 006
2 P-A 007

# 0f4bdbff
Energy: Darkness
1 A1 225
1 A2 110
2 A2 148
1 A2 150
2 A3 144
1 B1 151
1 B1 223
1 B1 225
2 B2 098
2 B2 100
2 B2 152
2 P-A 005
2 P-A 007

# 106d300b
Energy: Darkness
1 A2 110
1 A2 148
1 A2 150
2 A3 144
2 B1 109
1 B1 151
2 B1 225
2 B2 098
2 B2 100
2 B2 152
2 P-A 005
2 P-A 007

# 115873c9
Energy: Darkness
1 A1 225
1 A2 110
1 A2 150
2 A3 144
2 B1 109
1 B1 151
2 B1 225
2 B2 098
2 B2 100
2 B2 152
2 P-A 005
2 P-A 007

# 11a54f86
Energy: Darkness
1 A2 110
2 A2 150
2 A3 144
2 B1 109
1 B1 151
2 B1 225
2 B2 098
2 B2 100
2 B2 152
2 P-A 005
2 P-A 007

# 16d9e1ec
Energy: Darkness
1 A1a 068
1 A2 110
1 A2 148
1 A2 150
1 A2 155
2 A3 144
2 B1 109
1 B1 151
1 B1 225
2 B2 098
2 B2 100
1 B2 152
2 P-A 005
2 P-A 007

# 23350c44
Energy: Darkness
1 A2 148
1 A2 150
1 A2 155
1 A3 144
1 A4 120
2 B1 109
1 B1 151
1 B1 225
2 B2 098
1 B2 099
2 B2 100
1 B2 147
2 B2 152
1 P-A 005
2 P-A 007

# 27aad6a2
Energy: Darkness
1 A2 110
1 A2 150
2 A3 144
2 B1 109
1 B1 151
2 B1 225
2 B2 098
2 B2 100
2 B2 152
1 B2 154
2 P-A 005
2 P-A 007

# 27d3c85f
Energy: Darkness
2 A2 148
1 A2 150
2 A3 144
2 A4 120
1 B1 151
2 B1 225
2 B2 098
1 B2 099
2 B2 100
1 B2 152
2 P-A 005
2 P-A 007

# 2c529532
Energy: Darkness
1 A2 110
1 A2 148
1 A2 150
2 A3 144
1 B1 109
1 B1 151
2 B1 225
2 B2 098
1 B2 099
2 B2 100
2 B2 152
2 P-A 005
2 P-A 007

# 2ddaa77d
Energy: Darkness
1 A2 110
1 A2 148
1 A2 150
2 A3 144
2 B1 109
1 B1 151
2 B1 225
2 B2 098
1 B2 099
2 B2 100
1 B2 152
2 P-A 005
2 P-A 007

# 300ae394
Energy: Darkness
1 A1 225
1 A2 110
1 A2 148
1 A2 150
2 A3 144
2 B1 109
1 B1 151
2 B1 225
2 B2 098
2 B2 100
1 B2 152
2 P-A 005
2 P-A 007

# 3297fdee
