# 1f5a31e5
Energy: Fighting
1 A1 225
2 A2 068
1 A2 095
1 A2 147
1 A2 150
2 A3 144
1 A4 032
1 A4 066
1 B1 225
1 B1a 065
1 B2 145
1 B3 084
1 B3 149
1 B3 154
2 P-A 005
2 P-A 007

# 291ca242
Energy: Fighting
2 A1 130
1 A2 069
1 A2 089
1 A2 095
1 A2 144
1 A2 147
1 A2 150
2 A3 144
1 A3 155
1 A4a 023
2 B1 225
1 B3 084
2 B3 154
1 P-A 005
2 P-A 007

# 2bcc9338
Energy: Fighting
1 A1 154
1 A1 225
2 A2 068
1 A2 095
1 A2 148
1 A2 150
1 A2b 071
2 A3 144
1 A4 102
2 B1 225
1 B3 084
2 B3 154
2 P-A 005
2 P-A 007

# 4cca0532
Energy: Fighting
2 A2 068
1 A2 095
1 A2 150
1 A2b 070
1 A3 066
2 A3 144
2 A4 066
1 B1 225
1 B2a 093
2 B3 084
1 B3 149
1 B3 154
2 P-A 005
2 P-A 007

# c71789c3
Energy: Fighting
2 A2 068
1 A2 095
1 A2 146
1 A2 150
1 A2b 071
2 A3 144
2 A4 032
1 B1 225
1 B2b 069
1 B3 084
1 B3 154
1 B3a 071
1 P-A 002
2 P-A 005
2 P-A 007

# e17451ea
Energy: Fighting
2 A2 068
1 A2 095
2 A3 066
2 A3 144
1 A4 066
1 B1 177
1 B1 223
1 B1 225
1 B2b 069
2 B3 084
1 B3 149
1 B3 154
2 P-A 005
2 P-A 007
