# 0e89618d
Energy: Fighting
2 A1 098
2 A2 051
2 A2 053
2 A2 068
2 A2 069
2 A2 095
1 A2 146
2 A2 148
1 A2 150
2 P-A 005
2 P-A 007

# 424712cd
Energy: Fighting
2 A1 098
2 A1 130
2 A2 051
2 A2 053
2 A2 095
1 A2 147
1 A2 150
2 A3 144
2 A3 155
2 P-A 005
2 P-A 007

# bd52ae18
Energy: Fighting
2 A1 098
2 A1 130
2 A2 051
2 A2 053
2 A2 069
2 A2 095
2 A2 146
1 A2 150
1 P-A 002
2 P-A 005
2 P-A 007

# c34fa801
Energy: Fighting
2 A1 098
2 A1 130
1 A1 225
2 A2 051
2 A2 053
2 A2 069
2 A2 095
2 A2 146
1 A2 150
2 P-A 005
2 P-A 007
