# 4720f237
Energy: Fighting, Water
1 A1a 068
1 A2 022
2 A2 121
2 A2 122
2 A2 123
2 A2 143
1 A2 146
2 A2 148
2 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 6526fdcc
Energy: Fighting, Water
1 A1 223
2 A1 225
2 A2 121
2 A2 122
2 A2 123
2 A2 143
1 A2 147
1 A2 150
2 A2 152
1 A2 154
2 P-A 005
2 P-A 007

# 88b3c903
Energy: Fighting, Water
2 A2 022
2 A2 121
2 A2 123
2 A2 143
2 A2 147
1 A2 152
2 A2a 046
1 A2b 069
2 P-A 002
2 P-A 005
2 P-A 007

# d6a0062e
Energy: Fighting, Water
1 A1a 068
2 A2 121
2 A2 122
2 A2 123
2 A2 143
2 A2 146
2 A2 147
1 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# d74b117d
Energy: Fighting, Water
2 A2 121
2 A2 123
2 A2 143
2 A2 147
1 A2 148
1 A2 150
2 A2 152
1 A2 155
2 A2a 046
1 A2a 072
2 P-A 005
2 P-A 007
