# 007297cc
Energy: Psychic
1 A1 128
1 A1 129
2 A1 130
2 A1 131
2 A1 132
2 A1 223
2 A1 225
2 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 01c9319f
Energy: Psychic
1 A1 129
2 A1 130
2 A1 131
2 A1 132
1 A1 223
2 A1 225
1 A1a 032
2 A1a 065
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 01cbd695
Energy: Psychic
1 A1 128
1 A1 129
2 A1 130
2 A1 131
2 A1 132
1 A1 225
1 A1a 032
2 A1a 065
2 A1a 068
2 P-A 001
2 P-A 005
2 P-A 007

# 02baba3e
Energy: Psychic
2 A1 128
1 A1 129
2 A1 130
2 A1 131
2 A1 132
2 A1 223
1 A1 225
2 A1a 065
2 A1a 068
2 P-A 005
2 P-A 007

# 02d07744
Energy: Psychic
1 A1 129
2 A1 130
2 A1 131
2 A1 132
1 A1 223
2 A1 225
1 A1a 032
1 A1a 033
2 A1a 065
2 A1a 068
2 P-A 005
2 P-A 007

# 03fa87cb
Energy: Psychic
1 A1 129
2 A1 130
2 A1 131
2 A1 132
1 A1 198
1 A1 210
1 A1 211
1 A1 218
1 A1 225
1 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 055f1cac
Energy: Psychic
1 A1 128
1 A1 129
2 A1 130
2 A1 131
2 A1 132
2 A1 196
1 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 05afb500
Energy: Psychic
1 A1 124
1 A1 125
1 A1 128
1 A1 129
2 A1 130
2 A1 131
2 A1 132
1 A1 225
1 A1a 032
2 A1a 065
2 A1a 068
2 P-A 005
2 P-A 007

# 06393d6a
Energy: Psychic
1 A1 127
1 A1 129
2 A1 130
2 A1 131
2 A1 132
2 A1 225
1 A1a 032
2 A1a 065
1 A1a 068
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 08c669bb
Energy: Psychic
1 A1 124
1 A1 125
1 A1 127
1 A1 128
1 A1 129
2 A1 130
2 A1 131
2 A1 132
1 A1 211
2 A1 223
1 A1 225
2 P-A 001
1 P-A 002
2 P-A 007

# 09bce1ac
Energy: Psychic
1 A1 129
2 A1 130
