# 0dc4d1fb
Energy: Psychic
2 A1 120
1 A2 146
1 A2 150
2 A2a 033
1 A2b 035
1 A2b 072
2 A3 074
2 A3 075
1 A3 084
2 A3 144
1 A3 155
2 P-A 005
2 P-A 007

# 1bb6d6e6
Energy: Psychic
2 A1 120
1 A1 225
1 A2 146
1 A2 150
2 A2a 033
1 A2b 069
1 A2b 072
1 A3 074
1 A3 075
1 A3 084
2 A3 144
1 A3 151
1 A3 155
2 P-A 005
2 P-A 007

# 2c5d2877
Energy: Psychic
2 A1 120
1 A1 121
2 A2a 033
2 A2b 070
2 A3 074
2 A3 075
1 A3 084
2 A3 144
1 A3 151
1 A3 155
2 P-A 005
2 P-A 007

# 2f94c6ea
Energy: Psychic
2 A1 120
1 A1 122
2 A2 146
1 A2a 033
1 A2b 070
2 A3 074
2 A3 075
2 A3 144
2 A3 155
2 P-A 005
2 P-A 007
1 P-A 020

# 4f8a8b61
Energy: Psychic
2 A1 120
1 A1 225
1 A2 150
1 A2 155
1 A2a 032
2 A2a 033
1 A2b 070
2 A3 074
2 A3 075
2 A3 144
1 A3 151
2 P-A 005
2 P-A 007

# 54bf38ff
Energy: Psychic
1 A1 120
1 A1 225
1 A2 148
1 A2a 031
2 A2a 032
2 A2a 033
1 A3 074
1 A3 075
2 A3 144
1 A3 151
2 A3 155
1 P-A 001
2 P-A 005
2 P-A 007

# 69c44a91
Energy: Psychic
1 A1 225
1 A2 146
1 A2 150
2 A2a 031
2 A2a 033
1 A2b 070
2 A3 074
2 A3 075
2 A3 144
1 A3 155
1 P-A 002
2 P-A 005
2 P-A 007

# 69f091dc
Energy: Psychic
1 A1 120
1 A1 225
1 A2 078
1 A2 148
1 A2a 031
2 A2a 032
2 A2a 033
1 A3 074
1 A3 075
1 A3 077
2 A3 144
1 A3 155
2 P-A 001
1 P-A 005
2 P-A 007

# 8c346786
Energy: Psychic
2 A1 120
1 A2 150
2 A2a 033
1 A2b 035
1 A2b 069
2 A3 074
2 A3 075
1 A3 084
2 A3 144
1 A3 155
2 P-A 005
1 P-A 006
2 P-A 007

# b5754065
Energy: Psychic
1 A1 120
1 A1 225
1 A2 078
1 A2 148
1 A2a 031
2 A2a 032
2 A2a 033
1 A3 074
1 A3 075
2 A3 144
1 A3 155
2 P-A 001
2 P-A 005
2 P-A 007

# b78f99bf
Energy: Psychic
2 A1 120
2 A1 225
1 A2a 032
2 A2a 033
2 A3 074
2 A3 075
1 A3 077
1 A3 084
2 A3 144
1 A3 146
1 A3 155
1 P-A 002
2 P-A 007

# c9238367
Energy: Psychic
2 A1 120
1 A1 121
2 A2a 033
1 A2b 070
1 A2b 072
2 A3 074
2 A3 075
1 A3 080
2 A3 144
1 A3 151
1 A3 155
2 P-A 005
2 P-A 007

# dc83d457
Energy: Psychic
2 A1 120
1 A1 225
1 A2 146
1 A2 150
2 A2a 033
2 A3 074
2 A3 075
1 A3 084
2 A3 144
1 A3 155
2 P-A 005
1 P-A 006
2 P-A 007
