# 01506bed
Energy: Psychic
2 A1 120
1 A1 122
1 A1 225
1 A2 146
1 A2 147
1 A2 150
1 A2 155
1 A2a 033
1 A3 077
2 A3 084
2 A3 144
1 A3 151
2 P-A 005
1 P-A 006
2 P-A 007

# 0413df5f
Energy: Psychic
2 A1 120
1 A1 121
1 A2 147
1 A2 148
1 A2 150
1 A2 155
2 A2a 033
1 A3 077
2 A3 084
2 A3 144
2 A3 155
2 P-A 005
2 P-A 007

# 070968f2
Energy: Psychic
2 A1 120
1 A2 147
1 A2 150
2 A2a 033
1 A2b 072
1 A3 077
2 A3 084
2 A3 144
1 A3 146
1 A3 151
1 A3 155
2 P-A 005
1 P-A 006
2 P-A 007

# 0bbf2a69
Energy: Psychic
2 A1 120
1 A1 223
2 A2 147
2 A2a 033
1 A2b 069
1 A3 077
2 A3 084
2 A3 144
1 A3 151
1 A3 155
2 P-A 005
1 P-A 006
2 P-A 007

# 0c0615f0
Energy: Psychic
2 A1 120
1 A1 225
1 A2 146
1 A2 147
1 A2 148
1 A2 150
2 A2a 033
1 A2b 070
1 A3 077
2 A3 084
2 A3 144
1 A3 151
2 P-A 005
2 P-A 007

# 16036be6
Energy: Psychic
2 A1 120
1 A1 223
1 A2 146
1 A2 147
1 A2 150
2 A2a 033
1 A3 077
2 A3 084
2 A3 144
1 A3 151
1 A3 155
2 P-A 005
2 P-A 007
1 P-A 020

# 1b8e7306
Energy: Psychic
2 A1 120
1 A1 121
2 A2 147
1 A2 150
1 A2 155
2 A2a 033
1 A3 077
2 A3 084
2 A3 144
2 A3 155
2 P-A 005
2 P-A 007

# 23f5a3ec
Energy: Psychic
2 A1 120
1 A1 121
1 A1 225
1 A2 148
1 A2 150
2 A2a 033
2 A3 084
2 A3 144
1 A3 146
2 A3 155
2 P-A 005
1 P-A 006
2 P-A 007

# 24a63d3c
Energy: Psychic
2 A1 120
1 A1 223
1 A2 146
1 A2 150
2 A2a 033
1 A2b 069
1 A3 077
2 A3 084
2 A3 144
1 A3 151
1 A3 155
2 P-A 005
1 P-A 006
2 P-A 007

# 2817dd1e
Energy: Psychic
2 A1 120
1 A1 121
1 A1 223
1 A2 147
1 A2 150
2 A2a 033
1 A2b 069
2 A3 084
2 A3 144
1 A3 151
1 A3 155
2 P-A 005
1 P-A 006
2 P-A 007

# 2f7c094a
Energy: Psychic
2 A1 120
1 A2 146
1 A2 150
1 A2 155
2 A2a 033
1 A3 077
2 A3 084
2 A3 144
2 A3 146
1 A3 151
1 A3 155
2 P-A 005
2 P-A 007

# 34778bb6
Energy: Psychic
