# 0fabae11
Energy: Water
2 A1 087
2 A1 089
1 A2 147
2 A2 150
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 P-A 005
2 P-A 007

# 114340cc
Energy: Water
2 A1 089
1 A2 150
1 A2a 072
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 071
2 B1 225
2 P-A 005
2 P-A 007

# 14dbe572
Energy: Water
2 A1 087
2 A1 089
1 A2 148
1 A2 150
1 A2 155
1 A2a 072
2 A3 144
1 A3 151
2 A3a 060
2 A3a 061
1 A3a 067
2 P-A 005
2 P-A 007

# 254af321
Energy: Water
2 A1 087
2 A1 089
1 A1 225
1 A2 147
1 A2 150
1 A2a 072
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 P-A 005
1 P-A 006
2 P-A 007

# 295cb6f4
Energy: Water
1 A1 088
2 A1 089
2 A2a 072
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 071
2 B1 225
2 P-A 005
2 P-A 007

# 32120caf
Energy: Water
2 A1 087
2 A1 089
1 A1 223
1 A1 225
1 A2 147
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 P-A 005
2 P-A 007

# 3dfbd30a
Energy: Lightning, Water
2 A1 087
2 A1 089
1 A2 150
1 A2 155
1 A3 066
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
1 B1 223
1 B1 225
2 P-A 005
2 P-A 007

# 408ce5e7
Energy: Water
2 A1 089
2 A2 150
1 A2 155
1 A2a 072
2 A3 144
2 A3a 060
2 A3a 061
2 B1 071
1 B1 223
1 B1 225
2 P-A 005
2 P-A 007

# 53144158
Energy: Water
2 A1 089
1 A2 150
1 A2 155
1 A2a 072
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 071
2 B1 225
2 P-A 005
2 P-A 007

# 576b00c8
Energy: Water
2 A1 087
2 A1 089
2 A2 150
1 A2a 072
1 A2b 069
1 A3 080
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
1 P-A 005
2 P-A 007

# 5ae2f4c4
Energy: Water
2 A1 087
2 A1 089
1 A1 225
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
1 B1 223
1 B1 225
2 P-A 005
2 P-A 007

# 617c0347
Energy: Water
2 A1 089
1 A1 225
1 A2 150
1 A2a 072
2 A3a 060
2 A3a 061
2 A3a 067
1 B1 072
1 B1 225
2 P-A 005
1 P-A 006
2 P-A 007
2 P-B 003

# 632bec9d
Energy: Psychic, Water
2 A1 087
2 A1 089
1 A2 146
2 A2 150
1 A2a 072
1 A2b 035
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 P-A 005
2 P-A 007

# 680ad985
Energy: Water
2 A1 087
1 A1 088
2 A1 089
2 A2 150
1 A2b 069
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 P-A 005
2 P-A 007

# 6a9785d5
Energy: Psychic, Water
2 A1 087
2 A1 089
1 A2 150
1 A2 155
1 A2a 072
1 A2b 035
1 A2b 069
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 P-A 005
2 P-A 007

# 7033b453
Energy: Water
2 A1 087
2 A1 089
1 A1 220
1 A2 049
1 A2 146
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 P-A 005
2 P-A 007

# 7ea14acb
Energy: Psychic, Water
2 A1 087
2 A1 089
1 A2 150
1 A2 155
1 A2b 035
1 A2b 070
2 A3 144
1 A3 151
2 A3a 060
2 A3a 061
1 A3a 067
2 P-A 005
2 P-A 007

# 829e09af
Energy: Water
2 A1 087
2 A1 089
1 A1 225
1 A2 150
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
1 B1 225
2 P-A 005
2 P-A 007

# 868dae84
Energy: Water
2 A1 087
2 A1 089
1 A2 148
1 A2a 072
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 225
2 P-A 005
2 P-A 007

# 8c8f317d
Energy: Lightning, Water
2 A1 087
2 A1 089
1 A2 150
1 A2 155
1 A2a 072
1 A3 066
2 A3 144
1 A3 151
2 A3a 060
2 A3a 061
1 A3a 067
2 P-A 005
2 P-A 007

# 93867fff
Energy: Water
2 A1 087
2 A1 089
1 A1 223
2 A2 150
1 A2a 072
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 P-A 005
2 P-A 007
