# 0cef0082
Energy: Lightning, Water
2 A1 087
2 A1 088
2 A1 089
2 A1 183
2 A1 184
1 A1 185
1 A1 223
2 A1 225
2 P-A 002
2 P-A 005
2 P-A 007

# 14567ff3
Energy: Water
2 A1 087
1 A1 088
2 A1 089
1 A1 185
1 A2 146
1 A2 150
2 A3 144
1 A3b 051
1 A3b 052
2 A4 066
2 A4 151
2 P-A 005
2 P-A 007

# 1cc69ad1
Energy: Lightning, Water
2 A1 087
2 A1 088
2 A1 089
2 A1 183
2 A1 184
1 A1 185
1 A1 203
1 A1 225
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 4999a581
Energy: Lightning, Water
2 A1 087
2 A1 088
2 A1 089
1 A1 183
1 A1 184
1 A1 185
1 A1 225
1 A2 146
1 A2 147
1 A2 148
2 A2 150
1 P-A 002
2 P-A 005
2 P-A 007

# 54c17278
Energy: Lightning, Water
2 A1 087
2 A1 088
1 A1 089
1 A1 183
1 A1 184
1 A1 185
1 A1 203
2 A1 220
2 A1 225
2 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007

# 5619a02f
Energy: Lightning, Water
2 A1 087
2 A1 088
2 A1 089
1 A1 183
1 A1 184
1 A1 185
1 A1 196
1 A1 220
1 A1 223
1 A1 225
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 56a60774
Energy: Lightning, Water
1 A1 083
2 A1 087
2 A1 088
2 A1 089
1 A1 183
1 A1 184
1 A1 185
1 A1 203
2 A1 220
2 A1 225
2 P-A 001
1 P-A 005
2 P-A 007

# 692403c6
Energy: Lightning, Water
1 A1 084
2 A1 087
2 A1 088
2 A1 089
1 A1 104
2 A1 183
1 A1 184
1 A1 185
2 A1 220
2 P-A 002
2 P-A 005
2 P-A 007

# 73a16b48
Energy: Lightning, Water
2 A1 087
2 A1 088
2 A1 089
1 A1 183
1 A1 184
1 A1 185
2 A1 203
1 A1 223
2 A1 225
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 825a660c
Energy: Lightning, Water
1 A1 084
2 A1 087
2 A1 088
2 A1 089
2 A1 183
2 A1 184
1 A1 185
2 A1 220
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 909b743b
Energy: Lightning, Water
2 A1 087
2 A1 088
2 A1 089
2 A1 183
2 A1 184
1 A1 185
1 A1 223
1 A1 225
1 P-A 002
2 P-A 005
2 P-A 006
2 P-A 007

# 9d47b2c4
Energy: Lightning, Water
2 A1 087
1 A1 088
2 A1 089
1 A1 183
1 A1 185
1 A1a 056
1 A1a 068
1 A2 017
1 A2 148
1 A2 155
1 A2b 069
1 A2b 070
2 A3 144
2 P-A 005
2 P-A 007

# b244073c
Energy: Lightning, Water
2 A1 087
2 A1 088
2 A1 089
2 A1 183
2 A1 184
1 A1 185
2 A1 203
1 A1 225
2 P-A 002
2 P-A 005
2 P-A 007

# c64130f1
Energy: Lightning, Water
2 A1 087
2 A1 088
2 A1 089
1 A1 160
1 A1 161
2 A1 183
2 A1 184
1 A1 185
1 A1 203
2 P-A 002
2 P-A 005
2 P-A 007

# d4cdc491
Energy: Lightning, Water
2 A1 087
2 A1 088
2 A1 089
1 A1 183
1 A1 184
1 A1 185
1 A1 198
1 A1 203
1 A1 225
2 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007
