# 03998582
Energy: Darkness
1 A2 150
2 A3 146
1 A3 151
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
2 A3a 062
1 A3a 064
1 A3a 069
2 P-A 005
2 P-A 007

# 03fa2199
Energy: Darkness
1 A2 146
1 A2 150
1 A3 146
1 A3 151
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
2 A3a 062
2 A3a 069
2 P-A 005
2 P-A 007

# 09b70a57
Energy: Darkness
1 A1 225
1 A2 150
1 A2 155
1 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
1 A4 158
2 P-A 005
2 P-A 007

# 0a03ae04
Energy: Darkness
1 A2 150
2 A2b 072
2 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
2 P-A 005
2 P-A 007

# 0b4a2748
Energy: Darkness
1 A1 225
1 A2 150
1 A3 146
1 A3 151
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
1 A4 156
2 P-A 005
2 P-A 007

# 0baed4dc
Energy: Darkness
1 A2 150
1 A2 155
1 A2b 070
1 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
2 A3a 062
2 A3a 069
2 P-A 005
2 P-A 007

# 0fe6e9eb
Energy: Darkness
1 A2 147
1 A2 150
1 A2b 070
2 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
2 P-A 005
2 P-A 007

# 10d03853
Energy: Darkness
1 A2 150
1 A2b 070
1 A2b 072
2 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
2 P-A 005
2 P-A 007

# 11416613
Energy: Darkness
1 A2 147
1 A2 150
2 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
1 A4 156
2 P-A 005
2 P-A 007

# 136e34d5
Energy: Darkness
1 A1 225
1 A2 150
1 A2 155
2 A3 146
1 A3 151
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
1 A3a 069
2 P-A 005
2 P-A 007

# 1371fc40
Energy: Darkness
1 A1 225
1 A2 147
2 A2 150
1 A2b 069
1 A3 151
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
1 A4 156
2 P-A 005
2 P-A 007

# 1470062a
Energy: Darkness
1 A2 147
1 A2 150
1 A2 155
2 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
2 P-A 005
2 P-A 007

# 18e450c6
Energy: Darkness
1 A2 147
2 A2b 070
1 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
2 P-A 005
1 P-A 006
2 P-A 007

# 1ab366ce
Energy: Darkness
1 A1 225
1 A2 150
1 A2b 071
2 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
2 P-A 005
2 P-A 007

# 1b828dd4
Energy: Darkness
1 A1 225
1 A2 150
2 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
2 P-A 005
1 P-A 006
2 P-A 007

# 1bb006e2
Energy: Darkness
1 A1 225
2 A2 148
1 A2 150
1 A2 155
1 A2b 070
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
1 A4 156
2 P-A 005
2 P-A 007

# 1dbac1ef
Energy: Darkness
1 A1 225
1 A2 150
1 A2b 072
2 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
2 A3a 069
2 P-A 005
1 P-A 006
2 P-A 007

# 1fea6173
Energy: Darkness
1 A1 225
1 A2 150
2 A3 146
1 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007

# 20d5e58f
Energy: Darkness
1 A1 225
1 A2 150
1 A2 155
2 A3 146
1 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
1 A4 158
2 P-A 005
2 P-A 007

# 20f7cdc5
Energy: Darkness
1 A2 150
2 A3 146
1 A3 151
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
2 P-A 005
1 P-A 006
2 P-A 007

# 210af22d
Energy: Darkness
1 A1 225
2 A2 148
1 A2 150
1 A2b 071
1 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
1 A4 156
2 P-A 005
2 P-A 007

# 21a3b3a3
Energy: Darkness
2 A2 150
2 A3 146
1 A3 151
1 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
2 P-A 005
1 P-A 006
2 P-A 007

# 21eae773
Energy: Darkness
1 A2 150
1 A2 155
1 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
2 A3a 062
2 A3a 069
2 P-A 005
1 P-A 006
2 P-A 007

# 2330e580
Energy: Darkness
1 A2 150
1 A2 155
1 A2b 072
1 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
2 A3a 062
2 A3a 069
2 P-A 005
2 P-A 007

# 244f8d5e
Energy: Darkness
1 A2 146
1 A2 147
1 A2 150
2 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
2 P-A 005
2 P-A 007

# 25da2c71
Energy: Darkness
1 A2 147
1 A2 150
1 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
1 A4 156
1 A4 158
2 P-A 005
2 P-A 007

# 28acf8f5
Energy: Darkness
1 A2 147
2 A2 150
1 A2 155
1 A2b 070
1 A3 146
1 A3 151
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 064
2 P-A 005
2 P-A 007

# 29ba6d94
Energy: Darkness
1 A1 225
1 A2 150
1 A2b 070
1 A3 146
1 A3 151
1 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
2 A3a 062
2 A3a 069
2 P-A 005
2 P-A 007

# 2a1d58c3
Energy: Darkness
1 A2 150
1 A2 155
1 A2b 070
1 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
1 A3a 064
2 A3a 069
2 P-A 005
2 P-A 007

# 2ae7d33a
Energy: Darkness
1 A2 150
2 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
1 A4 156
1 A4 158
2 P-A 005
2 P-A 007

# 2b99a181
Energy: Darkness
2 A2 147
1 A2 150
1 A3 151
2 A3a 043
2 A3a 044
2 A3a 045
2 A3a 062
1 A3a 064
2 A3a 069
2 P-A 005
1 P-A 006
2 P-A 007

# 2d9ab165
Energy: Darkness
1 A1 225
1 A2 150
2 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
2 A3a 069
1 B3 115
2 P-A 005
1 P-A 006
2 P-A 007

# 2e27c55e
Energy: Darkness
1 A1 225
1 A2 148
1 A2 150
1 A2 155
1 A2b 070
1 A2b 072
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
2 B1 225
1 P-A 005
2 P-A 007

# 2eff1140
Energy: Darkness
1 A2 150
2 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
1 A3a 062
2 A3a 069
1 A4 156
2 P-A 005
1 P-A 006
2 P-A 007

# 315129fb
Energy: Darkness
1 A1 225
1 A2 150
2 A2b 070
2 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
2 A3a 069
2 P-A 005
2 P-A 007

# 3192237b
Energy: Darkness
2 A2 150
1 A2 155
1 A3 146
2 A3a 042
2 A3a 043
2 A3a 044
2 A3a 045
2 A3a 062
2 A3a 069
2 P-A 005
