# 06d46469
Energy: Water
2 A1 078
2 A1 220
1 A1 225
2 A1a 017
2 A2 050
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2a 023
2 A2a 072
2 P-A 005
2 P-A 007

# 1b438e01
Energy: Water
2 A1 078
1 A1 079
2 A1 220
2 A1a 017
2 A2 050
1 A2 078
1 A2 146
1 A2 148
1 A2 154
2 A2a 072
1 P-A 002
2 P-A 005
2 P-A 007

# 30b0ef0b
Energy: Water
2 A1 078
1 A1 079
2 A1 220
1 A1 223
1 A1 225
2 A1a 017
2 A2 050
1 A2 146
1 A2 147
1 A2 148
2 A2a 072
2 P-A 005
2 P-A 007

# 391e8951
Energy: Water
2 A1 078
1 A1 079
2 A1 220
2 A1 225
2 A1a 017
2 A2 050
1 A2 146
2 A2 147
2 A2a 072
2 P-A 005
2 P-A 007

# 40a0bddf
Energy: Water
2 A1 078
2 A1 220
1 A1 223
1 A1 225
2 A1a 017
2 A2 050
1 A2 146
2 A2 147
1 A2a 023
2 A2a 072
2 P-A 005
2 P-A 007

# 420e43d1
Energy: Water
2 A1 077
2 A1 078
1 A1 079
2 A1 220
1 A1 225
1 A1a 068
2 A2 050
2 A2 147
1 A2a 072
1 A2b 069
2 A2b 072
2 P-A 005
1 P-A 007

# 4e85ac8f
Energy: Water
2 A1 078
1 A1 083
2 A1 220
1 A1 225
2 A1a 017
2 A2 050
1 A2 146
2 A2 147
1 A2 150
2 P-A 002
2 P-A 005
2 P-A 007

# 5177c9a3
Energy: Water
2 A1 078
1 A1 083
2 A1 220
1 A1 225
2 A1a 017
2 A2 050
1 A2 146
2 A2 147
1 A2 150
2 A2a 072
2 P-A 005
2 P-A 007

# 7f03ac73
Energy: Water
2 A1 078
1 A1 083
2 A1 220
1 A1 225
2 A1a 017
2 A2 050
1 A2 146
1 A2 147
1 A2 148
1 A2 155
2 A2a 072
2 P-A 005
2 P-A 007

# 80686373
Energy: Water
2 A1 078
2 A1 220
1 A1 225
2 A1a 017
2 A2 050
1 A2 147
2 A2 148
2 A2a 072
2 P-A 001
2 P-A 005
2 P-A 007

# 86179522
Energy: Water
2 A1 078
1 A1 079
1 A1 220
1 A1 223
1 A1 225
2 A1a 017
1 A1a 068
2 A2 050
1 A2 147
1 A2 148
1 A2 150
1 A2 154
1 A2a 072
2 P-A 005
2 P-A 007

# 8db0f8c6
Energy: Water
2 A1 078
1 A1 079
2 A1 220
2 A1a 017
1 A1a 068
2 A2 050
1 A2 146
2 A2 148
1 A2 150
2 A2a 072
2 P-A 005
2 P-A 007

# 8e7a63e2
Energy: Water
2 A1 078
1 A1 223
1 A1 225
2 A1a 017
2 A2 050
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2 155
1 A2a 023
2 A2a 072
2 P-A 005
2 P-A 007

# be36b177
Energy: Water
2 A1 078
2 A1 220
1 A1 225
2 A1a 017
2 A2 050
1 A2 146
1 A2 147
2 A2 148
1 A2a 023
1 A2a 072
1 A2b 071
2 P-A 005
2 P-A 007

# c4226a6a
Energy: Water
2 A1 078
2 A1 220
1 A1 225
2 A1a 017
2 A2 050
1 A2 146
2 A2 147
1 A2 150
1 A2a 023
2 A2a 072
2 P-A 005
2 P-A 007

# c8f9a0c5
Energy: Water
2 A1 078
1 A1 220
2 A1 225
2 A1a 017
1 A1a 024
2 A2 050
1 A2 146
2 A2 147
2 A2 154
1 P-A 002
2 P-A 005
2 P-A 007

# cc302779
Energy: Water
2 A1 078
1 A1 083
1 A1 091
2 A1 220
1 A1 225
2 A1a 017
2 A2 050
1 A2 150
2 A2a 072
2 P-A 002
2 P-A 005
2 P-A 007

# e2b7ce00
Energy: Water
2 A1 078
1 A1 079
1 A1 091
1 A1 220
1 A1 225
2 A1a 017
2 A2 050
1 A2 147
1 A2 148
1 A2 150
2 A2a 072
1 P-A 002
2 P-A 005
2 P-A 007

# e6f7453a
Energy: Water
2 A1 078
2 A1 220
1 A1 225
2 A1a 017
2 A2 050
1 A2 146
2 A2 147
1 A2 150
1 A2 154
1 A2a 072
1 P-A 002
2 P-A 005
2 P-A 007
