# 2316f7eb
Energy: Psychic
2 B1 110
2 B1 111
1 B1 120
2 B1 225
1 B2 155
1 B2b 069
2 B3b 031
2 B3b 059
1 B3b 060
1 B3b 065
1 P-A 002
2 P-A 005
2 P-A 007

# 3efbb2aa
Energy: Psychic
2 B1 110
2 B1 111
1 B1 120
2 B1 225
1 B1 226
2 B2 155
2 B3b 031
1 B3b 059
2 B3b 060
1 B3b 065
2 P-A 005
2 P-A 007

# 72d65c5c
Energy: Psychic
1 A1 225
1 A2 150
1 A3 080
2 B1 110
2 B1 111
1 B1 120
2 B1 225
1 B2 155
2 B3b 031
1 B3b 059
1 B3b 060
1 B3b 065
2 P-A 005
2 P-A 007

# b1ae964c
Energy: Psychic
1 A1 225
1 A3 080
2 B1 110
2 B1 111
2 B1 120
2 B1 225
1 B2 155
1 B3 148
2 B3b 031
1 B3b 059
1 B3b 060
2 P-A 005
2 P-A 007

# e63f78c0
Energy: Psychic
1 A2 150
2 B1 110
2 B1 111
2 B1 225
1 B2 147
1 B2b 069
2 B3b 031
2 B3b 059
2 B3b 060
1 B3b 064
2 P-A 005
2 P-A 007
