# 00344143
Energy: Darkness
1 A1 225
1 A2 148
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
2 B1 109
2 B1 155
2 B1 157
2 B1 225
1 P-A 006
2 P-A 007

# 0af3d409
Energy: Darkness
1 A1 223
1 A2 147
1 A2 150
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# 126e8219
Energy: Darkness
1 A1 225
1 A2 150
1 A2b 071
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
1 B1 109
2 B1 155
2 B1 157
2 P-A 005
2 P-A 007

# 164259fd
Energy: Darkness
2 A1 223
1 A2 147
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
1 B1 156
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# 179f59cd
Energy: Darkness
1 A1 223
1 A1 225
1 A2 150
1 A2 155
2 A3 144
1 A3 151
2 A3a 060
2 A3a 061
2 B1 155
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# 1dc999ce
Energy: Darkness
1 A1 225
2 A2 150
2 A2b 070
2 A3 144
1 A3 155
2 A3a 060
2 A3a 061
2 B1 155
2 B1 157
2 P-A 005
2 P-A 007

# 2b252a16
Energy: Darkness
2 A1 223
1 A1 225
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
2 B1 157
2 B1 225
1 B2 145
2 P-A 005
2 P-A 007

# 2f977afc
Energy: Darkness
1 A2 150
1 A2 155
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
2 B1 225
2 P-A 005
2 P-A 007

# 3303c618
Energy: Darkness
1 A2 150
1 A2 155
1 A2b 071
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# 3439a6a1
Energy: Darkness
1 A1 223
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
1 B1 156
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# 3dad16ef
Energy: Darkness
1 A1 225
1 A1a 068
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# 3e36abff
Energy: Darkness
2 A2 148
1 A2 150
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
1 B1 223
2 B1 225
2 P-A 007

# 3e864a47
Energy: Darkness
1 A2 147
2 A2 150
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
2 B1 157
2 B1 225
2 P-A 005
2 P-A 007

# 3ea48646
Energy: Darkness
1 A1a 068
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
2 B1 225
2 P-A 005
1 P-A 006
2 P-A 007

# 40976b4e
Energy: Darkness
1 A1 225
1 A2 150
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
1 B1 156
2 B1 157
2 B1 223
2 P-A 005
2 P-A 007

# 45ba81f9
Energy: Darkness
1 A1 223
1 A1 225
1 A2 150
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
2 B1 157
1 B1 225
1 P-A 005
2 P-A 007

# 4dce15d8
Energy: Darkness
1 A1 225
1 A2 147
1 A2b 070
2 A3 144
1 A3 151
2 A3a 060
2 A3a 061
2 B1 155
2 B1 157
2 B1 225
2 P-A 005
2 P-A 007

# 513a4c77
Energy: Darkness
1 A2 150
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
1 B1 156
2 B1 157
2 B1 225
2 P-A 005
2 P-A 007

# 51702eaa
Energy: Darkness
1 A1 225
1 A1a 068
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
1 B1 156
2 B1 157
2 P-A 005
1 P-A 006
2 P-A 007

# 52e3120a
Energy: Darkness
1 A1 223
1 A2 150
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
2 B1 157
2 B1 225
1 B2 145
2 P-A 005
2 P-A 007

# 58ffacc6
Energy: Darkness
1 A1 223
1 A2 150
1 A2 155
1 A2b 071
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
2 B1 157
2 B1 225
2 P-A 005
2 P-A 007

# 65f9d344
Energy: Darkness
1 A2 150
1 A2 155
2 A3 144
1 A3 151
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
1 B1 225
2 B2 145
1 P-A 005
2 P-A 007

# 662b254c
Energy: Darkness
1 A1 225
1 A2 150
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
2 A4 157
2 B1 155
1 B1 156
2 B1 157
2 P-A 005
2 P-A 007

# 671ea791
Energy: Darkness
1 A1 225
1 A2 150
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
1 B1 109
2 B1 155
2 B1 157
1 B1 223
2 P-A 005
2 P-A 007

# 680c964f
Energy: Darkness
1 A1 225
1 A2 150
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
1 B1 156
2 B1 157
1 B1 225
1 P-A 005
2 P-A 007

# 6a4910d0
Energy: Darkness
1 A2 147
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
1 B1 109
2 B1 155
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# 73166d68
Energy: Darkness
1 A1 223
1 A2 147
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
2 B1 225
1 B2 145
2 P-A 005
2 P-A 007

# 760f8a42
Energy: Darkness
1 A1 225
2 A3 144
2 A3 146
1 A3a 042
2 A3a 060
2 A3a 061
2 B1 155
2 B1 157
2 B1 225
2 P-A 005
2 P-A 007

# 7886d3ec
Energy: Darkness
1 A2 150
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
1 B1 156
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# 7c8ad6ed
Energy: Darkness
1 A1 225
1 A2 148
1 A2 150
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
2 B1 157
2 B1 225
2 P-A 005
2 P-A 007

# 800f71be
Energy: Darkness
1 A1 223
1 A1 225
1 A1a 068
1 A2b 071
2 A3 144
1 A3 155
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
1 B1 225
1 P-A 005
2 P-A 007

# 80b92325
Energy: Darkness
1 A1 225
1 A2 150
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
2 B1 225
2 P-A 005
2 P-A 007

# 80d6ff39
Energy: Darkness
1 A1 223
1 A2 147
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
2 B1 225
2 P-A 005
2 P-A 007

# 84cd0c94
Energy: Darkness
1 A2 147
1 A2 150
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# 88d11fa4
Energy: Darkness
1 A2 147
1 A2 148
1 A2 150
1 A2b 070
2 A3 144
1 A3 155
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
2 B1 157
1 B1 225
2 P-A 007

# 8f8e5b90
Energy: Darkness
1 A1 223
1 A1 225
1 A2 150
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
2 B1 157
2 B1 225
2 P-A 005
2 P-A 007

# 929e9361
Energy: Darkness
1 A1 225
1 A2 150
1 A2 155
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# 93333f04
Energy: Darkness
1 A2 147
1 A2 150
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
2 B1 225
2 P-A 005
2 P-A 007

# 9348ed57
Energy: Darkness
1 A1 223
1 A1a 068
2 A2 148
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
2 P-A 005
2 P-A 007

# 93d7f8b7
Energy: Darkness
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 109
2 B1 155
2 B1 157
2 B1 225
2 P-A 005
2 P-A 007

# 943f8666
Energy: Darkness
1 A1 225
1 A2 150
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
1 B1 156
2 B1 157
1 B1 223
1 B1 225
2 P-A 005
2 P-A 007

# 95de8ff2
Energy: Darkness
1 A1 223
1 A1 225
1 A2 150
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
1 B1 223
2 P-A 005
2 P-A 007

# 96037eca
Energy: Darkness
1 A2 150
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
1 B1 156
2 B1 157
2 B1 223
2 P-A 005
1 P-A 006
2 P-A 007

# 96f0ab05
Energy: Darkness
1 A1 223
1 A1 225
1 A2 148
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
2 B1 157
2 P-A 005
2 P-A 007

# 9cd564b0
Energy: Darkness
1 A1 225
1 A2 148
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
1 B1 109
2 B1 155
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# a6efdc79
Energy: Darkness
1 A1 223
1 A1 225
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
1 B1 156
2 B1 157
2 P-A 005
2 P-A 007

# a9ba82fe
Energy: Darkness
1 A1 223
1 A1 225
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
1 B1 156
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# b088349b
Energy: Darkness
1 A1 225
1 A2 150
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
1 B1 156
2 B1 157
2 B1 225
2 P-A 005
2 P-A 007

# b0cf380d
Energy: Darkness
1 A1 223
1 A2 154
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
1 B1 156
2 B1 157
1 B1 225
1 P-A 005
2 P-A 007

# b51b4069
Energy: Darkness
1 A1 223
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
1 B1 151
2 B1 155
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# b5381ba6
Energy: Darkness
1 A2 147
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
2 B1 225
1 B2 145
2 P-A 005
2 P-A 007

# b5f7b6cf
Energy: Darkness
1 A1 225
1 A2 147
1 A2 150
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# b727b5a2
Energy: Darkness
1 A1 223
1 A1 225
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
1 B1 223
1 B1 225
2 P-A 005
2 P-A 007

# be8796d9
Energy: Darkness
1 A1 225
1 A2 150
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
1 B1 156
2 B1 157
1 B1 223
1 B1 225
2 P-A 005
2 P-A 007

# c05da81d
Energy: Darkness
1 A2 150
1 A2 154
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
1 B1 156
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# c4bf2434
Energy: Darkness
1 A1 223
2 A2 148
1 A2 150
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
1 B1 223
1 B1 225
2 P-A 007

# c69e4425
Energy: Darkness
1 A1 225
1 A2 147
1 A2 150
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
2 B1 157
1 B1 225
1 B2 145
2 P-A 005
2 P-A 007

# c790911a
Energy: Darkness
1 A1 225
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
1 B1 156
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# cbadffa2
Energy: Darkness
1 A2 147
1 A2 150
1 A2b 070
1 A2b 071
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# cf0090d0
Energy: Darkness
1 A1 225
1 A2 148
1 A2 150
1 A2 155
1 A2b 071
2 A3 144
1 A3 155
2 A3a 060
2 A3a 061
2 B1 155
1 B1 156
2 B1 157
1 B1 225
2 P-A 007

# d25c97d7
Energy: Darkness
2 A1 225
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
1 B1 156
2 B1 157
2 B1 223
2 P-A 005
2 P-A 007

# d512e85c
Energy: Darkness
1 A1 223
1 A1 225
1 A1a 068
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# d5d74d55
Energy: Darkness
1 A1 223
1 A1 225
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
1 B1 156
2 B1 157
1 B1 223
1 B1 225
1 P-A 005
2 P-A 007

# d976859c
Energy: Darkness
1 A1 225
1 A2 147
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# df07ac37
Energy: Darkness
1 A2 150
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
2 B1 225
1 B2 145
2 P-A 005
2 P-A 007

# dfd249cc
Energy: Darkness
1 A2 150
1 A2b 070
1 A2b 071
2 A3 144
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# e24572fc
Energy: Darkness
1 A1 225
1 A2 148
1 A2 155
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
1 B1 109
2 B1 155
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# e579abd3
Energy: Darkness
1 A1 225
1 A2 150
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
1 B1 156
2 B1 157
1 B1 225
2 P-A 005
2 P-A 007

# e5a307d8
Energy: Darkness
1 A1 225
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
1 B1 156
2 B1 157
1 B1 223
1 B1 225
2 P-A 005
2 P-A 007

# e6e0e6a9
Energy: Darkness
1 A1 225
1 A2 147
1 A2 150
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
2 B1 157
2 B1 225
2 P-A 005
2 P-A 007

# eefa8f03
Energy: Darkness
1 A1 223
1 A2 155
2 A3 144
1 A3 151
2 A3a 060
2 A3a 061
2 A3a 067
2 B1 155
2 B1 157
2 B1 225
1 P-A 005
2 P-A 007

# f42ad80c
Energy: Darkness
1 A1 225
1 A2 150
1 A2 155
1 A2b 070
2 A3 144
2 A3a 060
2 A3a 061
2 B1 155
2 B1 157
1 B1 223
1 B1 225
2 P-A 005
2 P-A 007

# fa8f7fee
Energy: Darkness
1 A2 147
1 A2 150
2 A3 144
2 A3a 060
2 A3a 061
1 A3a 067
2 B1 155
2 B1 157
2 B1 225
1 P-A 001
2 P-A 005
2 P-A 007
