# 2d8ed8cf
Energy: Fire
1 A2 146
1 A2 147
2 A2 148
1 A2b 061
2 A2b 071
1 A3 030
1 A3 031
1 A3 032
2 A3 033
2 A3 144
1 A3 155
2 P-A 005
2 P-A 007
1 P-A 022

# 7a38ee57
Energy: Fire
1 A1 223
1 A1 225
1 A1a 068
1 A2 150
1 A2b 060
1 A2b 061
1 A2b 070
2 A3 030
1 A3 032
2 A3 033
2 A3 144
1 A3 151
1 A3 155
2 P-A 005
2 P-A 007

# 8187b0cb
Energy: Fire
1 A2 146
1 A2 150
1 A2b 061
1 A2b 070
1 A2b 071
2 A3 030
2 A3 033
2 A3 144
1 A3 151
2 A3 155
2 P-A 005
1 P-A 006
2 P-A 007
1 P-A 022

# a28cfdba
Energy: Fire
1 A1 225
1 A1a 068
1 A2b 060
1 A2b 061
1 A2b 071
2 A3 030
1 A3 032
2 A3 033
2 A3 144
1 A3 151
1 A3 155
2 P-A 001
2 P-A 005
2 P-A 007

# dd898267
Energy: Fire
1 A1 225
1 A2 155
2 A2b 060
2 A2b 061
1 A2b 069
2 A3 030
1 A3 032
2 A3 033
2 A3 144
1 A3 155
1 A3b 068
2 P-A 005
2 P-A 007

# ee7a1346
Energy: Fire
1 A1 225
2 A2 147
1 A2b 060
1 A2b 061
1 A2b 070
1 A3 030
2 A3 033
2 A3 144
1 A3 151
1 A3 155
1 A3b 011
1 A3b 068
1 P-A 002
2 P-A 005
2 P-A 007

# f44efc7b
Energy: Fire
1 A2 146
1 A2 147
1 A2 150
2 A2b 060
2 A2b 061
2 A3 031
1 A3 032
2 A3 033
2 A3 066
1 A3 144
1 P-A 002
2 P-A 005
2 P-A 007
