# 0599108c
Energy: Fire
2 A2 027
2 A2 029
1 A2b 071
2 A3 144
1 A3 155
1 A3a 064
1 A3b 009
1 A3b 034
2 A4 134
2 A4 151
2 P-A 005
1 P-A 006
2 P-A 007

# 242cbf87
Energy: Fire
1 A1 045
2 A2 027
2 A2 029
1 A2 154
1 A2b 071
2 A3 144
1 A3b 009
1 A3b 034
2 A3b 055
1 A3b 056
2 A3b 066
2 P-A 005
2 P-A 007

# 3b308caf
Energy: Fire
2 A2 027
1 A2 028
2 A2 029
2 A2 148
1 A2b 071
2 A3 144
1 A3b 009
1 A3b 034
2 A4 134
2 A4 151
2 P-A 005
2 P-A 007

# 40b8b802
Energy: Fire
1 A1 225
1 A1a 068
2 A2 027
2 A2 029
1 A2 154
1 A2 155
2 A3 144
1 A3 155
1 A3b 008
1 A3b 009
2 A3b 055
1 A3b 066
2 P-A 005
2 P-A 007

# 4830bd86
Energy: Fire
2 A2 027
2 A2 029
2 A3 144
1 A3 155
2 A3a 064
1 A3b 009
1 A3b 034
2 A4 134
2 A4 151
2 P-A 005
1 P-A 006
2 P-A 007

# 5c587481
Energy: Fire
1 A1 045
2 A2 027
2 A2 029
2 A2 154
2 A3 144
1 A3 155
1 A3b 009
1 A3b 034
2 A3b 055
1 A3b 066
1 P-A 002
2 P-A 005
2 P-A 007

# 64d5228f
Energy: Fire
1 A1 045
2 A2 027
2 A2 029
1 A2 155
1 A2b 071
2 A3 144
1 A3b 009
1 A3b 055
2 A4 032
1 A4 134
2 A4 151
2 P-A 005
2 P-A 007

# 6afc337b
Energy: Fire
2 A2 027
2 A2 029
1 A2 154
1 A2b 071
2 A3 144
1 A3b 008
1 A3b 009
1 A3b 034
2 A3b 055
1 A3b 056
2 A3b 066
2 P-A 005
2 P-A 007

# 9a2a8306
Energy: Fire
1 A1 225
1 A1a 061
2 A2 027
1 A2 028
2 A2 029
1 A2 147
2 A2 154
1 A2 155
1 A2b 069
2 A3 144
1 A3 155
1 A3b 009
2 P-A 005
2 P-A 007

# b37f4e36
Energy: Fire
1 A1 045
2 A2 027
2 A2 029
2 A2 154
2 A3 144
1 A3 155
1 A3b 009
1 A3b 034
2 A3b 055
2 A3b 066
2 P-A 005
2 P-A 007

# b971ae9f
Energy: Fire
1 A1a 061
2 A2 027
2 A2 029
1 A2 150
2 A2 154
1 A2b 071
2 A3 144
1 A3 155
1 A3b 009
1 A3b 034
1 A4 134
1 A4 151
2 P-A 005
2 P-A 007

# bc76a2b5
Energy: Fire
1 A1 225
2 A2 027
2 A2 029
1 A2 155
1 A2b 071
2 A3 144
2 A3b 008
1 A3b 009
2 A3b 055
2 A3b 066
2 P-A 005
2 P-A 007

# beb67b8a
Energy: Fire
1 A1 225
2 A2 027
2 A2 029
2 A2 154
1 A2b 071
2 A3 144
1 A3b 008
1 A3b 009
2 A3b 055
2 A3b 066
2 P-A 005
2 P-A 007

# c606a54b
Energy: Fire
1 A1 225
1 A1a 012
2 A2 027
2 A2 029
1 A2b 071
2 A3 144
1 A3b 009
1 A3b 034
1 A3b 055
1 A4 032
1 A4 134
2 A4 151
2 P-A 005
2 P-A 007

# d9d4106d
Energy: Fire
1 A1a 061
2 A2 027
2 A2 029
1 A2 150
2 A2 154
1 A2b 071
2 A3 144
1 A3 146
2 A3a 042
1 A3b 009
1 A4 151
2 P-A 005
2 P-A 007

# ea8baf18
Energy: Fire
1 A1 206
1 A1 225
2 A2 027
2 A2 029
1 A2 147
1 A2b 070
1 A2b 071
2 A3 144
1 A3b 008
1 A3b 009
1 A3b 055
1 A3b 066
2 P-A 005
1 P-A 006
2 P-A 007

# f00c01ee
Energy: Fire
2 A2 027
1 A2 028
2 A2 029
2 A2 146
2 A2 154
2 A3 144
2 A3 155
2 A3b 009
2 A3b 055
1 P-A 005
2 P-A 007

# f010657d
Energy: Fire
1 A1 225
1 A1a 068
2 A2 027
2 A2 029
1 A2 150
1 A2 154
1 A2 155
1 A2b 069
2 A3 144
1 A3a 009
1 A3a 069
1 A3b 009
1 A3b 055
2 P-A 005
2 P-A 007

# fbf1f937
Energy: Fire
2 A2 027
2 A2 029
1 A2 150
1 A2b 071
2 A3 144
1 A3 155
1 A3b 009
1 A3b 034
1 A4a 010
2 B1 184
2 B1 217
2 P-A 005
2 P-A 007
