# 0389d75e
Energy: Grass
1 A1 216
1 A1 217
2 A1 219
2 A2 020
1 A2 144
2 A3 147
1 A3b 066
2 A4 134
1 B1 214
1 B1 216
2 B1 225
1 P-A 002
1 P-A 005
2 P-A 007

# 20007517
Energy: Grass
1 A1 211
2 A1 219
2 A1a 061
2 A1a 063
2 A2 020
2 A2 144
2 A2 146
2 A2 147
1 A2 148
1 A2a 074
1 P-A 005
2 P-A 007

# 3aed0e03
Energy: Grass
1 A1 203
2 A1 219
1 A1 225
2 A1a 063
2 A2 020
1 A2 145
2 A2 147
2 A2 148
1 A2 150
2 P-A 005
2 P-A 007
2 P-A 030

# 54cb01ac
Energy: Grass
1 A1 005
2 A1 216
2 A1 219
2 A1a 061
2 A1a 063
2 A2 020
1 A2 146
1 A2b 069
2 A3 147
1 P-A 002
1 P-A 005
1 P-A 006
2 P-A 007

# 55b73798
Energy: Grass
1 A1 219
2 A1 223
2 A1a 061
2 A2 020
2 A2 144
2 A2 145
2 A2 147
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 561f8caf
Energy: Grass
1 A1 216
1 A1 219
2 A1 223
2 A1a 061
1 A1a 063
2 A2 020
1 A2 144
1 A2 145
1 A2 146
2 A2 147
1 P-A 001
2 P-A 002
1 P-A 005
2 P-A 007

# 77b4454f
Energy: Grass
1 A1 219
2 A1 223
2 A1a 061
1 A1a 063
2 A2 020
2 A2 144
1 A2 145
1 A2 146
2 A2 147
1 P-A 001
2 P-A 002
1 P-A 005
2 P-A 007

# 8a2d9d2b
Energy: Grass
1 A1 216
2 A1 217
1 A1 219
1 A1 223
2 A1a 061
2 A1a 063
2 A2 020
1 A2 146
2 A2 147
1 A2 150
1 P-A 001
1 P-A 002
1 P-A 005
2 P-A 007

# f09516c6
Energy: Grass
2 A1 216
2 A1 217
2 A1 219
1 A1 225
2 A1a 061
2 A1a 063
2 A2 020
1 A2 150
2 P-A 001
2 P-A 005
2 P-A 007
