# 0125ca71
Energy: Fighting
2 A1 155
2 A1a 047
2 A2 091
2 A2 092
2 A2 146
2 A2 148
2 A2a 036
2 P-A 002
2 P-A 005
2 P-A 007

# 0637d0f0
Energy: Fighting
2 A1 155
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
2 A2 148
1 A2 150
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 0ba2c16e
Energy: Fighting
1 A1 154
2 A1 155
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 146
2 A2 147
1 A2 150
2 P-A 002
2 P-A 005
2 P-A 007

# 114689cb
Energy: Fighting
1 A1 154
2 A1 155
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 147
2 A2 150
1 A2 154
2 P-A 002
2 P-A 005
2 P-A 007

# 1684d06f
Energy: Fighting
2 A1 155
2 A1 225
2 A1a 047
2 A2 091
2 A2 092
2 A2 146
2 A2 147
2 P-A 002
2 P-A 005
2 P-A 007

# 20bc03d2
Energy: Fighting
1 A1 154
2 A1 155
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 150
2 A2a 036
2 A2b 071
1 P-A 002
2 P-A 005
2 P-A 007

# 28a83e79
Energy: Fighting
1 A1 154
2 A1 155
1 A1 223
1 A1 225
1 A1a 047
2 A2 091
2 A2 092
2 A2 146
2 A2 147
1 A2 150
1 P-A 002
2 P-A 005
2 P-A 007

# 34820e4a
Energy: Fighting
2 A1 155
1 A1 223
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 146
2 A2 148
2 A2 150
1 A2a 069
2 P-A 005
2 P-A 007

# 41b39287
Energy: Fighting
2 A1 155
1 A1 223
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 147
1 A2 148
1 A2 150
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 46f92813
Energy: Fighting
1 A1 154
2 A1 155
1 A1 225
2 A1a 047
2 A2 087
2 A2 091
2 A2 092
1 A2 147
1 A2 148
1 A2 150
1 P-A 002
2 P-A 005
2 P-A 007

# 491de225
Energy: Fighting
1 A1 154
2 A1 155
1 A1 223
1 A1 225
1 A1a 047
2 A2 091
2 A2 092
1 A2 147
1 A2 148
1 A2 150
2 A2a 036
1 P-A 002
2 P-A 005
2 P-A 007

# 4a8e975e
Energy: Fighting
1 A1 154
2 A1 155
2 A1a 047
1 A1a 048
1 A1a 068
2 A2 091
2 A2 092
1 A2 146
1 A2 147
1 A2 150
1 A2 154
1 P-A 002
2 P-A 005
2 P-A 007

# 4b3b2a00
Energy: Fighting
1 A1 154
2 A1 155
1 A1 223
1 A1 225
1 A1a 047
2 A2 091
2 A2 092
1 A2 146
1 A2 147
1 A2 148
1 A2 150
2 P-A 002
2 P-A 005
2 P-A 007

# 4f9e0781
Energy: Fighting
2 A1 155
2 A1 223
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 147
2 A2 150
2 P-A 002
2 P-A 005
2 P-A 007

# 6355f90d
Energy: Fighting
1 A1 154
2 A1 155
1 A1 223
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 147
1 A2 148
1 A2 150
2 P-A 002
2 P-A 005
2 P-A 007

# 6910536d
Energy: Fighting
1 A1 154
2 A1 155
1 A1 223
1 A1 225
1 A1a 047
1 A2 088
1 A2 089
2 A2 091
1 A2 092
1 A2 144
1 A2 146
2 A2 147
1 A2 150
2 P-A 005
1 P-A 006
1 P-A 007

# 6db21f50
Energy: Fighting
1 A1 154
2 A1 155
2 A1 225
1 A1a 047
2 A2 091
2 A2 092
1 A2 146
1 A2 147
1 A2 148
1 A2 150
2 P-A 002
2 P-A 005
2 P-A 007

# 70acdc58
Energy: Fighting
1 A1 154
2 A1 155
1 A1a 047
2 A2 091
2 A2 092
1 A2 146
2 A2 147
1 A2 150
1 A2 154
1 P-A 001
2 P-A 002
2 P-A 005
