# 0df9ddf0
Energy: Fighting
1 A1 223
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 146
1 A2 147
1 A2 150
1 A2a 036
1 A2a 069
1 A2b 069
1 A2b 071
1 P-A 001
2 P-A 005
2 P-A 007

# 12e091c2
Energy: Fighting
1 A1 154
1 A1 155
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
2 A2 147
2 A2 148
1 A2 150
1 A2b 070
1 P-A 002
2 P-A 005
2 P-A 007

# 25c07f3f
Energy: Fighting
1 A1 154
1 A1 155
1 A1 198
2 A1a 047
1 A1a 060
1 A1a 068
2 A2 091
2 A2 092
2 A2 150
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 271c535c
Energy: Fighting
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 147
2 A2 148
2 A2 150
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 27776b91
Energy: Fighting
1 A1 154
1 A1 155
1 A1 223
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 147
2 A2 148
1 A2 150
2 P-A 002
2 P-A 005
2 P-A 007

# 2be5f357
Energy: Fighting
1 A1 154
1 A1 155
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2b 070
2 P-A 002
2 P-A 005
2 P-A 007

# 335ef2fc
Energy: Fighting
1 A1 154
1 A1 155
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 146
1 A2 147
1 A2 148
2 A2 150
2 P-A 002
2 P-A 005
2 P-A 007

# 371530f0
Energy: Fighting
1 A1 154
1 A1 155
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
2 A2 148
1 A2 150
1 A2a 036
1 A2b 071
2 P-A 002
2 P-A 005
2 P-A 007

# 3aa13016
Energy: Fighting
1 A1 223
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 147
1 A2 148
1 A2 150
1 A2a 036
2 A2b 071
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 3bb2fdb2
Energy: Fighting
1 A1 154
1 A1 155
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 146
1 A2 148
1 A2 150
1 A2 155
1 A2b 069
1 A2b 070
1 P-A 002
2 P-A 005
2 P-A 007

# 48ba61fc
Energy: Fighting
1 A1 154
1 A1 155
2 A1a 047
2 A2 091
2 A2 092
2 A2 148
2 A2 150
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 521f9f8a
Energy: Fighting
2 A1 225
2 A1a 047
1 A1a 056
2 A2 091
2 A2 092
1 A2 146
1 A2 148
1 A2 150
1 A2 154
1 A2a 036
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 5b2f324a
Energy: Fighting
1 A1 150
1 A1 155
2 A1 224
2 A1a 047
2 A2 091
2 A2 092
2 A2 148
1 A2 150
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 7306fef4
Energy: Fighting
1 A1 154
1 A1 155
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 146
1 A2 147
2 A2 148
1 A2 150
2 P-A 002
2 P-A 005
2 P-A 007

# 745469f1
Energy: Fighting
1 A1 154
1 A1 155
1 A1 223
2 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 146
2 A2 147
2 P-A 002
2 P-A 005
2 P-A 007

# 8fe4ccc2
Energy: Fighting
1 A1 154
1 A1 155
1 A1 223
1 A1 225
2 A1a 047
1 A2 022
2 A2 091
2 A2 092
1 A2 147
1 A2 148
1 A2 150
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 91434397
Energy: Fighting
1 A1 154
1 A1 155
1 A1 225
2 A1a 047
1 A1a 048
2 A2 091
2 A2 092
1 A2 147
1 A2 148
1 A2 150
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 983f1cdc
Energy: Fighting
1 A1 223
2 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 147
2 A2 148
1 A2 150
1 A2a 036
1 A2b 072
1 P-A 002
2 P-A 005
2 P-A 007

# a7d75b2d
Energy: Fighting
1 A1 154
2 A1a 047
2 A2 091
2 A2 092
2 A2 146
2 A2 147
2 A2 148
1 A2 150
2 P-A 001
2 P-A 005
2 P-A 007

# aabf3204
Energy: Fighting
1 A1 154
1 A1 155
2 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 146
1 A2 155
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# d44648c3
Energy: Fighting
1 A1 155
2 A1 223
2 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 146
1 A2 148
2 A2 150
1 A2b 069
2 P-A 005
2 P-A 007

# d48e5758
Energy: Fighting
1 A1 155
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
2 A2 146
1 A2 147
1 A2 150
1 A2 155
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# d5c705c4
Energy: Fighting
1 A1 154
1 A1 155
1 A1 223
2 A1a 047
2 A2 091
2 A2 092
1 A2 146
2 A2 148
1 A2 150
1 A2 155
2 P-A 002
2 P-A 005
2 P-A 007

# f078cecc
Energy: Fighting
1 A1 155
1 A1 225
2 A1a 047
2 A2 091
2 A2 092
1 A2 146
1 A2 148
1 A2 150
1 A2 155
1 A2b 040
1 A2b 069
1 A3 151
1 P-A 002
2 P-A 005
2 P-A 007
