# 1d497fcf
Energy: Fighting
1 A1 225
2 A2 088
2 A2 089
2 A2 144
1 A2 146
1 A2 150
2 A2a 036
2 A2b 042
2 A2b 043
1 A2b 069
2 P-A 005
2 P-A 007

# 6c78c62a
Energy: Fighting
1 A1 225
1 A1a 047
2 A2 088
2 A2 089
1 A2 092
2 A2 144
1 A2 146
1 A2 150
1 A2a 036
2 A2b 042
1 A2b 043
1 A2b 069
2 P-A 005
2 P-A 007

# 76f89c05
Energy: Fighting
2 A2 088
2 A2 089
1 A2 092
2 A2 144
1 A2 147
2 A2b 042
1 A2b 043
2 A2b 070
1 A3 144
1 A3 155
1 P-A 002
2 P-A 005
2 P-A 007

# 7e451645
Energy: Fighting
1 A1 154
1 A1a 047
2 A2 088
2 A2 089
2 A2 091
1 A2 092
2 A2 144
1 A2 146
1 A2 147
1 A2 150
1 A2a 036
1 A2b 043
1 A2b 071
1 P-A 005
2 P-A 007

# 86197f75
Energy: Fighting
1 A1a 068
2 A2 088
2 A2 089
2 A2 091
1 A2 092
2 A2 144
1 A2 147
1 A2b 043
1 A2b 070
1 A2b 071
2 A3 144
1 A3 155
1 P-A 005
2 P-A 007

# a6581bf3
Energy: Fighting
1 A1 225
1 A1a 047
2 A2 088
2 A2 089
2 A2 091
1 A2 092
2 A2 144
2 A2 146
1 A2 150
1 A2b 043
1 A2b 069
2 P-A 005
2 P-A 007

# a79e32df
Energy: Fighting
1 A1 225
2 A2 088
2 A2 089
1 A2 091
1 A2 092
2 A2 144
1 A2 146
1 A2 147
1 A2 150
1 A2a 036
1 A2b 042
1 A2b 043
1 A2b 069
2 P-A 005
2 P-A 007

# c5e9d5fe
Energy: Fighting
1 A1 154
1 A1 225
2 A2 088
2 A2 089
2 A2 144
1 A2 146
1 A2 150
1 A2a 036
2 A2b 042
2 A2b 043
1 A2b 069
2 P-A 005
2 P-A 007

# d9cc809f
Energy: Fighting
1 A1 225
1 A1a 047
2 A2 088
2 A2 089
1 A2 092
2 A2 144
2 A2 146
1 A2 150
1 A2a 036
2 A2b 042
1 A2b 043
2 P-A 005
2 P-A 007

# dc53a790
Energy: Fighting
1 A1 225
2 A2 088
2 A2 089
2 A2 091
2 A2 144
1 A2 146
1 A2 150
2 A2a 036
2 A2b 043
1 A2b 069
2 P-A 005
2 P-A 007

# ebe347ad
Energy: Fighting
1 A1 225
1 A1a 047
1 A2 088
2 A2 089
1 A2 091
1 A2 092
2 A2 144
1 A2 146
1 A2a 036
1 A2b 042
1 A2b 043
2 A3 144
1 A3 151
1 A3 155
1 P-A 002
1 P-A 005
1 P-A 007

# ed1c6284
Energy: Fighting
1 A1 225
1 A1a 047
2 A2 088
2 A2 089
2 A2 091
1 A2 092
2 A2 144
1 A2 150
1 A2a 036
1 A2b 043
1 A2b 069
1 A2b 071
2 P-A 005
2 P-A 007
