# 06231f10
Energy: Psychic
1 A2 078
2 A2 148
1 A2 150
1 A2b 035
2 A3 085
2 A3 087
2 A3 144
2 A3 149
2 A3b 057
1 A4 157
2 P-A 005
2 P-A 007

# 352f6773
Energy: Psychic
1 A1a 068
2 A2b 035
1 A2b 070
1 A2b 071
2 A3 085
2 A3 087
1 A3 088
2 A3 144
1 A3 149
1 A3a 069
2 A3b 057
2 P-A 005
2 P-A 007

# 395d3e63
Energy: Psychic
1 A1a 068
1 A2 147
2 A2b 035
1 A2b 071
1 A3 080
2 A3 085
2 A3 087
2 A3 144
2 A3 149
2 A3b 057
2 P-A 005
2 P-A 007

# 43e94dfe
Energy: Psychic
1 A1a 068
1 A2 078
1 A2 146
1 A2 148
2 A2b 035
1 A2b 070
2 A3 085
2 A3 087
2 A3 144
1 A3 149
2 A3b 057
2 P-A 005
2 P-A 007

# 660c1c53
Energy: Psychic
1 A1 129
1 A1a 068
1 A2 154
1 A2b 035
1 A2b 071
1 A3 080
2 A3 085
2 A3 087
2 A3 144
2 A3b 057
1 A3b 067
2 P-A 005
1 P-A 006
2 P-A 007

# be580b8a
Energy: Psychic
2 A2 150
2 A2b 035
1 A2b 069
1 A2b 070
2 A3 085
2 A3 087
2 A3 144
1 A3 149
2 A3b 057
1 A3b 067
2 P-A 005
2 P-A 007

# d49407f5
Energy: Psychic
1 A1 225
1 A2 150
2 A2b 035
1 A2b 070
1 A3 080
2 A3 085
2 A3 087
2 A3 144
2 A3b 057
2 A3b 067
2 P-A 005
2 P-A 007

# e9d8b9a0
Energy: Psychic
1 A1a 068
1 A2 148
1 A2b 035
1 A2b 071
1 A3 080
2 A3 085
2 A3 087
1 A3 141
2 A3 144
2 A3 149
2 A3b 057
2 P-A 005
2 P-A 007

# ee14891e
Energy: Psychic
1 A1a 068
1 A2 146
2 A2b 035
1 A3 080
2 A3 085
2 A3 087
2 A3 144
2 A3 149
2 A3b 057
1 A3b 067
2 P-A 005
2 P-A 007
