# 210726d4
Energy: Lightning
2 A2 058
1 A2 059
2 A2 060
1 A2 146
1 A2 147
2 A2 153
2 A2a 027
2 A2a 028
1 A2b 069
2 A3 144
2 P-A 005
2 P-A 007

# 2525ed41
Energy: Lightning
2 A2 058
2 A2 059
2 A2 060
1 A2 146
1 A2 147
1 A2 148
2 A2 153
2 A2a 027
2 A2a 028
1 P-A 002
2 P-A 005
2 P-A 007

# 2e4429dd
Energy: Lightning
2 A2 058
2 A2 059
2 A2 060
2 A2 146
1 A2 148
2 A2 153
2 A2a 027
2 A2a 028
1 P-A 002
2 P-A 005
2 P-A 007

# 3ce561fd
Energy: Lightning
2 A2 058
2 A2 059
2 A2 060
1 A2 146
1 A2 147
1 A2 148
2 A2 153
2 A2a 027
2 A2a 028
1 A2b 070
2 P-A 005
2 P-A 007

# 59d3eee5
Energy: Lightning
2 A2 058
2 A2 059
2 A2 060
2 A2 146
1 A2 147
2 A2 153
2 A2a 027
2 A2a 028
1 P-A 002
2 P-A 005
2 P-A 007

# 5a5c197e
Energy: Lightning
1 A1 223
2 A2 058
2 A2 059
2 A2 060
1 A2 146
2 A2 147
2 A2 153
2 A2a 027
2 A2a 028
2 P-A 005
2 P-A 007

# 5c94615a
Energy: Lightning
2 A2 058
2 A2 059
2 A2 060
2 A2 146
2 A2 147
2 A2 153
2 A2a 027
2 A2a 028
2 P-A 005
2 P-A 007

# 61c87a97
Energy: Lightning
2 A2 058
1 A2 059
2 A2 060
1 A2 146
1 A2 147
1 A2 148
2 A2 153
2 A2a 027
2 A2a 028
1 A3 144
1 A3 151
2 P-A 005
2 P-A 007

# 6745f96a
Energy: Lightning
2 A2 058
2 A2 059
2 A2 060
2 A2 146
2 A2 153
1 A2 155
2 A2a 027
2 A2a 028
2 P-A 005
1 P-A 006
2 P-A 007

# 68d18ba3
Energy: Lightning
2 A2 058
2 A2 059
2 A2 060
1 A2 146
1 A2 148
2 A2 153
2 A2a 027
2 A2a 028
1 A2b 069
2 P-A 005
1 P-A 006
2 P-A 007

# 834018ad
Energy: Lightning
1 A1 225
2 A2 058
2 A2 059
2 A2 060
1 A2 146
2 A2 147
2 A2 153
2 A2a 027
2 A2a 028
2 A2b 111
2 P-A 007

# 8cf51c36
Energy: Lightning
1 A1 225
2 A2 058
2 A2 059
2 A2 060
1 A2 146
1 A2 147
1 A2 148
1 A2 150
2 A2 153
2 A2a 027
2 A2a 028
1 P-A 005
2 P-A 007

# 929d1344
Energy: Lightning
2 A2 058
1 A2 059
2 A2 060
1 A2 147
2 A2 153
1 A2 155
2 A2a 027
2 A2a 028
2 A3 144
2 P-A 005
1 P-A 006
2 P-A 007

# 93088f81
Energy: Lightning
1 A1 198
2 A2 058
2 A2 059
2 A2 060
1 A2 146
2 A2 147
2 A2 153
2 A2a 027
2 A2a 028
2 P-A 005
2 P-A 007

# a1fd90bb
Energy: Lightning
2 A2 058
2 A2 059
2 A2 060
1 A2 146
1 A2 147
1 A2 148
2 A2 153
2 A2a 027
2 A2a 028
1 A2b 025
2 P-A 005
2 P-A 007

# a4270264
Energy: Lightning
2 A2 058
2 A2 059
2 A2 060
1 A2 146
2 A2 153
2 A2a 027
2 A2a 028
1 A2b 069
2 A2b 071
2 P-A 005
2 P-A 007

# a99cbc69
Energy: Lightning
2 A2 058
1 A2 059
2 A2 060
1 A2 146
2 A2 147
2 A2 153
2 A2a 027
2 A2a 028
2 A3 144
2 P-A 005
2 P-A 007

# aeff1c8b
Energy: Lightning
2 A2 058
2 A2 060
1 A2 146
1 A2 147
2 A2 153
2 A2a 027
2 A2a 028
2 A3 144
1 A3a 014
2 P-A 005
1 P-A 006
2 P-A 007

# be743b43
Energy: Lightning
2 A2 058
2 A2 059
2 A2 060
2 A2 146
1 A2 147
1 A2 148
2 A2 153
2 A2a 027
2 A2a 028
2 P-A 005
2 P-A 007

# bf85847a
Energy: Lightning
1 A1a 030
2 A2 058
2 A2 059
2 A2 060
2 A2 146
1 A2 147
2 A2 153
2 A2a 027
2 A2a 028
2 P-A 005
2 P-A 007

# e666abfe
Energy: Lightning
2 A2 058
2 A2 059
2 A2 060
1 A2 146
2 A2 147
1 A2 150
2 A2 153
2 A2a 027
2 A2a 028
2 P-A 005
2 P-A 007

# eedc1428
Energy: Lightning
2 A2 058
2 A2 059
2 A2 060
1 A2 146
2 A2 147
2 A2 153
2 A2a 027
2 A2a 028
1 A2b 069
2 P-A 005
2 P-A 007

# f0c5307e
Energy: Lightning
2 A2 058
2 A2 059
2 A2 060
2 A2 146
1 A2 147
1 A2 148
2 A2 153
2 A2a 027
2 A2a 028
2 A2b 111
2 P-A 007

# f4a68d48
Energy: Lightning
1 A1 225
2 A2 058
2 A2 059
2 A2 060
1 A2 146
1 A2 147
1 A2 148
2 A2 153
2 A2a 027
2 A2a 028
2 P-A 005
2 P-A 007

# f9a5b047
Energy: Lightning
1 A1 225
2 A2 058
2 A2 059
2 A2 060
1 A2 146
2 A2 147
2 A2 153
2 A2a 027
2 A2a 028
2 P-A 005
2 P-A 007
