# 1cc48654
Energy: Fighting
1 A1 130
2 A1 143
2 A1 144
2 A1 146
1 A1 225
1 A2 068
2 A2 069
2 A2 095
1 A2 146
1 A2 150
1 P-A 002
2 P-A 005
2 P-A 007

# 2110f0c3
Energy: Fighting
1 A1 130
2 A1 143
2 A1 144
2 A1 146
1 A2 068
2 A2 069
2 A2 095
1 A2 146
1 A2 150
1 A2 155
1 P-A 002
2 P-A 005
2 P-A 007

# 24242a90
Energy: Fighting
1 A1 130
1 A1 139
1 A1 140
1 A1 143
1 A1 146
1 A1 151
1 A1 153
1 A1a 046
1 A1a 063
1 A2 069
1 A2 091
1 A2 092
1 A2 095
1 A2b 037
2 A2b 038
1 A2b 039
1 A3 144
2 P-A 007

# 75b3ee7a
Energy: Fighting
1 A1 131
1 A1 143
1 A1 144
1 A1 146
1 A1 223
1 A1 225
1 A2 068
2 A2 091
2 A2 092
1 A2 095
1 A2 147
1 A2 148
1 A2 150
1 P-A 002
2 P-A 005
2 P-A 007

# 844729b9
Energy: Fighting
1 A1 130
1 A1 131
2 A1 142
1 A1 143
1 A1 144
1 A1 146
2 A1 225
2 A1a 041
1 A2 095
2 A2 154
2 P-A 001
2 P-A 005
2 P-A 007

# c38437a0
Energy: Fighting
2 A1 143
2 A1 144
1 A1 146
1 A1a 047
1 A2 068
1 A2 069
2 A2 091
2 A2 092
1 A2 095
1 A2 147
1 A2 150
1 P-A 002
2 P-A 005
2 P-A 007

# e4878c51
Energy: Fighting
2 A1 143
2 A1 144
2 A1 146
2 A1a 068
2 A2 068
2 A2 069
2 A2 095
2 A2 146
2 P-A 005
2 P-A 007

# f1ade7c4
Energy: Fighting
1 A1 130
2 A1 143
2 A1 144
2 A1 146
1 A1 225
1 A1a 068
1 A2 068
2 A2 069
2 A2 095
1 A2 147
1 A2 150
2 P-A 005
2 P-A 007
