# 0f6c37dc
Energy: Fighting
2 A1 143
2 A1 144
2 A1 146
1 A1 154
1 A1 223
1 A1 225
1 A1a 041
1 A1a 042
1 A1a 047
1 A1a 068
2 P-A 001
2 P-A 002
1 P-A 005
2 P-A 007

# 10fa2c32
Energy: Fighting
2 A1 141
1 A1 143
1 A1 144
1 A1 146
1 A1 154
1 A1 198
1 A1 223
2 A1 225
2 A1a 042
2 A1a 047
2 P-A 002
2 P-A 005
2 P-A 007

# 1511c7f7
Energy: Fighting
2 A1 143
2 A1 144
2 A1 146
1 A1 223
1 A1a 041
1 A1a 042
1 A1a 047
1 A1a 068
1 A2 091
1 A2 092
1 A2 148
1 A2 150
1 P-A 001
2 P-A 005
2 P-A 007

# 2584aaf0
Energy: Fighting
2 A1 143
2 A1 144
2 A1 146
1 A1 225
2 A1a 041
2 A1a 042
1 A1a 047
2 A1a 068
2 P-A 001
2 P-A 005
2 P-A 007

# 32109543
Energy: Fighting
2 A1 143
2 A1 144
2 A1 146
1 A1 223
2 A1 225
2 A1a 041
2 A1a 042
1 A1a 047
2 A1a 068
2 P-A 005
2 P-A 007

# 480aa570
Energy: Fighting
2 A1 143
2 A1 144
2 A1 146
1 A1 223
1 A1 225
2 A1a 041
2 A1a 042
1 A1a 068
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 49c150ef
Energy: Fighting
1 A1 141
2 A1 143
2 A1 144
2 A1 146
1 A1 154
1 A1 198
1 A1 223
1 A1 225
1 A1a 042
2 A1a 047
2 P-A 002
2 P-A 005
2 P-A 007

# 4d0f7293
Energy: Fighting
2 A1 143
2 A1 144
2 A1 146
1 A1 223
1 A1 225
2 A1a 041
2 A1a 042
1 A1a 047
2 A1a 068
1 P-A 001
2 P-A 005
2 P-A 007

# 4deb5df8
Energy: Fighting
2 A1 143
2 A1 144
1 A1 146
1 A1 223
1 A1 225
2 A1a 041
2 A1a 042
2 A1a 047
2 A1a 068
1 P-A 002
2 P-A 005
