# 072b6a4c
Energy: Lightning, Psychic
2 A1 098
2 A1 102
1 A1 225
2 A2 051
2 A2 053
1 A2 147
2 A3b 033
2 A4 134
2 B1 225
2 P-A 005
2 P-A 007

# 0a99cd27
Energy: Lightning
2 A1 097
2 A1 098
2 A1 102
1 A1 104
2 A1a 061
2 A2 053
1 A2 146
1 A2 148
1 A2 150
1 A2 154
1 A2 155
2 P-A 005
2 P-A 007

# 15f87d7e
Energy: Lightning
2 A1 097
2 A1 098
2 A1 102
1 A1 225
2 A1a 061
2 A2 053
1 A2 146
1 A2 150
1 A2 154
2 P-A 002
2 P-A 005
2 P-A 007

# 20854473
Energy: Lightning
2 A1 097
2 A1 098
2 A1 102
1 A1 104
1 A1 225
2 A1a 061
2 A2 053
1 A2 146
1 A2 148
1 A2 150
1 A2 154
2 P-A 005
2 P-A 007

# 38beccaa
Energy: Lightning
2 A1 097
2 A1 098
2 A1 102
1 A1 104
2 A1a 061
2 A2 053
1 A2 146
1 A2 148
1 A2 150
2 A2 154
2 P-A 005
2 P-A 007

# 55aa5d9d
Energy: Lightning
2 A1 097
2 A1 098
2 A1 102
1 A1 104
2 A2 053
2 A2 126
1 A2 146
1 A2 148
1 A2 150
1 A2 154
1 A2 155
2 P-A 005
2 P-A 007

# 6d04b456
Energy: Lightning
2 A1 097
2 A1 098
2 A1 102
2 A1 206
1 A1 223
1 A1 225
2 A2 053
2 A2 148
1 A2 150
1 A2b 072
2 P-A 005
2 P-A 007

# 7b088443
Energy: Lightning
2 A1 097
2 A1 098
2 A1 102
2 A1 225
2 A1a 061
2 A2 053
1 A2 146
1 A2 147
1 A2 150
1 P-A 001
2 P-A 005
2 P-A 007

# 9af2e758
Energy: Lightning
2 A1 097
2 A1 098
2 A1 102
1 A1 104
1 A1 225
2 A1a 061
1 A2 053
1 A2 146
1 A2 147
1 A2 150
1 A2 154
1 A2 155
2 P-A 005
2 P-A 007

# adc2c3e5
Energy: Lightning
2 A1 097
2 A1 098
2 A1 102
1 A1 225
2 A1a 061
2 A2 053
1 A2 150
1 A2b 069
2 A2b 070
1 A2b 072
2 P-A 005
2 P-A 007

# c6822fa7
Energy: Lightning
2 A1 097
2 A1 098
2 A1 102
1 A1 104
2 A1a 061
2 A2 053
1 A2 146
1 A2 150
2 A2 154
1 A2 155
2 P-A 005
2 P-A 007

# fea641b5
Energy: Metal
2 A1 098
1 A1 102
1 A1a 061
1 A1a 068
2 A2 051
1 A2 053
2 A2 111
1 A2 146
2 A2 147
1 A2 148
2 A2 154
2 P-A 005
2 P-A 007
