# 00029c06
Energy: Lightning
2 A1 097
2 A1 098
2 A2 053
1 A2 150
1 A2 155
1 A2b 022
2 A2b 071
1 A3 066
2 A3a 021
2 A4 151
2 P-A 005
2 P-A 007

# 01e35c0a
Energy: Lightning
1 A1 095
2 A1 097
2 A1 098
1 A2 053
2 A2 146
2 A2 154
1 A2a 025
1 A2a 069
1 A2b 022
1 A2b 025
2 A2b 071
2 P-A 005
2 P-A 007

# 02d93733
Energy: Lightning
2 A1 097
2 A1 098
1 A1 225
2 A2 053
2 A2 146
1 A2b 022
2 A2b 025
1 A2b 069
1 A2b 071
2 P-A 002
2 P-A 005
2 P-A 007

# 05c7badf
Energy: Lightning
2 A1 097
2 A1 098
1 A1 223
2 A2 053
2 A2 146
1 A2 147
1 A2 150
2 A2a 063
2 A2a 074
1 A2b 022
2 P-A 005
2 P-A 007

# 09c55a35
Energy: Lightning
2 A1 097
2 A1 098
1 A1 225
2 A2 053
1 A2 146
1 A2b 022
2 A2b 025
1 A2b 069
2 A2b 071
2 A2b 111
2 P-A 002
2 P-A 007

# 0a821bf0
Energy: Lightning
2 A1 097
2 A1 098
1 A1 225
2 A2 053
1 A2 150
1 A2 155
1 A2b 022
1 A2b 071
1 A3 066
2 A3a 021
2 A4 151
2 P-A 005
2 P-A 007

# 0cb43465
Energy: Lightning
2 A1 097
2 A1 098
1 A1 225
2 A2 053
1 A2 146
1 A2 148
2 A2 150
1 A2b 022
2 A2b 025
1 A2b 071
1 P-A 002
2 P-A 005
2 P-A 007

# 0d573034
Energy: Lightning
2 A1 097
2 A1 098
1 A1 223
1 A1 225
2 A2 053
1 A2 150
1 A2 155
1 A2b 022
1 A3 066
2 A3a 021
2 A3a 065
2 P-A 005
2 P-A 007

# 11307c78
Energy: Lightning
2 A1 097
2 A1 098
1 A1 225
2 A2 053
1 A2 150
1 A2 155
1 A2b 022
1 A2b 025
1 A3 066
1 A3 151
1 A3a 021
1 A3a 065
1 P-A 002
2 P-A 005
2 P-A 007

# 18d8fc15
Energy: Lightning
2 A1 097
2 A1 098
1 A1 104
1 A1 225
2 A2 053
2 A2 147
1 A2 148
1 A2 150
1 A2b 022
2 A2b 025
1 P-A 002
2 P-A 005
2 P-A 007

# 1d8cca79
Energy: Lightning
2 A1 097
2 A1 098
1 A1 225
2 A2 053
1 A2 146
1 A2 147
1 A2 148
2 A2 150
1 A2b 022
2 A2b 025
