# 036c7e7c
Energy: Lightning
2 A1 097
2 A1 098
1 A1 225
2 A1a 025
2 A2 053
1 A2 146
2 A2 154
2 A2a 026
1 A2b 069
1 P-A 002
2 P-A 005
2 P-A 007

# 22ac3d5d
Energy: Lightning
2 A1 094
2 A1 097
2 A1 098
1 A1 225
2 A2 053
1 A2 146
1 A2 150
1 A2 154
2 A2a 026
1 A2a 069
1 A2a 071
2 P-A 005
2 P-A 007

# 48701e10
Energy: Lightning
2 A1 094
2 A1 097
2 A1 098
1 A1a 068
2 A2 053
1 A2 146
1 A2 147
1 A2 154
2 A2a 026
1 A2a 070
1 A2a 071
2 P-A 005
2 P-A 007

# 5b789b51
Energy: Lightning
2 A1 094
2 A1 097
2 A1 098
1 A1 225
1 A1a 068
2 A2 053
1 A2 147
1 A2 150
2 A2a 026
1 A2a 070
1 A2a 071
2 P-A 005
2 P-A 007

# 75b687a8
Energy: Lightning
1 A1 094
2 A1 097
2 A1 098
1 A1a 068
2 A2 053
1 A2 146
1 A2 147
1 A2 150
1 A2a 025
2 A2a 026
1 A2a 070
1 A2a 073
2 P-A 005
2 P-A 007

# 8f375328
Energy: Lightning
2 A1 097
2 A1 098
1 A1 225
2 A2 053
2 A2 146
1 A2 150
2 A2a 025
2 A2a 026
1 A2a 071
1 P-A 001
2 P-A 005
2 P-A 007
