# 2efa2981
Energy: Lightning
2 A1 097
2 A1 098
2 A1 105
2 A1 106
2 A2 053
2 A2 147
2 A2 150
2 P-A 002
2 P-A 005
2 P-A 007

# 3993f3ea
Energy: Lightning
2 A1 097
2 A1 098
2 A1 105
2 A1 106
1 A1 223
2 A2 053
1 A2 147
1 A2 150
1 A2b 022
1 A2b 069
1 A2b 071
2 P-A 005
2 P-A 007

# 7353a75b
Energy: Lightning
2 A1 097
2 A1 098
2 A1 105
2 A1 106
1 A1a 068
2 A2 053
1 A2b 070
2 A3a 065
2 A4 151
2 P-A 005
2 P-A 007

# 76be498d
Energy: Lightning
1 A1 096
2 A1 097
2 A1 098
1 A1 104
2 A1 105
2 A1 106
1 A1 225
2 A2 053
1 A2 146
1 A2 150
1 A2 154
2 P-A 005
2 P-A 007

# 8a4ea245
Energy: Lightning
2 A1 097
1 A1 098
2 A1 105
2 A1 106
1 A2 052
2 A2 053
2 A2 146
2 A2 147
2 P-A 001
2 P-A 005
2 P-A 007

# bf5ab5b4
Energy: Lightning
2 A1 097
2 A1 098
1 A1 104
2 A1 105
2 A1 106
2 A2 053
1 A2 146
2 A2 150
1 A2 154
1 P-A 002
2 P-A 005
2 P-A 007

# faaf1f29
Energy: Lightning
2 A1 097
2 A1 098
2 A1 105
2 A1 106
2 A2 053
2 A2 146
2 A2 148
2 A2 150
2 P-A 005
2 P-A 007
