# 002fdb5f
Energy: Fighting
2 A1 098
1 A1 154
1 A1 198
1 A1a 047
2 A2 051
2 A2 053
1 A2 146
1 A2 147
2 A2 150
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 00eb76dd
Energy: Water
2 A1 098
1 A1 203
2 A1 225
1 A1a 056
2 A1a 068
2 A2 051
2 A2 053
1 A2 147
2 A2 148
1 A2 150
2 P-A 005
2 P-A 007

# 019e81a0
Energy: Fighting
2 A1 098
1 A1 154
1 A1 203
1 A1a 047
1 A1a 056
1 A1a 068
2 A2 051
2 A2 053
1 A2 146
2 A2 147
1 A2 148
1 A2 150
2 P-A 005
2 P-A 007

# 02ec98be
Energy: Lightning
2 A1 097
2 A1 098
2 A2 053
1 A2 147
2 A2 150
1 A2a 069
1 A3 066
1 A3a 018
1 B1 109
2 B1 225
2 P-A 005
1 P-A 006
2 P-A 007

# 0548045e
Energy: Lightning
2 A1 097
2 A1 098
1 A1 223
2 A2 053
1 A2 150
1 A2b 071
2 A3 155
1 A3a 065
1 A4 077
1 B1 109
1 B1 223
1 B1 225
2 P-A 005
2 P-A 007

# 0698e473
Energy: Lightning
2 A1 097
2 A1 098
1 A1 223
1 A1 225
1 A2 022
2 A2 053
2 A2 147
1 A2 150
1 A2b 070
1 B1 223
1 B1 225
2 P-A 005
1 P-A 006
2 P-A 007

# 0e106fcf
Energy: Fighting
2 A1 098
1 A1 154
1 A1 198
1 A1 225
1 A1a 047
2 A2 051
2 A2 053
1 A2 146
2 A2 150
1 A2a 036
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 21a789ff
Energy: Lightning, Metal
2 A1 098
1 A1 203
1 A1 225
1 A1a 060
1 A1a 068
2 A2 051
2 A2 053
1 A2 147
1 A2 148
1 A2 150
2 A2 154
1 P-A 001
2 P-A 005
2 P-A 007

# 249b0601
Energy: Lightning
1 A1 097
1 A1 098
1 A1 225
1 A2 053
1 A2 147
1 A2 148
1 A2 150
1 A2 155
1 A2b 070
1 A3 066
1 A3 146
1 A3a 021
1 A3a 064
1 A3a 065
1 A4 066
1 A4 151
1 B1 223
1 B1 225
1 P-A 005
1 P-A 007

# 297973c3
Energy: Lightning
2 A1 097
2 A1 098
2 A2 053
2 A2 147
1 A2 150
1 A2b 070
2 A3 144
1 B1 109
2 B1 225
2 P-A 005
1 P-A 006
2 P-A 007

# 2d199b6c
Energy: Lightning
2 A1 097
2 A1 098
1 A1 225
2 A2 053
1 A2 147
1 A2 150
1 A3 066
1 A3 151
1 A4 070
1 B1 109
1 B1 225
1 B1 226
2 P-A 005
1 P-A 006
2 P-A 007

# 2fb76b08
Energy: Fighting
2 A1 098
1 A1 154
1 A1 155
1 A1 225
1 A1a 047
2 A2 051
2 A2 053
1 A2 146
1 A2 147
2 A2 150
2 P-A 002
2 P-A 005
2 P-A 007

# 42c062d7
Energy: Lightning
2 A1 097
1 A1 098
1 A1 225
2 A2 053
2 A2 147
1 A2 148
2 A2 150
1 A2a 069
1 A2b 025
1 A3 066
2 A3 144
2 P-A 005
2 P-A 007

# 49e4797d
Energy: Fighting
2 A1 098
1 A1 154
1 A1 225
1 A1a 047
2 A2 051
2 A2 053
1 A2 146
2 A2 148
1 A2 150
1 A2a 036
1 A2b 071
1 P-A 002
2 P-A 005
2 P-A 007

# 505bce02
Energy: Fighting
2 A1 098
1 A1 154
1 A1 155
2 A1 225
1 A1a 047
2 A2 051
2 A2 053
1 A2 146
1 A2 147
1 A2 148
2 A2 150
2 P-A 005
2 P-A 007

# 5b95805f
Energy: Fighting
2 A1 098
1 A1 154
1 A1 155
1 A1 223
1 A1a 047
2 A2 051
2 A2 053
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 6021f723
Energy: Lightning
1 A1 057
2 A1 097
2 A1 098
