# 47649131
Energy: Fighting
2 A1 147
1 A1 149
1 A1 150
2 A1 151
2 A1 153
1 A1 223
2 A1 224
1 A1 225
2 A1a 044
1 A1a 045
1 A1a 068
2 P-A 005
2 P-A 007

# 6343b440
Energy: Fighting
2 A1 147
1 A1 149
2 A1 151
2 A1 153
1 A1 154
1 A1 223
2 A1 224
2 A1a 044
1 A1a 045
1 A1a 047
1 P-A 002
2 P-A 005
2 P-A 007

# 78c58047
Energy: Fighting
2 A1 147
1 A1 149
2 A1 151
2 A1 153
1 A1 154
1 A1 223
2 A1 224
2 A1a 044
1 A1a 045
1 A1a 047
1 A1a 068
2 P-A 005
2 P-A 007

# 8058e53f
Energy: Fighting
1 A1 142
1 A1 147
1 A1 148
2 A1 151
2 A1 153
1 A1 223
1 A1 224
1 A1 225
1 A1a 043
1 A1a 044
1 A1a 045
2 P-A 001
1 P-A 002
1 P-A 005
1 P-A 007
2 P-A 017

# 987a7c73
Energy: Fighting
1 A1 147
1 A1 148
2 A1 151
1 A1 152
1 A1 153
2 A1 223
2 A1 224
1 A1 225
1 A1a 043
1 A1a 044
1 A1a 045
1 A1a 047
1 A1a 068
1 P-A 001
1 P-A 005
2 P-A 007

# fb730e5e
Energy: Fighting
2 A1 147
1 A1 149
2 A1 151
2 A1 153
1 A1 154
2 A1 224
2 A1a 044
1 A1a 045
1 A1a 047
2 P-A 002
2 P-A 005
2 P-A 007
