# 29e788c6
Energy: Fighting
1 A1 154
1 A1 225
1 A1a 047
2 A2 091
2 A2 092
1 A2 147
1 A2 148
1 A2 150
2 A2a 043
2 A3a 029
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 57ffe7cf
Energy: Fighting
1 A1 155
1 A1 223
1 A1 225
1 A1a 047
2 A2 091
2 A2 092
1 A2 147
1 A2 150
2 A2a 043
1 A2b 069
1 A2b 071
2 A3a 029
2 P-A 005
2 P-A 007

# 97901df3
Energy: Fighting
1 A1 225
1 A1a 047
1 A2 091
1 A2 092
1 A2 147
1 A2 148
1 A2 150
1 A2 155
1 A2b 040
1 A2b 069
1 A2b 070
1 A3 098
1 A3 101
1 A3 146
1 A3a 028
1 A3a 029
1 P-A 001
1 P-A 002
1 P-A 005
1 P-A 007

# c1a4f7b5
Energy: Fighting
2 A1 223
1 A1a 047
2 A2 091
2 A2 092
1 A2 147
1 A2 150
2 A2a 043
1 A3 151
2 A3a 029
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# d0bc748d
Energy: Fighting
2 A1 223
2 A1a 047
2 A2 091
2 A2 092
1 A2 147
1 A2 150
2 A2a 043
1 A3 151
2 A3a 029
1 P-A 002
2 P-A 005
2 P-A 007
