# 5c9e0a7f
Energy: Psychic
1 A1 225
1 A2 150
1 A2 155
1 A2b 071
2 A3b 034
2 A3b 056
2 B1 102
1 B1 121
2 B1 196
1 B1 197
1 B1 225
1 P-A 002
2 P-A 005
2 P-A 007

# 5f1a672a
Energy: Psychic
1 A1 223
1 A1 225
1 A2 147
1 A2 150
1 A2 154
1 A2b 035
1 A3b 033
1 A3b 034
2 A3b 056
2 B1 102
2 B1 196
1 B1 225
1 P-A 002
2 P-A 005
2 P-A 007

# 69ac71ee
Energy: Psychic
1 A1 132
1 A1 223
1 A2 068
1 A2 147
1 A2 150
1 A2b 071
1 A3 144
2 A3b 034
2 A3b 056
2 A4a 064
2 B1 102
1 B1 223
2 P-A 005
2 P-A 007

# 70c7f0ac
Energy: Psychic
1 A1 225
1 A2 147
2 A2b 071
1 A3 084
1 A3 144
1 A3b 034
1 A3b 056
2 A4a 064
2 B1 102
1 B1 170
1 B1 172
1 B1 223
1 P-A 002
2 P-A 005
2 P-A 007
