# 001dd103
Energy: Psychic
2 A1 087
2 A1 089
1 A2 150
1 A2 155
2 A3 144
2 B1 102
2 B1 109
1 B1 196
1 B1 225
1 B1 226
1 B2a 093
1 P-A 005
2 P-A 007
1 P-B 017

# 011db50d
Energy: Psychic
2 A1 087
2 A1 089
1 A1 225
1 A2 150
1 A2 155
2 A3 144
2 B1 102
2 B1 109
2 B1 196
1 B1 225
1 B1 226
1 P-A 005
2 P-A 007

# 01ac64b5
Energy: Psychic
2 A1 087
1 A1 088
2 A1 089
2 A2 150
1 A3 144
2 A4a 064
2 B1 102
2 B1 109
2 B1 225
1 B1 226
1 P-A 005
2 P-A 007

# 02a58849
Energy: Psychic
2 A1 087
2 A1 089
2 A2 150
1 A2 155
2 A3 144
2 B1 102
1 B1 106
1 B1 109
2 B1 196
1 B1 225
1 B1 226
1 P-A 005
2 P-A 007

# 02a9aff7
Energy: Psychic
2 A1 087
2 A1 089
1 A2 150
2 A3 144
2 B1 102
2 B1 109
2 B1 196
2 B1 225
1 B1 226
1 B2a 093
1 P-A 005
2 P-A 007

# 02bc06c7
Energy: Psychic
2 A1 087
2 A1 089
2 A2 150
2 A3 144
2 B1 102
1 B1 109
1 B1 196
1 B1 225
1 B1 226
1 B1a 065
1 P-A 005
1 P-A 006
2 P-A 007
1 P-B 017

# 0308e89e
Energy: Psychic
2 A1 087
2 A1 089
1 A2 148
2 A2 150
2 A3 144
2 B1 102
1 B1 109
1 B1 197
1 B1 225
1 B1 226
1 P-A 005
2 P-A 007
2 P-B 017

# 0355f743
Energy: Psychic
2 A1 087
1 A1 088
2 A1 089
1 A2 150
1 A2 155
1 A3 144
2 B1 102
2 B1 109
2 B1 196
1 B1 225
1 B1 226
1 B2a 093
1 P-A 005
2 P-A 007

# 037a388d
Energy: Psychic
2 A1 087
2 A1 089
2 A2 150
2 A3 144
2 B1 102
2 B1 109
2 B1 225
2 P-A 005
2 P-A 007
2 P-B 017

# 03b28a5d
Energy: Psychic
2 A1 089
2 A2 150
2 A3 144
2 B1 071
2 B1 102
2 B1 109
2 B1 225
1 B1 226
1 P-A 005
2 P-A 007
2 P-B 017

# 03c11d9c
Energy: Water
2 A1 089
2 A2 150
1 A3 144
2 B1 071
1 B1 072
2 B1 102
2 B1 196
1 B1 225
1 B1 226
2 B2 124
1 B2 153
1 P-A 005
2 P-A 007

# 03e1d6c2
Energy: Psychic
2 A1 087
2 A1 089
1 A2 150
2 A3 144
1 B1 102
2 B1 109
2 B1 196
2 B1 225
2 B2 145
1 B3 148
1 P-A 005
2 P-A 007

# 03f5ff2f
Energy: Psychic
2 A1 087
2 A1 089
1 A2 150
2 A3 144
1 B1 102
2 B1 109
2 B1 196
2 B1 225
1 B1 226
1 B2 145
1 B2 153
1 B3 148
2 P-A 007

# 0431fbda
Energy: Psychic
2 A1 087
2 A1 089
1 A2 150
2 A3 144
1 B1 102
2 B1 196
2 B1 225
2 B3b 054
1 B3b 064
1 B3b 065
2 P-A 005
2 P-A 007

# 046fe030
Energy: Psychic
2 A1 087
1 A1 088
2 A1 089
2 A2 150
1 A3 084
2 A3 144
2 B1 102
1 B1 109
1 B1 196
1 B1 225
2 P-A 005
2 P-A 007
1 P-B 017

# 050e1cfd
Energy: Psychic
2 A1 087
2 A1 089
2 A2 150
2 A3 144
2 B1 102
2 B1 109
2 B1 196
1 B1 225
1 B1 226
2 P-A 005
2 P-A 007

# 0571c733
Energy: Psychic
2 A1 087
2 A1 089
1 A2 148
2 A2 150
2 A3 144
2 B1 102
1 B1 109
2 B1 196
1 B1 197
1 B1 225
1 B1 226
1 P-A 005
2 P-A 007

# 05b522e8
Energy: Psychic
2 A1 087
2 A1 089
1 A2 150
2 A3 144
2 B1 102
2 B1 109
2 B1 196
2 B1 225
2 P-A 005
1 P-A 006
2 P-A 007

# 05d0f067
Energy: Psychic
2 A1 087
2 A1 089
2 A2 150
2 A3 144
2 B1 102
2 B1 196
1 B1 225
1 B1 226
2 B2 124
2 P-A 005
2 P-A 007

# 0663a3ca
Energy: Psychic
2 A1 087
2 A1 089
1 A2 150
2 A3 144
1 B1 102
2 B1 196
2 B1 225
2 B1a 065
1 B2 147
1 B2b 069
2 P-A 005
2 P-A 007

# 069989bd
Energy: Psychic
2 A1 087
2 A1 089
2 A2 150
2 A3 144
2 B1 102
1 B1 109
2 B1 196
1 B1 225
1 B1 226
1 B2 149
2 P-A 005
2 P-A 007

