# 00fd6406
Energy: Fire
1 A1 225
1 A2 150
2 A2b 008
1 A2b 070
1 A3 142
1 A4a 010
2 B1 217
1 B1 223
1 B1 225
1 B1a 013
1 B1a 014
2 B2b 008
1 B2b 009
2 P-A 005
2 P-A 007

# 02628f61
Energy: Fire
1 A1 225
1 A2 148
1 A2 150
2 A2b 008
2 A4a 010
2 B1 217
2 B1 223
1 B1a 014
1 B2 017
2 B2b 008
1 B2b 009
2 P-A 005
2 P-A 007

# 02d50bc0
Energy: Fire
1 A1 225
2 A2 148
2 A2b 008
2 A4a 010
2 B1 217
1 B1 223
1 B1 225
1 B1a 014
1 B2 145
2 B2b 008
1 B2b 009
2 P-A 005
2 P-A 007

# 02d9ebde
Energy: Fire
1 A1 225
1 A2 147
1 A2 148
2 A2b 008
1 A4a 010
2 B1 217
1 B1 223
1 B1 225
1 B1a 014
2 B2 145
2 B2b 008
1 B2b 009
2 P-A 005
2 P-A 007

# 040a9a83
Energy: Fire
1 A1 225
1 A2 146
1 A2 150
1 A3a 064
2 A4a 010
2 B1 217
1 B1 225
1 B1a 014
2 B2b 007
2 B2b 008
1 B2b 009
1 P-A 002
2 P-A 005
2 P-A 007

# 0529d5bb
Energy: Fire
2 A1 033
1 A2 155
2 A3 146
1 A3 155
1 A3a 042
2 A4a 010
2 B1 217
1 B1 223
1 B1a 014
2 B2b 008
1 B2b 009
2 P-A 005
2 P-A 007

# 06fdb750
Energy: Fire
2 A1 033
1 A1 225
1 A2 148
1 A2 150
2 A4a 010
2 B1 217
1 B1 223
1 B1a 014
1 B2 145
2 B2b 008
1 B2b 009
1 B3 147
2 P-A 005
2 P-A 007

# 0733d678
Energy: Fire
2 A1 033
1 A2 155
1 A3 155
2 A3b 010
1 A4a 010
2 B1 217
1 B1 223
1 B1 225
1 B1a 014
1 B2 147
2 B2b 008
1 B2b 009
2 P-A 005
2 P-A 007

# 079e6947
Energy: Fire
1 A1 087
1 A1 089
1 A2 150
2 A2b 008
2 A3 144
1 B1 044
2 B1 217
2 B1 225
