# 024ead9f
Energy: Fighting
1 A1 154
2 A2 148
1 A2 150
1 A2 155
1 A3a 064
2 A4 102
1 A4 156
2 B1 225
2 B1a 042
2 B1a 062
1 P-A 002
2 P-A 005
2 P-A 007

# 03fb46f8
Energy: Fighting
1 A2 091
1 A2 092
2 A2 148
1 A2 150
2 A4 102
2 A4 156
2 B1 225
2 B1a 042
2 B1a 062
1 B1a 069
2 P-A 005
2 P-A 007

# 0476f2ea
Energy: Fighting
2 A2 148
2 A2 150
1 A2b 070
1 A4 101
2 A4 102
1 A4 156
1 B1 223
1 B1 225
2 B1a 042
2 B1a 062
1 B1a 069
2 P-A 005
2 P-A 007

# 0d72c51a
Energy: Fighting
2 A2 150
2 A2b 066
1 A2b 070
2 A4 102
2 A4 156
1 B1 109
1 B1 225
1 B1 226
2 B1a 042
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 105ea93f
Energy: Fighting
1 A2 146
2 A2 148
2 A2 150
2 A4 102
2 A4 156
1 B1 225
2 B1a 042
2 B1a 062
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 10bfc127
Energy: Fighting
2 A2 150
2 A2b 066
1 A2b 070
1 A4 077
2 A4 102
2 A4 156
1 B1 225
1 B1 226
2 B1a 042
1 B1a 065
2 P-A 005
1 P-A 006
2 P-A 007

# 1261b540
Energy: Fighting
1 A1 225
2 A2 148
1 A2 150
2 A4 102
2 A4 156
2 B1 225
2 B1a 042
2 B1a 062
1 B3 154
1 P-A 002
2 P-A 005
2 P-A 007

# 188dad28
Energy: Fighting
1 A2 150
1 A2b 070
2 A4 102
2 A4 156
1 B1 225
2 B1a 042
2 B1a 062
1 B1a 069
1 B3 154
1 B3b 065
2 P-A 002
2 P-A 005
2 P-A 007

# 19d3a967
Energy: Fighting
1 A2 092
1 A2 150
1 A3 142
2 A4 102
2 B1 225
2 B1a 042
2 B1a 062
1 B2 145
1 B3 079
1 B3 149
1 B3 154
1 P-A 002
2 P-A 005
2 P-A 007

# 1b608945
Energy: Fighting
1 A1 225
1 A2 150
1 A2 155
1 A2b 070
1 A4 101
2 A4 102
2 A4 156
1 B1 223
1 B1 225
2 B1a 042
2 B1a 062
1 P-A 002
2 P-A 005
2 P-A 007

# 24fc6257
Energy: Fighting
1 A1a 047
1 A2 150
1 A2 155
2 A2b 066
1 A2b 070
2 A4 102
2 A4 156
2 B1 109
1 B1 226
2 B1a 042
1 B1a 069
2 P-A 005
2 P-A 007

# 3a07f1bd
Energy: Fighting
2 A2 148
1 A2 150
1 A2 155
2 A4 102
2 A4 156
1 B1 225
2 B1a 042
2 B1a 062
2 B1a 065
1 P-A 002
2 P-A 005
2 P-A 007

# 48e328af
Energy: Fighting
2 A2 148
1 A2 150
1 A2b 070
2 A4 102
2 A4 156
2 B1 225
2 B1a 042
2 B1a 062
1 B3b 065
1 P-A 002
2 P-A 005
2 P-A 007

# 4de53f52
Energy: Fighting
2 A2 147
2 A2 150
2 A2b 066
1 A4 101
2 A4 102
1 A4 156
1 B1 225
1 B1 226
2 B1a 042
1 B1a 069
2 P-A 005
1 P-A 006
2 P-A 007

# 4f9b0cc5
Energy: Fighting
2 A2 148
1 A2 150
1 A2b 070
1 A3a 064
2 A4 102
1 A4 156
1 B1 225
2 B1a 042
2 B1a 062
1 B1a 069
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 57638e90
Energy: Fighting
1 A2 148
2 A2 150
2 A2b 066
2 A4 102
2 A4 156
1 B1 109
2 B1 225
2 B1a 042
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 5c183735
Energy: Fighting
2 A2 148
2 A2 150
2 A4 102
1 A4 156
1 B1 109
2 B1 225
2 B1a 042
2 B1a 062
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 6199fb04
Energy: Fighting
1 A1 225
1 A2 150
1 A2 155
1 A4 101
2 A4 102
2 A4 156
1 A4a 065
1 B1 225
2 B1a 042
2 B1a 062
1 B1a 069
1 P-A 002
2 P-A 005
2 P-A 007

# 69282c96
Energy: Fighting
2 A2 150
2 A2b 066
1 A2b 070
1 A4 077
2 A4 102
2 A4 156
1 B1 225
1 B1 226
2 B1a 042
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 6c3083b8
Energy: Fighting
2 A2 150
2 A2b 066
1 A4 077
2 A4 102
2 A4 156
1 B1 225
2 B1 226
2 B1a 042
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 6fd9c3e4
Energy: Fighting
1 A1a 068
2 A2 150
2 A4 102
2 A4 156
1 B1 109
1 B1 225
2 B1a 042
2 B1a 062
1 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 70ef4f90
Energy: Fighting
1 A1 225
2 A2 148
1 A2 150
1 A3 151
2 A4 102
1 A4 156
1 B1 225
2 B1a 042
2 B1a 062
1 B1a 069
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 7234208f
Energy: Fighting
1 A1 223
2 A2 148
2 A2 150
2 A4 102
1 A4 156
1 B1 109
1 B1 225
2 B1a 042
2 B1a 062
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 7395914a
Energy: Fighting
2 A2 148
2 A2 150
1 A2 155
2 A4 102
2 A4 156
1 B1 109
1 B1 225
2 B1a 042
2 B1a 062
1 P-A 002
2 P-A 005
2 P-A 007

# 7c6a26d0
Energy: Fighting
1 A2 146
1 A2 147
1 A2 150
1 A2 155
1 A3 151
1 A4 101
2 A4 102
1 A4 156
1 B1 225
2 B1a 042
2 B1a 062
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 80899134
Energy: Fighting
2 A2 150
2 A2b 066
1 A4 077
2 A4 102
2 A4 156
1 B1 225
1 B1 226
2 B1a 042
1 B1a 069
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 848f8072
Energy: Fighting
1 A1 225
1 A2 147
2 A2 148
1 A2 150
1 A2 155
2 A4 102
1 B1 109
2 B1 225
2 B1a 042
1 B1a 055
2 B1a 062
2 P-A 005
2 P-A 007

# 8848c60c
Energy: Fighting
1 A1 225
1 A1a 047
2 A2 148
1 A2 150
1 A2 155
2 A2b 066
1 A2b 070
2 A4 102
1 B1 225
1 B1 226
2 B1a 042
1 B1a 065
1 P-A 002
1 P-A 005
2 P-A 007

# 97965e7d
Energy: Fighting
2 A2 150
2 A2b 066
1 A4 077
2 A4 102
2 A4 156
1 B1 225
1 B1 226
2 B1a 042
1 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# a309e432
Energy: Fighting
1 A2 091
1 A2 092
2 A2 148
1 A2 150
2 A4 102
1 A4 156
1 B1 223
2 B1 225
2 B1a 042
2 B1a 062
1 P-A 002
2 P-A 005
2 P-A 007

# a30afee7
Energy: Fighting
1 A1 225
1 A2 147
1 A2 148
1 A2 150
1 A2b 070
1 A3a 064
2 A4 102
1 A4 156
1 B1 223
1 B1 225
2 B1a 042
2 B1a 062
1 P-A 001
1 P-A 002
1 P-A 005
1 P-A 006
1 P-A 007

# a3e83e7a
Energy: Fighting
1 A1 225
2 A2 148
1 A2 150
2 A4 102
2 A4 156
2 B1 225
2 B1a 042
2 B1a 062
2 P-A 002
2 P-A 005
2 P-A 007

# abe36a38
Energy: Fighting
1 A2 147
2 A2 150
1 A2b 040
2 A4 102
2 A4 156
1 B1 223
2 B1 225
2 B1a 042
2 B1a 062
2 P-A 005
1 P-A 006
2 P-A 007

# addaec41
Energy: Fighting
1 A1 225
2 A2 148
1 A2 150
1 A2 155
2 A4 102
1 A4 156
1 B1 225
2 B1a 042
2 B1a 062
1 B1a 069
2 P-A 002
2 P-A 005
2 P-A 007

# adefb9b6
Energy: Fighting
1 A1 154
1 A1 225
2 A2 148
1 A2 150
1 A2b 070
2 A4 102
1 A4 156
